 Location:  5S 170W  16 Sep 1992 to 16 Mar 2013 (  247 times,  2 blocks) Gen. Date Feb 16 2014
 Units: Air Temperature (C), -9.99 = missing
 Time: 1200 16 Sep 1992 to 1200 16 Dec 2001 (index     1 to   112,  112 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19920916 1200 28.34 4
 19921016 1200 28.14 4
 19921116 1200 28.46 4
 19921216 1200 28.31 4
 19930116 1200 28.47 4
 19930215 1200 27.86 4
 19930316 1200 28.24 4
 19930416 1200 28.32 4
 19930516 1200 28.42 4
 19930616 1200 28.38 4
 19930716 1200 28.49 4
 19930816 1200 28.33 4
 19930916 1200 28.45 4
 19931016 1200 28.72 4
 19931116 1200 28.61 2
 19931216 1200 28.77 2
 19940116 1200 28.42 2
 19940215 1200 28.20 2
 19940316 1200 28.13 2
 19940416 1200 28.51 2
 19940516 1200 28.89 2
 19940616 1200 -9.99 0
 19940716 1200 -9.99 0
 19940816 1200 -9.99 0
 19940916 1200 -9.99 0
 19941016 1200 -9.99 0
 19941116 1200 28.94 1
 19941216 1200 28.90 1
 19950116 1200 28.87 1
 19950215 1200 28.50 1
 19950316 1200 28.81 1
 19950416 1200 28.75 1
 19950516 1200 28.85 1
 19950616 1200 28.70 1
 19950716 1200 28.40 1
 19950816 1200 28.24 1
 19950916 1200 27.98 1
 19951016 1200 27.69 1
 19951116 1200 27.71 1
 19951216 1200 27.77 1
 19960116 1200 27.82 1
 19960215 1200 27.36 1
 19960316 1200 27.51 1
 19960416 1200 27.93 1
 19960516 1200 28.35 1
 19960616 1200 28.19 1
 19960716 1200 27.87 1
 19960816 1200 27.72 1
 19960916 1200 27.98 1
 19961016 1200 27.94 1
 19961116 1200 27.98 1
 19961216 1200 28.00 1
 19970116 1200 28.11 1
 19970215 1200 27.98 1
 19970316 1200 27.88 1
 19970416 1200 28.48 1
 19970516 1200 28.90 1
 19970616 1200 28.48 1
 19970716 1200 28.75 1
 19970816 1200 28.84 1
 19970916 1200 28.78 1
 19971016 1200 28.71 1
 19971116 1200 28.94 1
 19971216 1200 28.31 1
 19980116 1200 28.30 1
 19980215 1200 28.04 1
 19980316 1200 28.17 1
 19980416 1200 27.90 1
 19980516 1200 28.39 1
 19980616 1200 28.72 1
 19980716 1200 27.81 2
 19980816 1200 27.50 2
 19980916 1200 27.73 2
 19981016 1200 27.40 2
 19981116 1200 27.07 2
 19981216 1200 26.94 2
 19990116 1200 26.56 2
 19990215 1200 26.75 2
 19990316 1200 27.29 2
 19990416 1200 27.71 2
 19990516 1200 27.79 2
 19990616 1200 27.68 2
 19990716 1200 27.76 2
 19990816 1200 27.50 2
 19990916 1200 27.31 2
 19991016 1200 27.62 2
 19991116 1200 27.29 2
 19991216 1200 27.10 2
 20000116 1200 27.11 2
 20000215 1200 26.83 2
 20000316 1200 27.28 2
 20000416 1200 27.73 2
 20000516 1200 28.08 2
 20000616 1200 28.13 2
 20000716 1200 28.11 2
 20000816 1200 28.02 2
 20000916 1200 27.88 2
 20001016 1200 27.87 2
 20001116 1200 27.76 2
 20001216 1200 27.67 2
 20010116 1200 27.82 2
 20010215 1200 27.75 2
 20010316 1200 27.66 2
 20010416 1200 28.30 2
 20010516 1200 28.43 2
 20010616 1200 28.26 1
 20010716 1200 28.08 1
 20010816 1200 27.93 1
 20010916 1200 27.96 1
 20011016 1200 27.80 1
 20011116 1200 27.92 1
 20011216 1200 27.75 1
 Time: 1200 16 Jul 2002 to 1200 16 Mar 2013 (index   119 to   247,  129 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 20020716 1200 28.62 1
 20020816 1200 28.78 1
 20020916 1200 28.84 1
 20021016 1200 29.16 1
 20021116 1200 29.67 1
 20021216 1200 28.99 1
 20030116 1200 28.93 1
 20030215 1200 28.67 1
 20030316 1200 29.07 1
 20030416 1200 29.33 1
 20030516 1200 28.91 1
 20030616 1200 28.73 1
 20030716 1200 28.78 1
 20030816 1200 28.32 1
 20030916 1200 28.50 1
 20031016 1200 28.56 1
 20031116 1200 28.75 1
 20031216 1200 28.76 1
 20040116 1200 28.40 1
 20040215 1200 28.58 1
 20040316 1200 28.53 1
 20040416 1200 28.70 1
 20040516 1200 28.79 1
 20040616 1200 28.82 1
 20040716 1200 28.44 1
 20040816 1200 28.62 1
 20040916 1200 28.62 1
 20041016 1200 28.72 1
 20041116 1200 28.86 1
 20041216 1200 28.89 1
 20050116 1200 29.10 1
 20050215 1200 28.22 1
 20050316 1200 28.86 1
 20050416 1200 28.91 1
 20050516 1200 29.07 1
 20050616 1200 29.01 1
 20050716 1200 28.60 1
 20050816 1200 28.34 1
 20050916 1200 28.14 1
 20051016 1200 28.61 1
 20051116 1200 28.27 1
 20051216 1200 28.15 1
 20060116 1200 27.84 1
 20060215 1200 27.33 1
 20060316 1200 28.10 1
 20060416 1200 28.40 1
 20060516 1200 28.68 1
 20060616 1200 28.73 1
 20060716 1200 28.42 1
 20060816 1200 28.57 1
 20060916 1200 28.72 1
 20061016 1200 28.75 1
 20061116 1200 28.99 2
 20061216 1200 29.19 2
 20070116 1200 28.78 2
 20070215 1200 28.57 2
 20070316 1200 -9.99 0
 20070416 1200 -9.99 0
 20070516 1200 -9.99 0
 20070616 1200 -9.99 0
 20070716 1200 -9.99 0
 20070816 1200 28.25 2
 20070916 1200 28.18 2
 20071016 1200 27.81 2
 20071116 1200 27.67 2
 20071216 1200 27.96 2
 20080116 1200 -9.99 0
 20080215 1200 -9.99 0
 20080316 1200 27.09 1
 20080416 1200 27.30 1
 20080516 1200 27.61 1
 20080616 1200 27.64 1
 20080716 1200 27.57 1
 20080816 1200 27.45 1
 20080916 1200 27.32 1
 20081016 1200 27.56 1
 20081116 1200 27.54 1
 20081216 1200 27.33 1
 20090116 1200 27.05 1
 20090215 1200 27.32 1
 20090316 1200 27.31 1
 20090416 1200 28.08 1
 20090516 1200 28.29 1
 20090616 1200 28.48 2
 20090716 1200 28.74 2
 20090816 1200 28.47 2
 20090916 1200 28.74 2
 20091016 1200 28.91 2
 20091116 1200 29.44 2
 20091216 1200 29.46 2
 20100116 1200 29.53 2
 20100215 1200 28.48 2
 20100316 1200 28.90 2
 20100416 1200 29.46 2
 20100516 1200 29.43 2
 20100616 1200 28.98 2
