 Location:  5S 140W  16 Nov 1990 to 16 Jan 2014 (  279 times,  2 blocks) Gen. Date Feb 16 2014
 Units: Air Temperature (C), -9.99 = missing
 Time: 1200 16 Nov 1990 to 1200 16 Aug 2011 (index     1 to   250,  250 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19901116 1200 26.67 1
 19901216 1200 26.67 1
 19910116 1200 26.71 1
 19910215 1200 26.95 1
 19910316 1200 27.35 1
 19910416 1200 27.94 1
 19910516 1200 27.46 2
 19910616 1200 27.03 2
 19910716 1200 27.00 2
 19910816 1200 26.74 2
 19910916 1200 26.24 2
 19911016 1200 26.52 2
 19911116 1200 26.73 2
 19911216 1200 27.26 2
 19920116 1200 27.32 2
 19920215 1200 27.71 2
 19920316 1200 27.96 2
 19920416 1200 28.37 2
 19920516 1200 28.39 4
 19920616 1200 27.80 4
 19920716 1200 27.19 4
 19920816 1200 26.62 4
 19920916 1200 26.00 4
 19921016 1200 26.33 4
 19921116 1200 26.08 4
 19921216 1200 26.29 4
 19930116 1200 26.38 4
 19930215 1200 26.88 4
 19930316 1200 27.36 4
 19930416 1200 28.11 4
 19930516 1200 28.38 4
 19930616 1200 27.89 4
 19930716 1200 27.51 4
 19930816 1200 26.81 4
 19930916 1200 26.67 4
 19931016 1200 26.81 1
 19931116 1200 26.65 1
 19931216 1200 26.77 1
 19940116 1200 26.42 1
 19940215 1200 26.76 1
 19940316 1200 27.05 1
 19940416 1200 27.62 1
 19940516 1200 27.66 1
 19940616 1200 27.52 1
 19940716 1200 26.93 1
 19940816 1200 26.61 1
 19940916 1200 26.39 1
 19941016 1200 26.69 4
 19941116 1200 27.01 4
 19941216 1200 27.38 4
 19950116 1200 27.30 4
 19950215 1200 27.17 4
 19950316 1200 27.51 4
 19950416 1200 27.83 4
 19950516 1200 27.78 4
 19950616 1200 27.65 4
 19950716 1200 27.32 4
 19950816 1200 26.78 4
 19950916 1200 26.23 1
 19951016 1200 25.81 1
 19951116 1200 25.91 1
 19951216 1200 25.59 1
 19960116 1200 26.10 1
 19960215 1200 26.62 1
 19960316 1200 27.03 1
 19960416 1200 27.64 1
 19960516 1200 27.69 1
 19960616 1200 27.38 1
 19960716 1200 27.16 1
 19960816 1200 26.61 1
 19960916 1200 26.23 1
 19961016 1200 26.32 1
 19961116 1200 26.23 1
 19961216 1200 26.03 1
 19970116 1200 26.11 1
 19970215 1200 26.61 1
 19970316 1200 26.99 1
 19970416 1200 27.66 1
 19970516 1200 27.99 1
 19970616 1200 27.85 1
 19970716 1200 27.86 1
 19970816 1200 27.61 1
 19970916 1200 27.78 1
 19971016 1200 28.26 1
 19971116 1200 28.05 4
 19971216 1200 28.76 4
 19980116 1200 28.45 4
 19980215 1200 28.06 4
 19980316 1200 28.02 4
 19980416 1200 27.97 4
 19980516 1200 28.31 4
 19980616 1200 27.58 4
 19980716 1200 26.80 4
 19980816 1200 26.41 4
 19980916 1200 25.62 4
 19981016 1200 25.79 2
 19981116 1200 26.12 2
 19981216 1200 25.85 2
 19990116 1200 26.24 2
 19990215 1200 25.79 2
 19990316 1200 26.71 2
 19990416 1200 26.96 2
 19990516 1200 27.08 2
 19990616 1200 26.68 2
 19990716 1200 26.19 2
 19990816 1200 25.69 2
 19990916 1200 25.59 2
 19991016 1200 25.74 2
 19991116 1200 25.58 2
 19991216 1200 25.64 2
 20000116 1200 25.44 2
 20000215 1200 25.93 2
 20000316 1200 26.94 2
 20000416 1200 27.58 2
 20000516 1200 27.80 2
 20000616 1200 27.38 2
 20000716 1200 26.67 2
 20000816 1200 26.31 2
 20000916 1200 26.07 2
 20001016 1200 25.92 1
 20001116 1200 25.72 1
 20001216 1200 25.87 1
 20010116 1200 26.00 1
 20010215 1200 26.46 1
 20010316 1200 27.15 1
 20010416 1200 27.75 1
 20010516 1200 27.81 1
 20010616 1200 27.35 1
 20010716 1200 26.98 1
 20010816 1200 26.29 1
 20010916 1200 25.83 1
 20011016 1200 25.94 1
 20011116 1200 26.09 1
 20011216 1200 25.91 1
 20020116 1200 26.11 1
 20020215 1200 26.31 1
 20020316 1200 27.03 1
 20020416 1200 27.53 1
 20020516 1200 27.73 1
 20020616 1200 27.59 1
 20020716 1200 27.15 1
 20020816 1200 26.92 1
 20020916 1200 26.53 1
 20021016 1200 26.80 1
 20021116 1200 27.04 1
 20021216 1200 27.17 1
 20030116 1200 27.02 1
 20030215 1200 26.95 1
 20030316 1200 27.51 1
 20030416 1200 27.55 1
 20030516 1200 27.34 1
 20030616 1200 27.06 1
 20030716 1200 26.82 1
 20030816 1200 26.43 1
 20030916 1200 26.30 1
 20031016 1200 26.51 1
 20031116 1200 26.65 1
 20031216 1200 26.97 1
 20040116 1200 26.48 1
 20040215 1200 26.98 1
 20040316 1200 27.28 1
 20040416 1200 27.70 1
 20040516 1200 28.05 1
 20040616 1200 27.62 1
 20040716 1200 27.01 1
 20040816 1200 26.77 1
 20040916 1200 26.80 1
 20041016 1200 26.74 1
 20041116 1200 26.71 1
 20041216 1200 27.05 1
 20050116 1200 26.79 1
 20050215 1200 26.93 1
