 Location:  5S 125W  16 Nov 1991 to 15 Feb 2013 (  256 times,  2 blocks) Gen. Date Feb 16 2014
 Units: Air Temperature (C), -9.99 = missing
 Time: 1200 16 Nov 1991 to 1200 16 Oct 1993 (index     1 to    24,   24 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19911116 1200 26.10 1
 19911216 1200 26.65 1
 19920116 1200 26.98 1
 19920215 1200 27.59 1
 19920316 1200 27.87 1
 19920416 1200 28.11 1
 19920516 1200 28.19 1
 19920616 1200 27.65 1
 19920716 1200 26.53 1
 19920816 1200 25.97 1
 19920916 1200 25.51 1
 19921016 1200 25.33 4
 19921116 1200 24.39 4
 19921216 1200 23.97 4
 19930116 1200 23.96 4
 19930215 1200 26.05 4
 19930316 1200 26.91 4
 19930416 1200 27.82 4
 19930516 1200 27.86 4
 19930616 1200 27.21 4
 19930716 1200 26.45 4
 19930816 1200 25.65 4
 19930916 1200 25.73 4
 19931016 1200 25.72 1
 Time: 1200 16 May 1994 to 1200 15 Feb 2013 (index    31 to   256,  226 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19940516 1200 27.24 1
 19940616 1200 27.08 1
 19940716 1200 26.05 1
 19940816 1200 25.38 1
 19940916 1200 24.97 1
 19941016 1200 25.48 1
 19941116 1200 25.83 1
 19941216 1200 25.97 1
 19950116 1200 26.09 1
 19950215 1200 26.61 1
 19950316 1200 26.93 1
 19950416 1200 27.14 1
 19950516 1200 26.76 1
 19950616 1200 26.38 1
 19950716 1200 25.87 1
 19950816 1200 25.22 1
 19950916 1200 24.60 1
 19951016 1200 24.20 1
 19951116 1200 24.30 1
 19951216 1200 24.53 1
 19960116 1200 24.77 1
 19960215 1200 25.76 1
 19960316 1200 26.24 1
 19960416 1200 26.92 1
 19960516 1200 26.61 1
 19960616 1200 26.12 1
 19960716 1200 26.02 1
 19960816 1200 25.48 1
 19960916 1200 25.08 1
 19961016 1200 25.38 1
 19961116 1200 25.41 1
 19961216 1200 25.37 1
 19970116 1200 25.32 1
 19970215 1200 25.79 1
 19970316 1200 26.75 1
 19970416 1200 27.62 1
 19970516 1200 27.71 1
 19970616 1200 27.51 1
 19970716 1200 27.29 1
 19970816 1200 27.08 1
 19970916 1200 27.32 1
 19971016 1200 27.68 1
 19971116 1200 27.85 1
 19971216 1200 27.99 1
 19980116 1200 28.24 1
 19980215 1200 28.02 1
 19980316 1200 28.45 1
 19980416 1200 28.25 1
 19980516 1200 28.18 1
 19980616 1200 27.37 1
 19980716 1200 26.21 1
 19980816 1200 25.43 1
 19980916 1200 25.81 1
 19981016 1200 25.32 4
 19981116 1200 25.51 4
 19981216 1200 25.34 4
 19990116 1200 24.81 4
 19990215 1200 26.00 2
 19990316 1200 26.83 2
 19990416 1200 26.78 2
 19990516 1200 26.61 2
 19990616 1200 25.97 2
 19990716 1200 25.24 2
 19990816 1200 24.54 2
 19990916 1200 24.41 2
 19991016 1200 24.62 2
 19991116 1200 24.13 2
 19991216 1200 24.59 2
 20000116 1200 24.73 2
 20000215 1200 25.14 2
 20000316 1200 26.02 2
 20000416 1200 26.72 2
 20000516 1200 26.69 2
 20000616 1200 25.90 2
 20000716 1200 25.07 2
 20000816 1200 24.62 2
 20000916 1200 24.40 2
 20001016 1200 24.50 2
 20001116 1200 24.35 2
 20001216 1200 24.59 2
 20010116 1200 25.11 2
 20010215 1200 26.06 1
 20010316 1200 26.86 1
 20010416 1200 27.31 1
 20010516 1200 26.92 1
 20010616 1200 26.53 1
 20010716 1200 25.70 1
 20010816 1200 24.86 1
 20010916 1200 24.66 1
 20011016 1200 24.57 1
 20011116 1200 24.99 1
 20011216 1200 24.99 1
 20020116 1200 25.17 1
 20020215 1200 25.79 1
 20020316 1200 26.56 1
 20020416 1200 27.24 1
 20020516 1200 27.01 1
 20020616 1200 26.50 1
 20020716 1200 26.18 1
 20020816 1200 25.62 1
 20020916 1200 25.31 1
 20021016 1200 25.40 1
 20021116 1200 25.69 1
 20021216 1200 25.96 1
 20030116 1200 26.12 1
 20030215 1200 26.50 1
 20030316 1200 26.91 1
 20030416 1200 27.18 1
 20030516 1200 26.75 1
 20030616 1200 26.44 1
 20030716 1200 26.02 1
 20030816 1200 25.64 1
 20030916 1200 25.44 1
 20031016 1200 25.43 1
 20031116 1200 25.84 1
 20031216 1200 26.08 1
 20040116 1200 25.96 1
 20040215 1200 26.50 1
 20040316 1200 26.94 1
 20040416 1200 27.55 1
 20040516 1200 27.53 1
 20040616 1200 26.80 1
 20040716 1200 25.90 1
 20040816 1200 25.30 1
 20040916 1200 25.46 1
 20041016 1200 25.31 1
 20041116 1200 25.39 1
 20041216 1200 25.53 1
 20050116 1200 25.86 1
 20050215 1200 26.30 1
 20050316 1200 27.07 1
 20050416 1200 27.20 1
 20050516 1200 27.39 1
 20050616 1200 27.05 1
 20050716 1200 26.44 1
 20050816 1200 25.43 1
 20050916 1200 25.15 1
 20051016 1200 24.98 1
 20051116 1200 24.84 1
 20051216 1200 25.10 1
 20060116 1200 25.31 1
 20060215 1200 26.03 1
 20060316 1200 26.32 1
 20060416 1200 27.21 1
 20060516 1200 27.12 1
 20060616 1200 26.60 1
 20060716 1200 25.66 1
 20060816 1200 25.36 1
 20060916 1200 25.37 1
 20061016 1200 25.51 1
 20061116 1200 26.04 1
 20061216 1200 26.23 1
 20070116 1200 26.40 1
 20070215 1200 26.74 1
 20070316 1200 26.67 1
