 Location:  5S 110W  16 Nov 1985 to 16 Jul 2012 (  321 times,  2 blocks) Gen. Date Feb 16 2014
 Units: Air Temperature (C), -9.99 = missing
 Time: 1200 16 Nov 1985 to 1200 16 Aug 1995 (index     1 to   118,  118 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19851116 1200 22.71 2
 19851216 1200 23.18 2
 19860116 1200 23.85 2
 19860215 1200 25.13 2
 19860316 1200 26.02 2
 19860416 1200 26.34 2
 19860516 1200 26.01 2
 19860616 1200 25.11 2
 19860716 1200 24.18 2
 19860816 1200 23.66 2
 19860916 1200 -9.99 0
 19861016 1200 -9.99 0
 19861116 1200 -9.99 0
 19861216 1200 24.27 1
 19870116 1200 25.04 1
 19870215 1200 26.16 1
 19870316 1200 26.83 1
 19870416 1200 27.10 1
 19870516 1200 27.23 1
 19870616 1200 26.70 1
 19870716 1200 26.19 1
 19870816 1200 -9.99 0
 19870916 1200 -9.99 0
 19871016 1200 -9.99 0
 19871116 1200 24.76 1
 19871216 1200 24.88 1
 19880116 1200 25.45 1
 19880215 1200 26.09 1
 19880316 1200 26.68 1
 19880416 1200 26.64 1
 19880516 1200 26.20 1
 19880616 1200 -9.99 0
 19880716 1200 23.27 1
 19880816 1200 22.53 1
 19880916 1200 22.69 1
 19881016 1200 -9.99 0
 19881116 1200 22.51 1
 19881216 1200 23.16 1
 19890116 1200 23.91 1
 19890215 1200 24.91 1
 19890316 1200 -9.99 0
 19890416 1200 -9.99 0
 19890516 1200 26.17 1
 19890616 1200 25.21 1
 19890716 1200 24.16 1
 19890816 1200 23.86 1
 19890916 1200 23.19 1
 19891016 1200 23.02 1
 19891116 1200 22.58 1
 19891216 1200 22.57 1
 19900116 1200 23.33 1
 19900215 1200 24.66 1
 19900316 1200 25.47 1
 19900416 1200 26.01 1
 19900516 1200 25.92 1
 19900616 1200 25.06 1
 19900716 1200 23.82 1
 19900816 1200 23.24 1
 19900916 1200 22.77 1
 19901016 1200 22.70 1
 19901116 1200 22.95 1
 19901216 1200 23.41 2
 19910116 1200 24.13 2
 19910215 1200 25.30 2
 19910316 1200 26.35 2
 19910416 1200 26.93 4
 19910516 1200 26.87 4
 19910616 1200 26.51 4
 19910716 1200 25.80 4
 19910816 1200 24.86 4
 19910916 1200 24.08 4
 19911016 1200 24.44 4
 19911116 1200 24.67 4
 19911216 1200 25.18 4
 19920116 1200 25.73 4
 19920215 1200 -9.99 0
 19920316 1200 27.18 4
 19920416 1200 27.79 4
 19920516 1200 27.65 4
 19920616 1200 26.50 4
 19920716 1200 25.31 4
 19920816 1200 24.44 4
 19920916 1200 23.86 4
 19921016 1200 23.84 4
 19921116 1200 23.82 4
 19921216 1200 23.95 4
 19930116 1200 24.81 4
 19930215 1200 26.27 4
 19930316 1200 27.21 1
 19930416 1200 27.65 1
 19930516 1200 27.42 1
 19930616 1200 26.68 1
 19930716 1200 25.76 1
 19930816 1200 24.47 1
 19930916 1200 24.32 1
 19931016 1200 24.56 1
 19931116 1200 24.36 1
 19931216 1200 24.36 1
 19940116 1200 25.25 1
 19940215 1200 26.00 1
 19940316 1200 26.68 1
 19940416 1200 27.28 1
 19940516 1200 26.41 1
 19940616 1200 25.63 1
 19940716 1200 24.51 1
 19940816 1200 23.83 1
 19940916 1200 23.48 1
 19941016 1200 23.96 1
 19941116 1200 24.28 1
 19941216 1200 24.54 1
 19950116 1200 25.23 1
 19950215 1200 26.27 1
 19950316 1200 26.80 1
 19950416 1200 26.92 1
 19950516 1200 26.41 1
 19950616 1200 25.63 1
 19950716 1200 24.74 1
 19950816 1200 23.35 1
 Time: 1200 16 Jun 1996 to 1200 16 Jul 2012 (index   128 to   321,  194 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19960616 1200 25.15 4
 19960716 1200 24.77 4
 19960816 1200 -9.99 0
 19960916 1200 -9.99 0
 19961016 1200 22.81 4
 19961116 1200 22.75 4
 19961216 1200 23.04 4
 19970116 1200 23.63 4
 19970215 1200 24.64 4
 19970316 1200 26.16 4
 19970416 1200 26.95 4
 19970516 1200 27.09 4
 19970616 1200 26.47 4
 19970716 1200 26.29 4
 19970816 1200 26.18 4
 19970916 1200 26.12 2
 19971016 1200 26.32 2
 19971116 1200 26.47 2
 19971216 1200 26.92 2
 19980116 1200 27.30 2
 19980215 1200 27.73 2
 19980316 1200 27.95 2
 19980416 1200 28.20 2
 19980516 1200 27.58 2
 19980616 1200 26.37 2
 19980716 1200 -9.99 0
 19980816 1200 -9.99 0
 19980916 1200 -9.99 0
 19981016 1200 -9.99 0
 19981116 1200 24.04 2
 19981216 1200 24.47 2
 19990116 1200 24.47 2
 19990215 1200 25.92 2
 19990316 1200 26.22 2
 19990416 1200 26.33 2
 19990516 1200 25.59 2
 19990616 1200 24.75 2
 19990716 1200 23.90 2
 19990816 1200 23.51 2
 19990916 1200 22.89 2
 19991016 1200 22.44 2
 19991116 1200 22.85 2
 19991216 1200 23.10 2
 20000116 1200 23.93 2
 20000215 1200 25.05 2
 20000316 1200 25.71 2
 20000416 1200 26.38 2
 20000516 1200 25.80 1
 20000616 1200 24.46 1
 20000716 1200 23.49 1
 20000816 1200 23.39 1
 20000916 1200 23.11 1
 20001016 1200 23.18 1
 20001116 1200 23.28 1
