 Location:  5S  95W  16 May 1994 to 16 May 2012 (  217 times,  3 blocks) Gen. Date Feb 16 2014
 Units: Air Temperature (C), -9.99 = missing
 Time: 1200 16 May 1994 to 1200 16 Mar 2003 (index     1 to   107,  107 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19940516 1200 26.02 4
 19940616 1200 24.15 4
 19940716 1200 22.91 4
 19940816 1200 21.61 4
 19940916 1200 21.22 4
 19941016 1200 21.63 4
 19941116 1200 22.40 4
 19941216 1200 23.74 4
 19950116 1200 25.19 4
 19950215 1200 26.30 4
 19950316 1200 26.57 1
 19950416 1200 26.62 1
 19950516 1200 24.95 1
 19950616 1200 23.81 1
 19950716 1200 22.15 1
 19950816 1200 21.60 1
 19950916 1200 21.26 1
 19951016 1200 21.23 1
 19951116 1200 21.60 1
 19951216 1200 22.54 1
 19960116 1200 24.19 1
 19960215 1200 25.59 1
 19960316 1200 26.86 1
 19960416 1200 26.12 1
 19960516 1200 25.25 1
 19960616 1200 23.42 1
 19960716 1200 22.45 1
 19960816 1200 21.57 1
 19960916 1200 20.94 1
 19961016 1200 20.87 1
 19961116 1200 21.05 4
 19961216 1200 22.20 4
 19970116 1200 23.56 4
 19970215 1200 25.43 4
 19970316 1200 26.79 4
 19970416 1200 27.07 4
 19970516 1200 26.90 4
 19970616 1200 26.43 4
 19970716 1200 25.84 4
 19970816 1200 25.64 4
 19970916 1200 25.61 4
 19971016 1200 25.47 4
 19971116 1200 26.01 4
 19971216 1200 26.96 4
 19980116 1200 27.35 4
 19980215 1200 28.36 4
 19980316 1200 27.99 2
 19980416 1200 27.85 2
 19980516 1200 27.48 2
 19980616 1200 26.41 2
 19980716 1200 25.22 2
 19980816 1200 23.82 2
 19980916 1200 22.81 2
 19981016 1200 23.07 2
 19981116 1200 23.22 2
 19981216 1200 23.81 2
 19990116 1200 24.91 2
 19990215 1200 26.00 2
 19990316 1200 26.29 2
 19990416 1200 26.00 2
 19990516 1200 25.49 2
 19990616 1200 24.27 2
 19990716 1200 23.25 2
 19990816 1200 21.89 2
 19990916 1200 21.20 2
 19991016 1200 20.82 2
 19991116 1200 21.64 2
 19991216 1200 22.92 2
 20000116 1200 24.50 2
 20000215 1200 26.18 2
 20000316 1200 26.71 2
 20000416 1200 27.18 2
 20000516 1200 25.83 1
 20000616 1200 23.59 1
 20000716 1200 22.63 1
 20000816 1200 21.60 1
 20000916 1200 20.99 1
 20001016 1200 21.17 1
 20001116 1200 21.83 1
 20001216 1200 23.05 1
 20010116 1200 24.28 1
 20010215 1200 25.96 1
 20010316 1200 26.81 1
 20010416 1200 26.84 1
 20010516 1200 25.43 2
 20010616 1200 24.38 2
 20010716 1200 -9.99 0
 20010816 1200 -9.99 0
 20010916 1200 -9.99 0
 20011016 1200 -9.99 0
 20011116 1200 -9.99 0
 20011216 1200 21.91 1
 20020116 1200 23.71 1
 20020215 1200 25.28 1
 20020316 1200 26.22 1
 20020416 1200 26.66 1
 20020516 1200 25.94 1
 20020616 1200 24.99 1
 20020716 1200 23.79 1
 20020816 1200 -9.99 0
 20020916 1200 -9.99 0
 20021016 1200 -9.99 0
 20021116 1200 21.84 2
 20021216 1200 22.48 2
 20030116 1200 23.82 2
 20030215 1200 25.21 2
 20030316 1200 25.83 2
 Time: 1200 16 Nov 2003 to 1200 16 Mar 2009 (index   115 to   179,   65 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 20031116 1200 22.06 1
 20031216 1200 22.94 1
 20040116 1200 24.62 1
 20040215 1200 26.09 1
 20040316 1200 26.92 1
 20040416 1200 26.85 1
 20040516 1200 24.82 1
 20040616 1200 22.57 1
 20040716 1200 -9.99 0
 20040816 1200 -9.99 0
 20040916 1200 -9.99 0
 20041016 1200 -9.99 0
 20041116 1200 22.50 1
 20041216 1200 23.54 1
 20050116 1200 24.88 1
 20050215 1200 26.21 1
 20050316 1200 26.77 1
 20050416 1200 26.83 1
 20050516 1200 26.15 1
 20050616 1200 23.92 1
 20050716 1200 22.73 1
 20050816 1200 21.92 1
 20050916 1200 21.00 1
 20051016 1200 20.23 1
 20051116 1200 21.09 1
 20051216 1200 22.23 1
 20060116 1200 24.48 1
 20060215 1200 26.16 1
 20060316 1200 26.73 1
 20060416 1200 26.27 1
 20060516 1200 25.59 2
 20060616 1200 24.14 2
 20060716 1200 -9.99 0
 20060816 1200 -9.99 0
 20060916 1200 -9.99 0
 20061016 1200 -9.99 0
 20061116 1200 23.33 2
 20061216 1200 24.00 2
 20070116 1200 25.06 2
 20070215 1200 26.23 2
 20070316 1200 26.35 2
 20070416 1200 26.15 2
 20070516 1200 24.73 2
 20070616 1200 22.65 2
 20070716 1200 21.31 2
 20070816 1200 -9.99 0
 20070916 1200 -9.99 0
 20071016 1200 -9.99 0
 20071116 1200 20.43 2
 20071216 1200 21.62 2
 20080116 1200 23.47 2
 20080215 1200 25.44 2
 20080316 1200 26.31 2
 20080416 1200 26.42 2
 20080516 1200 26.10 2
 20080616 1200 24.63 2
 20080716 1200 23.48 2
 20080816 1200 22.86 2
 20080916 1200 22.35 2
 20081016 1200 22.21 2
 20081116 1200 22.50 2
 20081216 1200 23.47 2
 20090116 1200 25.20 2
 20090215 1200 25.93 2
 20090316 1200 26.69 2
 Time: 1200 16 Oct 2009 to 1200 16 May 2012 (index   186 to   217,   32 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 20091016 1200 21.92 1
 20091116 1200 22.73 1
 20091216 1200 23.54 1
 20100116 1200 24.61 1
 20100215 1200 25.76 1
 20100316 1200 26.83 1
 20100416 1200 27.01 1
 20100516 1200 26.30 1
 20100616 1200 24.41 1
 20100716 1200 22.76 1
 20100816 1200 21.06 2
 20100916 1200 20.68 2
 20101016 1200 21.00 2
 20101116 1200 21.72 2
 20101216 1200 22.51 2
 20110116 1200 24.42 2
 20110215 1200 25.63 2
 20110316 1200 26.36 2
 20110416 1200 26.52 2
 20110516 1200 26.17 2
 20110616 1200 24.91 2
 20110716 1200 23.65 2
 20110816 1200 22.64 2
 20110916 1200 21.95 2
 20111016 1200 21.93 2
 20111116 1200 22.66 2
 20111216 1200 23.53 2
 20120116 1200 25.04 2
 20120215 1200 26.26 2
 20120316 1200 26.92 2
 20120416 1200 26.53 2
 20120516 1200 26.13 2
