 Location:  8S 125W  16 Oct 1993 to 16 Sep 2012 (  228 times,  2 blocks) Gen. Date Feb 16 2014
 Units: Air Temperature (C), -9.99 = missing
 Time: 1200 16 Oct 1993 to 1200 15 Feb 1999 (index     1 to    65,   65 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19931016 1200 26.25 4
 19931116 1200 26.20 4
 19931216 1200 26.24 4
 19940116 1200 26.27 4
 19940215 1200 26.54 4
 19940316 1200 -9.99 0
 19940416 1200 -9.99 0
 19940516 1200 26.96 4
 19940616 1200 26.62 4
 19940716 1200 25.92 4
 19940816 1200 25.53 4
 19940916 1200 25.36 1
 19941016 1200 25.84 1
 19941116 1200 25.92 1
 19941216 1200 26.31 1
 19950116 1200 26.62 1
 19950215 1200 27.10 1
 19950316 1200 27.41 1
 19950416 1200 27.57 1
 19950516 1200 27.40 1
 19950616 1200 27.03 1
 19950716 1200 26.31 1
 19950816 1200 25.76 1
 19950916 1200 25.22 1
 19951016 1200 25.04 1
 19951116 1200 24.99 1
 19951216 1200 25.30 1
 19960116 1200 25.89 1
 19960215 1200 26.30 1
 19960316 1200 26.78 1
 19960416 1200 27.29 1
 19960516 1200 26.93 1
 19960616 1200 26.51 1
 19960716 1200 26.16 4
 19960816 1200 25.83 4
 19960916 1200 25.72 1
 19961016 1200 25.70 1
 19961116 1200 25.49 1
 19961216 1200 25.65 1
 19970116 1200 25.56 1
 19970215 1200 26.02 1
 19970316 1200 26.76 1
 19970416 1200 27.31 1
 19970516 1200 27.32 1
 19970616 1200 26.99 1
 19970716 1200 26.40 1
 19970816 1200 26.54 1
 19970916 1200 26.45 1
 19971016 1200 26.82 1
 19971116 1200 27.24 1
 19971216 1200 27.66 1
 19980116 1200 27.79 1
 19980215 1200 28.26 1
 19980316 1200 28.44 1
 19980416 1200 28.40 1
 19980516 1200 28.30 1
 19980616 1200 27.44 1
 19980716 1200 26.61 1
 19980816 1200 25.80 1
 19980916 1200 25.76 1
 19981016 1200 25.69 2
 19981116 1200 26.11 2
 19981216 1200 25.93 2
 19990116 1200 25.93 2
 19990215 1200 26.40 2
 Time: 1200 16 Oct 1999 to 1200 16 Sep 2012 (index    73 to   228,  156 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19991016 1200 24.78 2
 19991116 1200 24.57 2
 19991216 1200 24.87 2
 20000116 1200 24.95 2
 20000215 1200 25.66 2
 20000316 1200 26.20 2
 20000416 1200 26.76 2
 20000516 1200 26.64 2
 20000616 1200 26.11 2
 20000716 1200 25.38 2
 20000816 1200 24.93 2
 20000916 1200 24.95 2
 20001016 1200 25.21 2
 20001116 1200 25.09 2
 20001216 1200 25.49 2
 20010116 1200 25.82 2
 20010215 1200 26.58 2
 20010316 1200 27.15 2
 20010416 1200 27.51 2
 20010516 1200 27.22 2
 20010616 1200 26.62 2
 20010716 1200 26.00 2
 20010816 1200 25.29 2
 20010916 1200 25.13 2
 20011016 1200 25.04 2
 20011116 1200 25.37 2
 20011216 1200 25.26 2
 20020116 1200 -9.99 0
 20020215 1200 -9.99 0
 20020316 1200 -9.99 0
 20020416 1200 -9.99 0
 20020516 1200 26.78 1
 20020616 1200 26.42 1
 20020716 1200 25.98 1
 20020816 1200 25.64 1
 20020916 1200 25.37 1
 20021016 1200 25.41 1
 20021116 1200 25.72 1
 20021216 1200 25.88 1
 20030116 1200 26.15 1
 20030215 1200 26.68 1
 20030316 1200 27.23 1
 20030416 1200 27.32 1
 20030516 1200 26.99 1
 20030616 1200 26.67 1
 20030716 1200 25.97 1
 20030816 1200 25.66 1
 20030916 1200 25.54 1
 20031016 1200 25.76 1
 20031116 1200 26.10 1
 20031216 1200 26.47 1
