 Location:  8S 110W  16 Nov 1985 to 15 Feb 2014 (  340 times,  4 blocks) Gen. Date Feb 16 2014
 Units: Air Temperature (C), -9.99 = missing
 Time: 1200 16 Nov 1985 to 1200 16 May 1987 (index     1 to    19,   19 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19851116 1200 23.36 2
 19851216 1200 23.51 2
 19860116 1200 24.20 2
 19860215 1200 25.38 2
 19860316 1200 26.28 2
 19860416 1200 26.54 2
 19860516 1200 26.14 2
 19860616 1200 25.46 2
 19860716 1200 24.62 2
 19860816 1200 24.34 2
 19860916 1200 24.19 2
 19861016 1200 -9.99 0
 19861116 1200 -9.99 0
 19861216 1200 24.44 1
 19870116 1200 25.02 1
 19870215 1200 25.81 1
 19870316 1200 26.44 1
 19870416 1200 26.90 1
 19870516 1200 26.73 1
 Time: 1200 16 Mar 1992 to 1200 16 Mar 2002 (index    77 to   197,  121 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19920316 1200 26.94 2
 19920416 1200 26.99 2
 19920516 1200 26.87 2
 19920616 1200 25.99 2
 19920716 1200 25.23 2
 19920816 1200 24.21 2
 19920916 1200 24.04 2
 19921016 1200 23.99 2
 19921116 1200 23.72 2
 19921216 1200 24.06 2
 19930116 1200 24.85 2
 19930215 1200 26.11 2
 19930316 1200 26.98 1
 19930416 1200 27.24 1
 19930516 1200 27.00 1
 19930616 1200 26.21 1
 19930716 1200 25.47 1
 19930816 1200 24.76 1
 19930916 1200 24.35 1
 19931016 1200 24.48 1
 19931116 1200 24.67 1
 19931216 1200 24.75 1
 19940116 1200 24.92 1
 19940215 1200 25.63 1
 19940316 1200 26.28 1
 19940416 1200 26.86 1
 19940516 1200 26.94 1
 19940616 1200 26.11 1
 19940716 1200 25.17 1
 19940816 1200 24.17 1
 19940916 1200 23.75 1
 19941016 1200 23.88 1
 19941116 1200 24.08 1
 19941216 1200 24.35 1
 19950116 1200 24.87 1
 19950215 1200 25.74 1
 19950316 1200 26.46 1
 19950416 1200 26.75 1
 19950516 1200 26.55 1
 19950616 1200 25.64 1
 19950716 1200 24.84 1
 19950816 1200 23.65 1
 19950916 1200 23.58 1
 19951016 1200 23.65 1
 19951116 1200 23.78 1
 19951216 1200 24.03 1
 19960116 1200 24.85 1
 19960215 1200 25.77 1
 19960316 1200 26.71 1
 19960416 1200 26.80 1
 19960516 1200 26.32 2
 19960616 1200 25.80 2
 19960716 1200 25.29 2
 19960816 1200 24.73 2
 19960916 1200 24.38 2
 19961016 1200 24.12 2
 19961116 1200 24.20 2
 19961216 1200 24.43 2
 19970116 1200 24.84 2
 19970215 1200 25.70 2
 19970316 1200 26.66 2
 19970416 1200 27.31 2
 19970516 1200 27.28 2
 19970616 1200 26.63 2
 19970716 1200 26.04 2
 19970816 1200 25.86 4
 19970916 1200 25.58 4
 19971016 1200 25.62 4
 19971116 1200 25.88 4
 19971216 1200 26.13 4
 19980116 1200 26.96 4
 19980215 1200 27.32 4
 19980316 1200 28.02 4
 19980416 1200 28.14 4
 19980516 1200 27.56 4
 19980616 1200 26.93 4
 19980716 1200 26.01 4
 19980816 1200 25.65 4
 19980916 1200 25.10 4
 19981016 1200 24.87 4
 19981116 1200 24.41 2
 19981216 1200 24.53 2
 19990116 1200 24.89 2
 19990215 1200 25.60 2
 19990316 1200 25.95 2
 19990416 1200 26.25 2
 19990516 1200 25.78 2
 19990616 1200 24.97 2
 19990716 1200 23.92 2
 19990816 1200 23.71 2
 19990916 1200 23.28 2
 19991016 1200 22.92 2
 19991116 1200 22.83 2
 19991216 1200 23.42 2
 20000116 1200 24.20 2
 20000215 1200 25.42 2
 20000316 1200 26.06 2
 20000416 1200 26.26 2
 20000516 1200 26.02 2
 20000616 1200 24.99 2
 20000716 1200 23.85 2
 20000816 1200 23.56 2
 20000916 1200 23.32 2
 20001016 1200 23.39 2
 20001116 1200 23.53 1
 20001216 1200 24.01 1
 20010116 1200 24.49 1
 20010215 1200 25.61 1
 20010316 1200 26.33 1
 20010416 1200 26.84 1
 20010516 1200 26.32 1
 20010616 1200 25.60 1
 20010716 1200 24.57 1
 20010816 1200 23.80 1
 20010916 1200 23.26 1
 20011016 1200 22.96 1
 20011116 1200 23.25 1
 20011216 1200 23.50 1
 20020116 1200 24.02 1
 20020215 1200 24.99 1
 20020316 1200 25.99 1
 Time: 1200 16 Nov 2002 to 1200 16 Jun 2007 (index   205 to   260,   56 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 20021116 1200 24.01 1
 20021216 1200 24.19 1
 20030116 1200 24.62 1
 20030215 1200 25.32 1
 20030316 1200 25.98 1
 20030416 1200 26.36 1
 20030516 1200 26.08 1
 20030616 1200 25.52 1
 20030716 1200 24.66 1
 20030816 1200 24.21 1
 20030916 1200 24.14 1
 20031016 1200 24.29 1
 20031116 1200 24.61 1
 20031216 1200 24.60 1
 20040116 1200 24.76 1
 20040215 1200 25.48 1
 20040316 1200 26.53 1
 20040416 1200 26.92 1
 20040516 1200 26.61 1
 20040616 1200 25.74 1
 20040716 1200 24.72 1
 20040816 1200 -9.99 0
 20040916 1200 -9.99 0
 20041016 1200 -9.99 0
 20041116 1200 -9.99 0
 20041216 1200 24.30 2
 20050116 1200 24.81 2
 20050215 1200 25.73 2
 20050316 1200 26.50 2
 20050416 1200 26.82 2
 20050516 1200 26.86 1
 20050616 1200 26.20 1
 20050716 1200 25.34 1
 20050816 1200 24.68 1
 20050916 1200 23.98 1
 20051016 1200 23.71 1
 20051116 1200 23.69 1
 20051216 1200 23.97 2
 20060116 1200 24.75 2
 20060215 1200 25.76 2
 20060316 1200 26.43 2
 20060416 1200 26.68 2
 20060516 1200 26.30 2
 20060616 1200 25.56 2
 20060716 1200 24.65 2
 20060816 1200 24.15 2
 20060916 1200 24.14 2
 20061016 1200 -9.99 0
 20061116 1200 -9.99 0
 20061216 1200 24.57 2
 20070116 1200 25.11 2
 20070215 1200 25.82 2
 20070316 1200 26.67 2
 20070416 1200 26.91 2
 20070516 1200 26.57 2
 20070616 1200 25.76 2
 Time: 1200 16 Jan 2008 to 1200 15 Feb 2014 (index   267 to   340,   74 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 20080116 1200 23.53 1
 20080215 1200 24.60 1
 20080316 1200 25.62 1
 20080416 1200 26.18 1
 20080516 1200 26.32 1
 20080616 1200 25.63 1
 20080716 1200 24.69 1
 20080816 1200 24.07 1
 20080916 1200 23.75 1
 20081016 1200 23.62 1
 20081116 1200 23.60 1
 20081216 1200 23.79 1
 20090116 1200 24.48 1
 20090215 1200 25.65 1
 20090316 1200 26.35 1
 20090416 1200 26.88 1
 20090516 1200 26.71 1
 20090616 1200 26.38 1
 20090716 1200 25.55 1
 20090816 1200 24.74 1
 20090916 1200 24.18 1
 20091016 1200 23.98 1
 20091116 1200 23.78 1
 20091216 1200 23.96 1
 20100116 1200 24.58 1
 20100215 1200 25.34 1
 20100316 1200 26.37 1
 20100416 1200 27.24 1
 20100516 1200 26.94 1
 20100616 1200 26.22 1
 20100716 1200 25.29 1
 20100816 1200 24.66 1
 20100916 1200 24.21 1
 20101016 1200 24.02 1
 20101116 1200 24.14 1
 20101216 1200 24.30 1
 20110116 1200 24.80 1
 20110215 1200 25.63 1
 20110316 1200 26.84 1
 20110416 1200 27.43 1
 20110516 1200 27.09 1
 20110616 1200 26.58 1
 20110716 1200 25.81 1
 20110816 1200 24.05 2
 20110916 1200 23.50 2
 20111016 1200 23.18 2
 20111116 1200 23.45 2
 20111216 1200 23.62 2
 20120116 1200 24.23 2
 20120215 1200 25.60 2
 20120316 1200 26.64 2
 20120416 1200 26.90 2
 20120516 1200 26.45 2
 20120616 1200 25.86 2
 20120716 1200 25.43 2
 20120816 1200 24.76 2
 20120916 1200 24.00 2
 20121016 1200 23.94 2
 20121116 1200 24.09 2
 20121216 1200 23.85 2
 20130116 1200 24.35 2
 20130215 1200 25.46 2
 20130316 1200 26.60 2
 20130416 1200 27.05 2
 20130516 1200 26.33 2
 20130616 1200 25.21 2
 20130716 1200 24.38 2
 20130816 1200 23.69 2
 20130916 1200 23.60 2
 20131016 1200 23.35 2
 20131116 1200 23.76 2
 20131216 1200 23.93 2
 20140116 1200 24.39 2
 20140215 1200 24.88 2
