 Location:  8S  95W  16 Aug 1994 to 16 Jan 2013 (  222 times,  1 blocks) Gen. Date Feb 16 2014
 Units: Air Temperature (C), -9.99 = missing
 Time: 1200 16 Aug 1994 to 1200 16 Jan 2013 (index     1 to   222,  222 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19940816 1200 21.28 1
 19940916 1200 21.08 1
 19941016 1200 21.23 1
 19941116 1200 21.71 1
 19941216 1200 22.99 1
 19950116 1200 24.31 1
 19950215 1200 25.50 1
 19950316 1200 26.45 1
 19950416 1200 26.43 1
 19950516 1200 25.55 1
 19950616 1200 23.99 1
 19950716 1200 22.48 1
 19950816 1200 21.28 1
 19950916 1200 21.13 1
 19951016 1200 21.06 1
 19951116 1200 21.29 1
 19951216 1200 22.10 1
 19960116 1200 23.56 1
 19960215 1200 25.06 1
 19960316 1200 25.90 1
 19960416 1200 25.97 1
 19960516 1200 25.11 2
 19960616 1200 24.22 2
 19960716 1200 22.85 2
 19960816 1200 21.86 2
 19960916 1200 21.17 2
 19961016 1200 20.95 2
 19961116 1200 21.29 2
 19961216 1200 22.05 2
 19970116 1200 23.65 2
 19970215 1200 25.37 2
 19970316 1200 26.36 2
 19970416 1200 26.73 2
 19970516 1200 26.14 2
 19970616 1200 25.42 2
 19970716 1200 24.53 2
 19970816 1200 24.46 1
 19970916 1200 24.49 1
 19971016 1200 24.37 1
 19971116 1200 24.67 1
 19971216 1200 25.66 1
 19980116 1200 26.47 1
 19980215 1200 27.29 1
 19980316 1200 27.70 1
 19980416 1200 27.69 1
 19980516 1200 27.13 1
 19980616 1200 25.87 1
 19980716 1200 25.13 1
 19980816 1200 23.81 1
 19980916 1200 22.89 1
 19981016 1200 22.50 1
 19981116 1200 23.07 2
 19981216 1200 23.72 2
 19990116 1200 24.87 2
 19990215 1200 25.86 2
 19990316 1200 26.43 2
 19990416 1200 26.33 2
 19990516 1200 25.68 2
 19990616 1200 24.31 2
 19990716 1200 22.90 2
 19990816 1200 22.12 2
 19990916 1200 21.19 2
 19991016 1200 20.93 2
 19991116 1200 21.58 2
 19991216 1200 22.45 1
 20000116 1200 23.84 1
 20000215 1200 25.31 1
 20000316 1200 25.67 1
 20000416 1200 25.94 1
 20000516 1200 25.44 1
 20000616 1200 23.84 1
 20000716 1200 22.26 1
 20000816 1200 21.62 1
 20000916 1200 21.00 1
 20001016 1200 20.80 1
 20001116 1200 21.46 2
 20001216 1200 22.60 2
 20010116 1200 24.03 2
 20010215 1200 25.69 2
 20010316 1200 26.69 2
 20010416 1200 26.67 2
 20010516 1200 25.56 2
 20010616 1200 24.08 2
 20010716 1200 22.48 2
 20010816 1200 -9.99 0
 20010916 1200 -9.99 0
 20011016 1200 -9.99 0
 20011116 1200 20.90 1
 20011216 1200 21.61 1
 20020116 1200 23.32 1
 20020215 1200 25.11 1
 20020316 1200 26.43 1
 20020416 1200 26.53 1
 20020516 1200 25.93 1
 20020616 1200 24.49 1
 20020716 1200 23.31 1
 20020816 1200 22.11 1
 20020916 1200 21.38 1
 20021016 1200 21.24 1
 20021116 1200 21.87 1
 20021216 1200 22.48 1
 20030116 1200 23.66 1
 20030215 1200 25.22 1
 20030316 1200 25.99 1
 20030416 1200 26.29 2
 20030516 1200 25.68 2
 20030616 1200 -9.99 0
 20030716 1200 -9.99 0
 20030816 1200 -9.99 0
 20030916 1200 -9.99 0
 20031016 1200 -9.99 0
 20031116 1200 21.63 1
 20031216 1200 22.38 1
 20040116 1200 23.82 1
 20040215 1200 25.53 1
 20040316 1200 26.29 1
 20040416 1200 26.52 1
 20040516 1200 25.55 1
 20040616 1200 23.61 1
 20040716 1200 22.34 1
 20040816 1200 21.38 1
 20040916 1200 20.71 1
 20041016 1200 20.90 1
 20041116 1200 22.06 1
 20041216 1200 23.02 1
 20050116 1200 24.35 1
 20050215 1200 25.56 1
 20050316 1200 26.39 1
 20050416 1200 26.76 1
 20050516 1200 25.81 1
 20050616 1200 24.73 1
 20050716 1200 23.12 1
 20050816 1200 21.73 1
 20050916 1200 21.29 1
 20051016 1200 21.06 1
 20051116 1200 21.27 1
 20051216 1200 22.09 1
 20060116 1200 24.03 1
 20060215 1200 25.64 1
 20060316 1200 26.59 1
 20060416 1200 26.34 1
 20060516 1200 25.88 1
 20060616 1200 24.28 1
 20060716 1200 23.24 1
 20060816 1200 22.66 1
 20060916 1200 22.40 1
 20061016 1200 22.12 1
 20061116 1200 22.78 2
 20061216 1200 -9.99 0
 20070116 1200 -9.99 0
 20070215 1200 -9.99 0
 20070316 1200 -9.99 0
 20070416 1200 -9.99 0
 20070516 1200 25.66 1
 20070616 1200 24.00 1
 20070716 1200 22.40 1
 20070816 1200 21.00 1
 20070916 1200 19.94 1
 20071016 1200 19.79 1
 20071116 1200 20.19 1
 20071216 1200 21.09 1
 20080116 1200 22.90 1
 20080215 1200 24.88 1
 20080316 1200 26.02 1
 20080416 1200 26.26 1
 20080516 1200 25.74 1
 20080616 1200 23.93 1
 20080716 1200 22.67 1
 20080816 1200 21.89 1
 20080916 1200 21.76 1
 20081016 1200 21.11 1
 20081116 1200 21.51 1
 20081216 1200 22.80 1
 20090116 1200 24.44 1
 20090215 1200 25.80 1
 20090316 1200 26.60 1
 20090416 1200 26.79 1
 20090516 1200 26.32 1
 20090616 1200 25.03 1
 20090716 1200 23.03 1
 20090816 1200 21.53 1
 20090916 1200 21.15 1
 20091016 1200 21.11 1
 20091116 1200 21.89 1
 20091216 1200 22.47 1
 20100116 1200 23.77 1
 20100215 1200 24.84 1
 20100316 1200 25.88 1
 20100416 1200 25.98 1
 20100516 1200 25.54 1
 20100616 1200 24.19 1
 20100716 1200 22.59 1
 20100816 1200 21.33 2
 20100916 1200 20.52 2
 20101016 1200 20.44 2
 20101116 1200 21.23 2
 20101216 1200 22.00 2
 20110116 1200 23.51 2
 20110215 1200 25.10 2
 20110316 1200 26.11 2
 20110416 1200 26.37 2
 20110516 1200 25.44 2
 20110616 1200 24.17 2
 20110716 1200 22.65 2
 20110816 1200 21.93 2
 20110916 1200 21.17 2
 20111016 1200 21.33 2
 20111116 1200 -9.99 0
 20111216 1200 -9.99 0
 20120116 1200 -9.99 0
 20120215 1200 -9.99 0
 20120316 1200 26.58 2
 20120416 1200 26.72 2
 20120516 1200 25.98 2
 20120616 1200 25.19 2
 20120716 1200 23.75 2
 20120816 1200 22.25 2
 20120916 1200 21.39 2
 20121016 1200 21.35 2
 20121116 1200 21.62 2
 20121216 1200 22.46 2
 20130116 1200 23.68 2
