 Location:  0N 147E  16 May 1994 to 16 Jan 2014 (  237 times,  6 blocks) Gen. Date Feb 16 2014
 Units: Air Temperature (C), -9.99 = missing
 Time: 1200 16 May 1994 to 1200 16 Jun 1994 (index     1 to     2,    2 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19940516 1200 28.76 1
 19940616 1200 28.35 1
 Time: 1200 16 Jan 1995 to 1200 16 Jul 1995 (index     9 to    15,    7 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19950116 1200 28.02 4
 19950215 1200 28.10 4
 19950316 1200 28.08 4
 19950416 1200 28.26 4
 19950516 1200 28.77 4
 19950616 1200 28.58 4
 19950716 1200 28.48 2
 Time: 1200 15 Feb 1996 to 1200 16 Nov 1999 (index    22 to    67,   46 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19960215 1200 28.24 1
 19960316 1200 28.50 1
 19960416 1200 28.38 1
 19960516 1200 28.43 1
 19960616 1200 28.58 1
 19960716 1200 28.50 1
 19960816 1200 28.48 1
 19960916 1200 28.82 1
 19961016 1200 28.87 1
 19961116 1200 28.79 1
 19961216 1200 28.51 1
 19970116 1200 28.13 1
 19970215 1200 27.68 1
 19970316 1200 28.30 1
 19970416 1200 28.13 1
 19970516 1200 -9.99 0
 19970616 1200 -9.99 0
 19970716 1200 -9.99 0
 19970816 1200 -9.99 0
 19970916 1200 27.87 1
 19971016 1200 28.04 1
 19971116 1200 28.24 1
 19971216 1200 28.42 1
 19980116 1200 28.14 1
 19980215 1200 28.09 1
 19980316 1200 28.17 1
 19980416 1200 28.41 1
 19980516 1200 28.65 1
 19980616 1200 28.51 1
 19980716 1200 28.61 1
 19980816 1200 28.68 1
 19980916 1200 28.58 2
 19981016 1200 28.73 2
 19981116 1200 28.75 2
 19981216 1200 28.52 2
 19990116 1200 28.90 2
 19990215 1200 28.59 2
 19990316 1200 28.59 2
 19990416 1200 28.28 2
 19990516 1200 28.36 2
 19990616 1200 27.86 2
 19990716 1200 27.78 2
 19990816 1200 27.69 2
 19990916 1200 28.31 2
 19991016 1200 28.70 2
 19991116 1200 28.22 2
 Time: 1200 16 Dec 1999 to 1200 16 Dec 2003 (index    68 to   116,   49 times)
 Depth (M):     -2.2 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19991216 1200 28.18 2
 20000116 1200 28.46 2
 20000215 1200 28.81 2
 20000316 1200 28.36 2
 20000416 1200 27.94 2
 20000516 1200 27.79 2
 20000616 1200 27.85 2
 20000716 1200 27.25 2
 20000816 1200 -9.99 0
 20000916 1200 -9.99 0
 20001016 1200 -9.99 0
 20001116 1200 28.67 1
 20001216 1200 28.58 1
 20010116 1200 28.88 1
 20010215 1200 28.30 1
 20010316 1200 28.35 1
 20010416 1200 28.35 1
 20010516 1200 28.36 1
 20010616 1200 28.29 1
 20010716 1200 27.94 1
 20010816 1200 28.10 1
 20010916 1200 28.42 1
 20011016 1200 28.55 1
 20011116 1200 28.79 1
 20011216 1200 28.41 1
 20020116 1200 28.36 1
 20020215 1200 28.64 1
 20020316 1200 28.24 1
 20020416 1200 28.27 1
 20020516 1200 28.84 1
 20020616 1200 28.13 1
 20020716 1200 28.24 1
 20020816 1200 28.28 1
 20020916 1200 28.44 1
 20021016 1200 28.51 1
 20021116 1200 28.65 1
 20021216 1200 28.74 1
 20030116 1200 28.43 1
 20030215 1200 28.11 1
 20030316 1200 28.09 1
 20030416 1200 28.69 1
 20030516 1200 28.86 1
 20030616 1200 28.43 1
 20030716 1200 27.79 1
 20030816 1200 27.69 1
 20030916 1200 27.70 1
 20031016 1200 28.60 1
 20031116 1200 28.61 1
 20031216 1200 28.75 1
 Time: 1200 15 Feb 2005 to 1200 16 Apr 2011 (index   130 to   204,   75 times)
 Depth (M):     -2.2 QUALITY
 YYYYMMDD HHMM  AIRT Q
 20050215 1200 28.46 1
 20050316 1200 28.61 1
 20050416 1200 28.39 1
 20050516 1200 28.42 1
 20050616 1200 28.13 1
 20050716 1200 27.93 1
 20050816 1200 27.70 1
 20050916 1200 27.90 1
 20051016 1200 28.64 1
 20051116 1200 28.57 1
 20051216 1200 28.28 1
 20060116 1200 28.61 1
 20060215 1200 28.62 1
 20060316 1200 28.42 2
 20060416 1200 28.09 2
 20060516 1200 28.97 2
 20060616 1200 28.60 2
 20060716 1200 28.35 2
 20060816 1200 27.73 2
 20060916 1200 28.19 2
 20061016 1200 28.48 2
 20061116 1200 28.74 2
 20061216 1200 28.92 2
 20070116 1200 28.38 2
 20070215 1200 28.28 2
 20070316 1200 28.60 2
 20070416 1200 28.64 2
 20070516 1200 28.64 2
 20070616 1200 29.00 2
 20070716 1200 28.15 1
 20070816 1200 28.28 1
 20070916 1200 28.49 1
 20071016 1200 29.09 1
 20071116 1200 28.46 1
 20071216 1200 28.88 1
 20080116 1200 28.32 1
 20080215 1200 28.28 1
 20080316 1200 28.31 1
 20080416 1200 28.21 1
 20080516 1200 28.25 1
 20080616 1200 27.58 1
 20080716 1200 28.27 1
 20080816 1200 28.31 1
 20080916 1200 28.47 1
 20081016 1200 28.97 1
 20081116 1200 28.90 1
 20081216 1200 28.60 1
 20090116 1200 29.11 1
 20090215 1200 27.93 1
 20090316 1200 28.23 1
 20090416 1200 28.75 1
 20090516 1200 28.91 1
 20090616 1200 28.32 1
 20090716 1200 27.88 1
 20090816 1200 28.46 1
 20090916 1200 28.31 1
 20091016 1200 28.49 1
 20091116 1200 28.86 1
 20091216 1200 28.64 1
 20100116 1200 28.33 1
 20100215 1200 28.41 1
 20100316 1200 28.50 1
 20100416 1200 28.37 1
 20100516 1200 28.85 1
 20100616 1200 29.27 1
 20100716 1200 28.89 1
 20100816 1200 28.59 1
 20100916 1200 28.71 1
 20101016 1200 28.81 1
 20101116 1200 28.75 1
 20101216 1200 28.79 1
 20110116 1200 29.09 2
 20110215 1200 29.15 2
 20110316 1200 28.67 2
 20110416 1200 28.74 2
 Time: 1200 16 Aug 2012 to 1200 16 Jan 2014 (index   220 to   237,   18 times)
 Depth (M):     -2.2 QUALITY
 YYYYMMDD HHMM  AIRT Q
 20120816 1200 27.72 2
 20120916 1200 27.78 2
 20121016 1200 28.51 2
 20121116 1200 28.44 2
 20121216 1200 28.67 2
 20130116 1200 28.65 2
 20130215 1200 28.00 2
 20130316 1200 28.60 2
 20130416 1200 28.04 2
 20130516 1200 28.61 2
 20130616 1200 28.35 2
 20130716 1200 27.84 2
 20130816 1200 27.79 2
 20130916 1200 28.11 2
 20131016 1200 28.35 2
 20131116 1200 28.29 2
 20131216 1200 28.52 2
 20140116 1200 28.17 2
