 Location:  0N 156E  16 Sep 1991 to 16 Jan 2014 (  269 times,  4 blocks) Gen. Date Feb 16 2014
 Units: Air Temperature (C), -9.99 = missing
 Time: 1200 16 Sep 1991 to 1200 16 Jun 1994 (index     1 to    34,   34 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19910916 1200 27.80 2
 19911016 1200 -9.99 0
 19911116 1200 -9.99 0
 19911216 1200 -9.99 0
 19920116 1200 -9.99 0
 19920215 1200 -9.99 0
 19920316 1200 28.20 2
 19920416 1200 28.20 2
 19920516 1200 28.20 2
 19920616 1200 28.28 2
 19920716 1200 28.18 2
 19920816 1200 28.39 2
 19920916 1200 28.00 2
 19921016 1200 27.82 2
 19921116 1200 27.99 2
 19921216 1200 27.61 2
 19930116 1200 -9.99 0
 19930215 1200 27.70 2
 19930316 1200 27.87 2
 19930416 1200 27.85 2
 19930516 1200 28.11 2
 19930616 1200 27.64 2
 19930716 1200 27.90 2
 19930816 1200 27.34 2
 19930916 1200 27.64 2
 19931016 1200 -9.99 0
 19931116 1200 -9.99 0
 19931216 1200 -9.99 0
 19940116 1200 28.22 2
 19940215 1200 27.79 2
 19940316 1200 28.45 2
 19940416 1200 27.67 2
 19940516 1200 28.39 2
 19940616 1200 28.10 2
 Time: 1200 16 Aug 1995 to 1200 16 Sep 1999 (index    48 to    97,   50 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19950816 1200 28.71 4
 19950916 1200 28.45 4
 19951016 1200 28.61 4
 19951116 1200 28.74 4
 19951216 1200 28.92 4
 19960116 1200 29.17 4
 19960215 1200 28.64 4
 19960316 1200 28.36 4
 19960416 1200 28.29 4
 19960516 1200 28.20 4
 19960616 1200 28.52 4
 19960716 1200 28.23 4
 19960816 1200 28.88 1
 19960916 1200 29.01 1
 19961016 1200 28.84 1
 19961116 1200 28.76 1
 19961216 1200 28.72 1
 19970116 1200 28.27 1
 19970215 1200 28.20 1
 19970316 1200 28.96 1
 19970416 1200 28.34 1
 19970516 1200 28.39 1
 19970616 1200 28.28 1
 19970716 1200 27.70 1
 19970816 1200 27.93 1
 19970916 1200 27.93 1
 19971016 1200 27.96 1
 19971116 1200 28.23 1
 19971216 1200 28.32 1
