 Location:  0N 165E  16 May 1986 to 16 Dec 2012 (  320 times,  6 blocks) Gen. Date Feb 16 2014
 Units: Air Temperature (C), -9.99 = missing
 Time: 1200 16 May 1986 to 1200 16 May 1986 (index     1 to     1,    1 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19860516 1200 28.36 2
 Time: 1200 16 Dec 1986 to 1200 16 Sep 1990 (index     8 to    53,   46 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19861216 1200 28.01 2
 19870116 1200 28.18 2
 19870215 1200 27.84 2
 19870316 1200 28.13 2
 19870416 1200 27.80 2
 19870516 1200 27.96 2
 19870616 1200 27.86 2
 19870716 1200 27.71 2
 19870816 1200 27.01 2
 19870916 1200 28.29 2
 19871016 1200 28.72 2
 19871116 1200 29.02 2
 19871216 1200 28.16 2
 19880116 1200 -9.99 0
 19880215 1200 -9.99 0
 19880316 1200 -9.99 0
 19880416 1200 -9.99 0
 19880516 1200 -9.99 0
 19880616 1200 27.98 2
 19880716 1200 -9.99 0
 19880816 1200 -9.99 0
 19880916 1200 -9.99 0
 19881016 1200 -9.99 0
 19881116 1200 27.37 2
 19881216 1200 27.29 2
 19890116 1200 27.34 2
 19890215 1200 27.28 2
 19890316 1200 27.16 2
 19890416 1200 27.37 2
 19890516 1200 27.84 2
 19890616 1200 27.79 2
 19890716 1200 28.11 2
 19890816 1200 27.94 2
 19890916 1200 27.94 2
 19891016 1200 28.26 2
 19891116 1200 28.18 2
 19891216 1200 28.31 2
 19900116 1200 28.16 2
 19900215 1200 28.24 2
 19900316 1200 28.32 2
 19900416 1200 28.10 2
 19900516 1200 28.51 2
 19900616 1200 28.72 2
 19900716 1200 28.02 2
 19900816 1200 28.24 2
 19900916 1200 27.57 2
 Time: 1200 16 Apr 1991 to 1200 16 Dec 1994 (index    60 to   104,   45 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19910416 1200 28.92 2
 19910516 1200 29.07 2
 19910616 1200 28.85 2
 19910716 1200 28.67 2
 19910816 1200 28.07 2
 19910916 1200 27.49 2
 19911016 1200 28.13 2
 19911116 1200 27.84 2
 19911216 1200 27.97 2
 19920116 1200 -9.99 0
 19920215 1200 28.00 2
 19920316 1200 27.80 2
 19920416 1200 27.79 2
 19920516 1200 27.51 2
 19920616 1200 28.24 2
 19920716 1200 28.15 2
 19920816 1200 -9.99 0
 19920916 1200 28.74 2
 19921016 1200 28.48 2
 19921116 1200 28.43 2
 19921216 1200 27.95 2
 19930116 1200 28.04 2
 19930215 1200 27.94 2
 19930316 1200 27.86 2
 19930416 1200 27.58 2
 19930516 1200 27.70 2
 19930616 1200 27.53 2
 19930716 1200 27.56 2
 19930816 1200 27.59 2
 19930916 1200 27.95 2
 19931016 1200 28.06 2
 19931116 1200 28.60 2
 19931216 1200 28.29 2
 19940116 1200 28.70 2
 19940215 1200 28.17 2
 19940316 1200 28.01 2
 19940416 1200 28.37 2
 19940516 1200 28.99 2
 19940616 1200 28.93 2
 19940716 1200 28.50 2
 19940816 1200 27.93 2
 19940916 1200 28.13 2
 19941016 1200 28.03 2
 19941116 1200 28.71 2
 19941216 1200 28.33 2
 Time: 1200 15 Feb 1996 to 1200 16 Sep 1998 (index   118 to   149,   32 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19960215 1200 28.65 2
 19960316 1200 -9.99 0
 19960416 1200 -9.99 0
 19960516 1200 -9.99 0
 19960616 1200 -9.99 0
 19960716 1200 27.89 2
 19960816 1200 28.09 2
 19960916 1200 28.15 2
 19961016 1200 27.80 2
