 Location:  0N 170W  16 May 1988 to 16 Sep 2013 (  305 times,  2 blocks) Gen. Date Feb 16 2014
 Units: Air Temperature (C), -9.99 = missing
 Time: 1200 16 May 1988 to 1200 16 Dec 1990 (index     1 to    32,   32 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19880516 1200 26.99 1
 19880616 1200 26.69 1
 19880716 1200 26.73 1
 19880816 1200 26.47 1
 19880916 1200 26.11 1
 19881016 1200 24.65 1
 19881116 1200 24.76 1
 19881216 1200 25.31 1
 19890116 1200 25.01 1
 19890215 1200 25.01 1
 19890316 1200 25.62 1
 19890416 1200 26.14 1
 19890516 1200 -9.99 0
 19890616 1200 -9.99 0
 19890716 1200 27.06 1
 19890816 1200 26.85 1
 19890916 1200 26.99 1
 19891016 1200 27.00 1
 19891116 1200 26.95 1
 19891216 1200 27.40 1
 19900116 1200 27.57 1
 19900215 1200 27.87 1
 19900316 1200 27.74 1
 19900416 1200 27.73 1
 19900516 1200 27.97 1
 19900616 1200 27.79 1
 19900716 1200 27.88 1
 19900816 1200 28.26 1
 19900916 1200 27.85 1
 19901016 1200 28.06 1
 19901116 1200 -9.99 0
 19901216 1200 28.19 1
 Time: 1200 16 Mar 1992 to 1200 16 Sep 2013 (index    47 to   305,  259 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19920316 1200 27.74 4
 19920416 1200 27.76 4
 19920516 1200 27.76 4
 19920616 1200 27.97 4
 19920716 1200 27.86 4
 19920816 1200 27.54 4
 19920916 1200 27.20 4
 19921016 1200 26.82 4
 19921116 1200 26.59 4
 19921216 1200 27.36 4
 19930116 1200 27.59 4
 19930215 1200 27.01 4
 19930316 1200 27.03 4
 19930416 1200 27.79 1
 19930516 1200 28.30 1
 19930616 1200 28.67 1
 19930716 1200 28.89 1
 19930816 1200 28.65 1
 19930916 1200 28.57 1
 19931016 1200 27.95 1
 19931116 1200 27.99 1
 19931216 1200 27.74 1
 19940116 1200 26.93 1
 19940215 1200 26.89 1
 19940316 1200 27.01 1
 19940416 1200 27.63 1
 19940516 1200 28.24 1
 19940616 1200 28.31 1
 19940716 1200 28.41 1
 19940816 1200 28.86 1
 19940916 1200 28.69 1
 19941016 1200 28.95 1
 19941116 1200 29.29 1
 19941216 1200 28.86 1
 19950116 1200 28.71 1
 19950215 1200 28.15 1
 19950316 1200 27.96 1
 19950416 1200 27.60 1
 19950516 1200 27.57 1
 19950616 1200 27.63 1
 19950716 1200 27.42 1
 19950816 1200 26.87 1
 19950916 1200 26.46 1
 19951016 1200 26.35 1
 19951116 1200 26.03 1
 19951216 1200 26.37 1
 19960116 1200 26.16 1
 19960215 1200 25.52 1
 19960316 1200 26.13 1
 19960416 1200 26.76 1
 19960516 1200 27.06 1
 19960616 1200 27.37 1
 19960716 1200 27.28 1
 19960816 1200 27.36 4
 19960916 1200 26.94 4
 19961016 1200 27.14 4
 19961116 1200 26.67 4
 19961216 1200 26.83 4
 19970116 1200 27.20 4
 19970215 1200 27.09 4
 19970316 1200 -9.99 0
 19970416 1200 -9.99 0
 19970516 1200 -9.99 0
 19970616 1200 28.44 4
 19970716 1200 28.38 4
 19970816 1200 28.28 4
 19970916 1200 28.38 4
 19971016 1200 28.35 4
 19971116 1200 28.50 4
 19971216 1200 28.41 4
 19980116 1200 28.31 4
 19980215 1200 28.53 4
 19980316 1200 28.02 4
 19980416 1200 27.76 4
 19980516 1200 27.73 4
 19980616 1200 27.67 4
