 Location:  0N 155W  16 Aug 1991 to 16 Jan 2014 (  270 times,  3 blocks) Gen. Date Feb 16 2014
 Units: Air Temperature (C), -9.99 = missing
 Time: 1200 16 Aug 1991 to 1200 16 Oct 1998 (index     1 to    87,   87 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19910816 1200 27.56 4
 19910916 1200 27.06 4
 19911016 1200 27.68 4
 19911116 1200 28.05 4
 19911216 1200 28.97 4
 19920116 1200 28.40 4
 19920215 1200 28.32 4
 19920316 1200 28.01 4
 19920416 1200 28.42 4
 19920516 1200 28.39 4
 19920616 1200 27.47 4
 19920716 1200 26.97 4
 19920816 1200 25.88 1
 19920916 1200 26.18 1
 19921016 1200 26.16 1
 19921116 1200 26.67 1
 19921216 1200 26.81 1
 19930116 1200 26.57 1
 19930215 1200 26.59 1
 19930316 1200 26.99 1
 19930416 1200 27.80 1
 19930516 1200 28.35 1
 19930616 1200 28.20 1
 19930716 1200 27.87 1
 19930816 1200 26.91 1
 19930916 1200 27.13 1
 19931016 1200 27.00 1
 19931116 1200 26.54 1
 19931216 1200 26.43 1
 19940116 1200 25.88 1
 19940215 1200 26.26 1
 19940316 1200 26.54 1
 19940416 1200 27.22 1
 19940516 1200 27.47 1
 19940616 1200 27.26 4
 19940716 1200 27.12 4
 19940816 1200 27.41 4
 19940916 1200 26.91 4
 19941016 1200 27.36 4
 19941116 1200 27.84 1
 19941216 1200 27.79 1
 19950116 1200 27.50 1
 19950215 1200 26.97 1
 19950316 1200 27.03 1
 19950416 1200 27.24 1
 19950516 1200 26.99 1
 19950616 1200 26.98 1
 19950716 1200 26.43 1
 19950816 1200 25.71 1
 19950916 1200 25.54 1
 19951016 1200 25.38 1
 19951116 1200 25.29 1
 19951216 1200 24.72 1
 19960116 1200 24.86 4
 19960215 1200 25.15 4
 19960316 1200 25.64 4
 19960416 1200 26.46 4
 19960516 1200 26.73 4
 19960616 1200 26.76 4
 19960716 1200 26.62 4
 19960816 1200 26.15 4
 19960916 1200 25.61 4
 19961016 1200 25.80 4
 19961116 1200 25.84 4
 19961216 1200 25.77 1
 19970116 1200 25.76 1
 19970215 1200 25.83 1
 19970316 1200 26.11 1
 19970416 1200 27.15 1
 19970516 1200 27.88 1
 19970616 1200 28.16 1
 19970716 1200 28.44 1
 19970816 1200 28.17 1
 19970916 1200 28.11 1
 19971016 1200 28.35 1
 19971116 1200 28.36 2
 19971216 1200 27.42 2
 19980116 1200 27.70 2
 19980215 1200 27.88 2
 19980316 1200 27.83 2
 19980416 1200 27.81 2
 19980516 1200 27.58 2
 19980616 1200 25.57 2
 19980716 1200 24.32 2
 19980816 1200 23.73 2
 19980916 1200 25.12 2
 19981016 1200 23.89 2
 Time: 1200 16 Jul 1999 to 1200 16 Jun 2012 (index    96 to   251,  156 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19990716 1200 26.17 2
 19990816 1200 25.64 2
 19990916 1200 25.76 2
 19991016 1200 25.87 2
 19991116 1200 24.79 1
 19991216 1200 24.79 1
 20000116 1200 24.42 1
 20000215 1200 24.48 1
 20000316 1200 25.01 1
 20000416 1200 26.35 1
 20000516 1200 26.67 1
 20000616 1200 27.00 1
 20000716 1200 26.67 1
 20000816 1200 26.66 1
 20000916 1200 26.43 1
 20001016 1200 25.94 1
 20001116 1200 25.37 1
 20001216 1200 25.16 1
 20010116 1200 25.36 1
 20010215 1200 25.48 1
 20010316 1200 25.70 1
 20010416 1200 26.74 1
 20010516 1200 27.06 1
 20010616 1200 27.46 1
 20010716 1200 27.42 1
 20010816 1200 26.85 1
 20010916 1200 26.85 1
 20011016 1200 26.43 1
 20011116 1200 26.41 1
 20011216 1200 25.80 1
 20020116 1200 26.35 1
 20020215 1200 26.52 1
 20020316 1200 26.89 1
 20020416 1200 27.44 1
 20020516 1200 27.61 1
 20020616 1200 28.33 1
 20020716 1200 27.84 1
 20020816 1200 28.17 1
 20020916 1200 28.23 1
 20021016 1200 28.63 1
 20021116 1200 28.86 1
 20021216 1200 28.27 1
 20030116 1200 28.08 1
 20030215 1200 27.67 1
 20030316 1200 27.67 1
 20030416 1200 27.20 1
 20030516 1200 26.84 1
 20030616 1200 27.12 1
 20030716 1200 27.04 2
 20030816 1200 26.51 2
 20030916 1200 -9.99 0
 20031016 1200 -9.99 0
 20031116 1200 26.90 1
 20031216 1200 26.80 1
 20040116 1200 26.15 1
 20040215 1200 26.61 1
 20040316 1200 26.50 1
 20040416 1200 27.18 1
 20040516 1200 27.65 1
 20040616 1200 27.60 1
 20040716 1200 27.78 1
 20040816 1200 27.70 1
 20040916 1200 27.61 1
 20041016 1200 27.63 1
 20041116 1200 27.28 1
 20041216 1200 26.61 1
 20050116 1200 26.71 1
 20050215 1200 26.19 1
 20050316 1200 26.70 1
 20050416 1200 27.31 1
 20050516 1200 27.33 1
 20050616 1200 27.51 1
 20050716 1200 27.17 1
 20050816 1200 26.45 1
 20050916 1200 26.57 1
