 Location:  0N 140W  16 Nov 1983 to 16 Jun 2013 (  356 times,  2 blocks) Gen. Date Feb 16 2014
 Units: Air Temperature (C), -9.99 = missing
 Time: 1200 16 Nov 1983 to 1200 16 Jul 1985 (index     1 to    21,   21 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19831116 1200 23.89 2
 19831216 1200 -9.99 0
 19840116 1200 -9.99 0
 19840215 1200 -9.99 0
 19840316 1200 -9.99 0
 19840416 1200 -9.99 0
 19840516 1200 25.85 2
 19840616 1200 24.82 2
 19840716 1200 25.07 2
 19840816 1200 24.85 2
 19840916 1200 24.59 2
 19841016 1200 24.57 2
 19841116 1200 23.82 2
 19841216 1200 23.84 2
 19850116 1200 23.73 2
 19850215 1200 24.34 2
 19850316 1200 24.97 2
 19850416 1200 -9.99 0
 19850516 1200 25.74 2
 19850616 1200 25.85 2
 19850716 1200 25.57 2
 Time: 1200 16 Jun 1986 to 1200 16 Jun 2013 (index    32 to   356,  325 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19860616 1200 26.58 2
 19860716 1200 26.01 2
 19860816 1200 25.96 2
 19860916 1200 26.44 2
 19861016 1200 26.44 2
 19861116 1200 26.56 2
 19861216 1200 26.45 2
 19870116 1200 26.97 2
 19870215 1200 27.01 2
 19870316 1200 -9.99 0
 19870416 1200 -9.99 0
 19870516 1200 28.09 2
 19870616 1200 28.52 2
 19870716 1200 27.22 2
 19870816 1200 27.37 2
 19870916 1200 26.65 2
 19871016 1200 26.54 2
 19871116 1200 26.57 2
 19871216 1200 25.98 2
 19880116 1200 25.66 2
 19880215 1200 25.86 2
 19880316 1200 25.34 2
 19880416 1200 25.36 2
 19880516 1200 23.46 2
 19880616 1200 23.89 2
 19880716 1200 23.66 2
 19880816 1200 22.94 2
 19880916 1200 -9.99 0
 19881016 1200 -9.99 0
 19881116 1200 -9.99 0
 19881216 1200 22.80 2
 19890116 1200 23.05 2
 19890215 1200 24.20 2
 19890316 1200 24.37 2
 19890416 1200 25.29 2
 19890516 1200 25.72 2
 19890616 1200 25.88 2
 19890716 1200 25.66 2
 19890816 1200 25.05 2
 19890916 1200 24.87 2
 19891016 1200 24.82 2
 19891116 1200 24.53 2
 19891216 1200 24.97 2
 19900116 1200 25.53 2
 19900215 1200 25.65 2
 19900316 1200 26.43 2
 19900416 1200 27.00 2
 19900516 1200 27.14 2
 19900616 1200 26.37 2
 19900716 1200 26.41 2
 19900816 1200 25.88 2
 19900916 1200 25.05 2
 19901016 1200 -9.99 0
 19901116 1200 25.58 2
 19901216 1200 25.80 2
 19910116 1200 26.31 2
 19910215 1200 -9.99 0
 19910316 1200 -9.99 0
 19910416 1200 -9.99 0
 19910516 1200 27.27 2
 19910616 1200 27.23 2
 19910716 1200 26.71 2
 19910816 1200 26.03 2
 19910916 1200 25.33 2
 19911016 1200 26.48 2
 19911116 1200 26.84 2
 19911216 1200 27.43 2
 19920116 1200 27.21 2
 19920215 1200 27.69 2
 19920316 1200 27.37 2
 19920416 1200 27.86 2
 19920516 1200 27.38 2
 19920616 1200 25.80 2
 19920716 1200 25.22 2
 19920816 1200 24.36 2
 19920916 1200 25.29 2
 19921016 1200 25.03 2
 19921116 1200 24.62 2
 19921216 1200 25.35 2
 19930116 1200 25.15 2
 19930215 1200 25.93 2
 19930316 1200 26.22 2
 19930416 1200 27.41 2
 19930516 1200 27.53 2
 19930616 1200 26.92 2
 19930716 1200 25.33 2
 19930816 1200 24.51 2
 19930916 1200 25.09 2
 19931016 1200 25.36 2
 19931116 1200 25.28 2
 19931216 1200 25.53 2
 19940116 1200 24.80 2
 19940215 1200 25.28 2
 19940316 1200 25.77 2
 19940416 1200 26.63 2
 19940516 1200 26.66 2
 19940616 1200 26.12 2
 19940716 1200 25.27 2
 19940816 1200 25.82 2
 19940916 1200 25.29 2
 19941016 1200 26.13 2
 19941116 1200 26.63 2
 19941216 1200 26.51 2
 19950116 1200 26.04 2
 19950215 1200 26.04 2
 19950316 1200 26.01 2
 19950416 1200 26.38 2
 19950516 1200 25.53 2
 19950616 1200 25.75 2
 19950716 1200 25.23 2
 19950816 1200 24.43 2
 19950916 1200 24.14 2
 19951016 1200 23.56 2
 19951116 1200 24.09 2
 19951216 1200 23.70 2
 19960116 1200 -9.99 0
 19960215 1200 -9.99 0
 19960316 1200 -9.99 0
 19960416 1200 -9.99 0
 19960516 1200 -9.99 0
 19960616 1200 26.29 2
 19960716 1200 25.96 2
 19960816 1200 25.18 2
 19960916 1200 24.66 2
 19961016 1200 24.60 2
 19961116 1200 24.19 2
 19961216 1200 24.14 2
 19970116 1200 24.61 2
 19970215 1200 25.08 2
 19970316 1200 25.89 2
 19970416 1200 26.73 2
 19970516 1200 27.72 2
 19970616 1200 28.70 2
 19970716 1200 29.06 2
 19970816 1200 28.60 2
 19970916 1200 28.67 2
 19971016 1200 28.54 2
 19971116 1200 28.00 2
 19971216 1200 28.04 2
 19980116 1200 27.74 2
 19980215 1200 27.81 2
 19980316 1200 27.38 2
 19980416 1200 27.47 2
 19980516 1200 27.26 2
 19980616 1200 23.27 2
 19980716 1200 23.29 2
 19980816 1200 22.78 2
 19980916 1200 22.89 2
 19981016 1200 23.42 2
 19981116 1200 23.05 2
 19981216 1200 22.14 2
 19990116 1200 22.94 2
 19990215 1200 23.45 1
 19990316 1200 24.72 1
 19990416 1200 25.64 1
 19990516 1200 25.78 1
 19990616 1200 25.45 1
 19990716 1200 25.49 1
 19990816 1200 23.66 1
 19990916 1200 24.05 1
 19991016 1200 23.86 1
 19991116 1200 23.32 1
 19991216 1200 23.15 1
 20000116 1200 23.49 1
 20000215 1200 23.94 1
 20000316 1200 24.98 1
 20000416 1200 25.96 1
 20000516 1200 26.18 1
 20000616 1200 25.88 1
 20000716 1200 25.49 1
 20000816 1200 25.65 1
 20000916 1200 24.85 1
 20001016 1200 24.79 1
 20001116 1200 24.04 1
 20001216 1200 24.05 1
 20010116 1200 24.19 1
 20010215 1200 25.12 1
 20010316 1200 25.46 1
 20010416 1200 26.59 1
 20010516 1200 26.75 1
 20010616 1200 26.79 1
 20010716 1200 26.58 1
 20010816 1200 25.82 1
 20010916 1200 25.25 1
 20011016 1200 25.25 1
 20011116 1200 25.13 1
 20011216 1200 24.60 1
 20020116 1200 25.48 1
 20020215 1200 25.99 1
 20020316 1200 26.41 1
 20020416 1200 27.07 1
 20020516 1200 26.88 1
 20020616 1200 27.23 1
 20020716 1200 26.39 1
 20020816 1200 26.69 1
 20020916 1200 26.27 3
 20021016 1200 26.23 3
 20021116 1200 26.67 3
 20021216 1200 26.42 3
 20030116 1200 26.63 3
 20030215 1200 26.46 1
 20030316 1200 26.85 1
 20030416 1200 26.42 1
 20030516 1200 25.23 1
 20030616 1200 25.77 1
 20030716 1200 26.18 1
 20030816 1200 25.13 1
 20030916 1200 25.55 1
 20031016 1200 25.76 1
 20031116 1200 25.36 1
 20031216 1200 25.95 1
 20040116 1200 25.22 1
 20040215 1200 25.67 1
 20040316 1200 25.66 1
 20040416 1200 26.72 1
 20040516 1200 27.13 1
 20040616 1200 26.57 2
 20040716 1200 26.63 2
 20040816 1200 26.58 2
 20040916 1200 26.20 1
 20041016 1200 25.78 1
 20041116 1200 25.43 1
 20041216 1200 25.81 1
 20050116 1200 25.78 1
 20050215 1200 25.54 1
 20050316 1200 26.24 1
 20050416 1200 27.22 1
 20050516 1200 26.93 1
 20050616 1200 26.55 1
 20050716 1200 26.00 1
 20050816 1200 24.96 1
 20050916 1200 25.42 1
 20051016 1200 25.50 1
 20051116 1200 24.64 1
 20051216 1200 24.64 1
 20060116 1200 24.22 1
 20060215 1200 24.68 2
 20060316 1200 25.07 2
 20060416 1200 26.57 2
 20060516 1200 26.64 2
 20060616 1200 -9.99 0
 20060716 1200 -9.99 0
 20060816 1200 -9.99 0
 20060916 1200 26.37 1
 20061016 1200 25.94 1
 20061116 1200 26.54 1
 20061216 1200 26.62 1
 20070116 1200 25.79 1
 20070215 1200 24.77 1
 20070316 1200 25.89 1
 20070416 1200 26.36 1
 20070516 1200 26.16 1
 20070616 1200 26.06 2
 20070716 1200 24.35 2
 20070816 1200 24.41 2
 20070916 1200 23.65 2
 20071016 1200 22.79 2
 20071116 1200 23.27 2
 20071216 1200 -9.99 0
 20080116 1200 -9.99 0
 20080215 1200 -9.99 0
 20080316 1200 -9.99 0
 20080416 1200 -9.99 0
 20080516 1200 26.08 2
 20080616 1200 26.16 2
 20080716 1200 26.15 2
 20080816 1200 25.53 2
 20080916 1200 24.93 2
 20081016 1200 24.41 2
 20081116 1200 24.96 2
 20081216 1200 24.17 2
 20090116 1200 24.24 2
 20090215 1200 24.84 2
 20090316 1200 25.25 2
 20090416 1200 26.40 2
 20090516 1200 26.96 2
 20090616 1200 27.21 2
 20090716 1200 26.96 2
 20090816 1200 26.16 2
 20090916 1200 26.28 1
 20091016 1200 25.70 1
 20091116 1200 26.99 1
 20091216 1200 26.69 1
 20100116 1200 26.71 1
 20100215 1200 26.52 1
 20100316 1200 26.99 1
 20100416 1200 26.50 1
 20100516 1200 25.23 1
 20100616 1200 24.94 1
 20100716 1200 23.61 1
 20100816 1200 23.64 1
 20100916 1200 23.08 1
 20101016 1200 22.83 1
 20101116 1200 23.39 1
 20101216 1200 23.58 1
 20110116 1200 23.71 1
 20110215 1200 24.43 1
 20110316 1200 25.07 1
 20110416 1200 26.17 1
 20110516 1200 26.70 1
 20110616 1200 26.53 1
 20110716 1200 25.91 1
 20110816 1200 24.11 1
 20110916 1200 24.84 1
 20111016 1200 23.92 1
 20111116 1200 24.02 1
 20111216 1200 24.50 1
 20120116 1200 24.35 1
 20120215 1200 24.40 1
 20120316 1200 25.58 1
 20120416 1200 26.37 2
 20120516 1200 26.97 2
 20120616 1200 27.04 2
 20120716 1200 26.68 2
 20120816 1200 26.67 2
 20120916 1200 26.00 2
 20121016 1200 25.32 2
 20121116 1200 25.57 2
 20121216 1200 25.20 2
 20130116 1200 24.81 2
 20130215 1200 24.95 2
 20130316 1200 26.28 2
 20130416 1200 26.52 2
 20130516 1200 26.13 2
 20130616 1200 25.97 2
