 Location:  0N 125W  16 Nov 1983 to 16 May 2012 (  343 times,  5 blocks) Gen. Date Feb 16 2014
 Units: Air Temperature (C), -9.99 = missing
 Time: 1200 16 Nov 1983 to 1200 16 Sep 1985 (index     1 to    23,   23 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19831116 1200 21.36 2
 19831216 1200 22.72 2
 19840116 1200 23.00 2
 19840215 1200 25.10 2
 19840316 1200 26.30 2
 19840416 1200 26.44 2
 19840516 1200 24.91 2
 19840616 1200 22.92 2
 19840716 1200 22.98 2
 19840816 1200 23.12 2
 19840916 1200 22.77 2
 19841016 1200 22.73 2
 19841116 1200 22.12 2
 19841216 1200 22.19 2
 19850116 1200 22.52 2
 19850215 1200 23.29 2
 19850316 1200 24.16 2
 19850416 1200 24.54 2
 19850516 1200 24.92 2
 19850616 1200 24.62 2
 19850716 1200 23.57 2
 19850816 1200 24.01 2
 19850916 1200 23.41 2
 Time: 1200 16 May 1987 to 1200 16 Jan 1989 (index    43 to    63,   21 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19870516 1200 27.85 4
 19870616 1200 -9.99 0
 19870716 1200 -9.99 0
 19870816 1200 -9.99 0
 19870916 1200 -9.99 0
 19871016 1200 -9.99 0
 19871116 1200 24.66 1
 19871216 1200 24.83 1
 19880116 1200 24.67 1
 19880215 1200 25.47 1
 19880316 1200 25.15 1
 19880416 1200 24.13 1
 19880516 1200 21.33 1
 19880616 1200 22.40 1
 19880716 1200 21.85 1
 19880816 1200 22.31 1
 19880916 1200 22.40 1
 19881016 1200 21.42 1
 19881116 1200 20.43 1
 19881216 1200 20.53 1
 19890116 1200 22.26 1
 Time: 1200 16 May 1990 to 1200 16 Oct 2001 (index    79 to   216,  138 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19900516 1200 26.12 4
 19900616 1200 25.17 4
 19900716 1200 23.73 4
 19900816 1200 24.16 4
 19900916 1200 23.98 4
 19901016 1200 24.35 4
 19901116 1200 24.43 4
 19901216 1200 -9.99 0
 19910116 1200 -9.99 0
 19910215 1200 -9.99 0
 19910316 1200 -9.99 0
 19910416 1200 26.84 4
 19910516 1200 26.65 4
 19910616 1200 26.79 4
 19910716 1200 25.99 4
 19910816 1200 24.62 4
 19910916 1200 23.88 4
 19911016 1200 24.65 4
 19911116 1200 25.32 4
 19911216 1200 26.36 1
 19920116 1200 26.85 1
 19920215 1200 27.18 1
 19920316 1200 27.46 1
 19920416 1200 27.98 1
 19920516 1200 27.27 1
 19920616 1200 25.17 1
 19920716 1200 24.62 1
 19920816 1200 23.95 1
 19920916 1200 23.94 1
 19921016 1200 23.66 1
 19921116 1200 23.37 1
 19921216 1200 24.33 1
 19930116 1200 24.52 1
 19930215 1200 25.51 1
 19930316 1200 26.30 1
 19930416 1200 27.52 1
 19930516 1200 27.12 4
 19930616 1200 26.18 4
 19930716 1200 24.39 4
 19930816 1200 23.70 4
 19930916 1200 24.10 4
 19931016 1200 24.33 1
 19931116 1200 24.09 1
 19931216 1200 24.27 1
 19940116 1200 24.24 1
 19940215 1200 24.58 1
 19940316 1200 25.71 1
 19940416 1200 25.46 1
 19940516 1200 25.69 1
 19940616 1200 25.70 1
 19940716 1200 23.31 1
 19940816 1200 23.79 1
 19940916 1200 24.18 1
 19941016 1200 24.68 1
 19941116 1200 25.22 1
 19941216 1200 25.54 1
 19950116 1200 24.98 1
 19950215 1200 25.92 1
 19950316 1200 25.22 1
 19950416 1200 25.76 1
 19950516 1200 24.67 1
 19950616 1200 25.07 1
 19950716 1200 24.46 3
 19950816 1200 22.79 3
 19950916 1200 22.62 1
 19951016 1200 22.29 1
 19951116 1200 22.81 1
 19951216 1200 22.73 1
 19960116 1200 24.10 1
 19960215 1200 24.39 1
 19960316 1200 25.12 1
 19960416 1200 25.47 1
 19960516 1200 25.36 1
 19960616 1200 24.93 1
 19960716 1200 25.00 2
 19960816 1200 23.47 2
 19960916 1200 23.91 2
 19961016 1200 23.25 2
 19961116 1200 23.67 2
 19961216 1200 24.03 2
 19970116 1200 -9.99 0
 19970215 1200 -9.99 0
 19970316 1200 -9.99 0
 19970416 1200 26.55 2
 19970516 1200 27.16 2
 19970616 1200 27.44 2
 19970716 1200 -9.99 0
 19970816 1200 -9.99 0
 19970916 1200 -9.99 0
 19971016 1200 27.05 4
 19971116 1200 26.90 4
 19971216 1200 26.93 4
 19980116 1200 27.00 4
 19980215 1200 26.66 4
 19980316 1200 27.01 4
 19980416 1200 27.07 4
 19980516 1200 26.70 2
 19980616 1200 23.31 2
 19980716 1200 22.89 2
 19980816 1200 23.18 2
 19980916 1200 22.54 2
 19981016 1200 22.53 2
 19981116 1200 21.74 2
 19981216 1200 21.45 2
 19990116 1200 22.37 2
 19990215 1200 24.24 2
 19990316 1200 25.23 2
 19990416 1200 25.85 2
 19990516 1200 25.13 2
 19990616 1200 24.74 2
 19990716 1200 24.33 2
 19990816 1200 22.89 2
 19990916 1200 22.55 2
 19991016 1200 22.48 1
 19991116 1200 21.56 1
 19991216 1200 21.79 1
 20000116 1200 22.02 1
 20000215 1200 23.94 1
 20000316 1200 25.36 1
 20000416 1200 26.17 1
 20000516 1200 25.67 1
 20000616 1200 25.08 1
 20000716 1200 24.44 1
 20000816 1200 23.46 1
 20000916 1200 23.34 1
 20001016 1200 23.61 1
 20001116 1200 22.73 1
 20001216 1200 23.49 1
 20010116 1200 24.15 1
 20010215 1200 24.76 2
 20010316 1200 25.95 2
 20010416 1200 26.14 2
 20010516 1200 25.74 2
 20010616 1200 25.79 2
 20010716 1200 24.54 2
 20010816 1200 23.86 2
 20010916 1200 23.12 2
 20011016 1200 23.69 2
