 Location:  0N  95W  16 Jul 1981 to 16 Sep 2013 (  387 times,  5 blocks) Gen. Date Feb 16 2014
 Units: Air Temperature (C), -9.99 = missing
 Time: 1200 16 Jul 1981 to 1200 16 Apr 1983 (index     1 to    22,   22 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19810716 1200 20.85 2
 19810816 1200 19.41 2
 19810916 1200 19.90 2
 19811016 1200 21.04 2
 19811116 1200 20.81 2
 19811216 1200 22.45 2
 19820116 1200 23.75 2
 19820215 1200 25.27 2
 19820316 1200 25.55 2
 19820416 1200 25.20 2
 19820516 1200 25.34 2
 19820616 1200 24.05 2
 19820716 1200 22.36 2
 19820816 1200 22.09 2
 19820916 1200 23.04 2
 19821016 1200 24.31 2
 19821116 1200 25.14 2
 19821216 1200 25.85 2
 19830116 1200 27.33 2
 19830215 1200 28.01 2
 19830316 1200 28.10 2
 19830416 1200 28.18 2
 Time: 1200 16 Nov 1992 to 1200 16 May 2007 (index   137 to   311,  175 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19921116 1200 20.87 4
 19921216 1200 21.64 4
 19930116 1200 23.47 4
 19930215 1200 25.46 4
 19930316 1200 26.71 4
 19930416 1200 26.85 4
 19930516 1200 25.74 4
 19930616 1200 24.20 4
 19930716 1200 22.10 4
 19930816 1200 20.84 4
 19930916 1200 20.61 2
 19931016 1200 21.73 2
 19931116 1200 22.24 2
 19931216 1200 22.82 2
 19940116 1200 24.10 2
 19940215 1200 -9.99 0
 19940316 1200 -9.99 0
 19940416 1200 -9.99 0
 19940516 1200 -9.99 0
 19940616 1200 23.31 2
 19940716 1200 21.11 2
 19940816 1200 19.97 2
 19940916 1200 20.44 2
 19941016 1200 22.16 2
 19941116 1200 23.00 2
 19941216 1200 -9.99 0
 19950116 1200 -9.99 0
 19950215 1200 -9.99 0
 19950316 1200 26.20 1
 19950416 1200 23.80 1
 19950516 1200 22.73 1
 19950616 1200 22.61 1
 19950716 1200 21.46 1
 19950816 1200 20.00 1
 19950916 1200 19.91 1
 19951016 1200 20.68 1
 19951116 1200 20.79 1
 19951216 1200 21.20 1
 19960116 1200 23.14 1
 19960215 1200 25.11 1
 19960316 1200 25.64 1
 19960416 1200 23.82 1
 19960516 1200 23.28 1
 19960616 1200 21.05 1
 19960716 1200 19.94 1
 19960816 1200 19.64 1
 19960916 1200 19.23 1
 19961016 1200 19.75 1
 19961116 1200 20.04 1
 19961216 1200 20.75 1
 19970116 1200 -9.99 0
 19970215 1200 26.34 2
 19970316 1200 26.97 2
 19970416 1200 -9.99 0
 19970516 1200 -9.99 0
 19970616 1200 -9.99 0
 19970716 1200 -9.99 0
 19970816 1200 24.60 1
 19970916 1200 25.44 1
 19971016 1200 25.92 1
 19971116 1200 26.39 1
 19971216 1200 -9.99 0
 19980116 1200 -9.99 0
 19980215 1200 -9.99 0
 19980316 1200 27.83 1
 19980416 1200 26.97 1
 19980516 1200 26.28 1
 19980616 1200 -9.99 0
 19980716 1200 -9.99 0
 19980816 1200 -9.99 0
 19980916 1200 -9.99 0
 19981016 1200 -9.99 0
 19981116 1200 21.34 1
 19981216 1200 20.79 1
 19990116 1200 23.56 1
 19990215 1200 24.73 1
 19990316 1200 26.61 1
 19990416 1200 25.25 1
 19990516 1200 25.06 1
 19990616 1200 23.01 1
 19990716 1200 20.83 1
 19990816 1200 19.81 1
 19990916 1200 19.62 1
 19991016 1200 19.83 1
 19991116 1200 19.37 1
 19991216 1200 21.04 1
 20000116 1200 22.60 1
 20000215 1200 25.38 1
 20000316 1200 26.41 1
 20000416 1200 27.23 1
 20000516 1200 25.21 1
 20000616 1200 22.97 1
 20000716 1200 21.65 1
 20000816 1200 20.51 1
 20000916 1200 20.36 1
 20001016 1200 20.94 1
 20001116 1200 20.98 2
 20001216 1200 21.20 2
 20010116 1200 22.99 2
 20010215 1200 25.74 2
 20010316 1200 26.79 2
 20010416 1200 25.91 2
 20010516 1200 25.00 2
 20010616 1200 -9.99 0
 20010716 1200 -9.99 0
 20010816 1200 -9.99 0
 20010916 1200 -9.99 0
 20011016 1200 19.96 2
 20011116 1200 20.53 2
 20011216 1200 21.90 2
 20020116 1200 23.25 2
 20020215 1200 25.36 2
 20020316 1200 27.04 2
 20020416 1200 26.24 2
 20020516 1200 24.58 2
 20020616 1200 23.33 2
 20020716 1200 21.26 2
 20020816 1200 20.43 2
 20020916 1200 21.18 2
 20021016 1200 22.08 2
 20021116 1200 23.11 1
 20021216 1200 24.14 1
 20030116 1200 25.03 1
 20030215 1200 25.00 1
 20030316 1200 26.20 1
 20030416 1200 24.32 1
 20030516 1200 22.79 2
 20030616 1200 22.08 2
 20030716 1200 22.02 2
 20030816 1200 21.25 2
 20030916 1200 20.52 2
 20031016 1200 21.76 2
 20031116 1200 21.90 1
 20031216 1200 23.17 1
 20040116 1200 24.27 1
 20040215 1200 25.29 1
 20040316 1200 26.22 1
 20040416 1200 25.18 2
 20040516 1200 23.34 2
 20040616 1200 -9.99 0
 20040716 1200 -9.99 0
 20040816 1200 -9.99 0
 20040916 1200 -9.99 0
 20041016 1200 -9.99 0
 20041116 1200 22.39 1
 20041216 1200 23.14 1
 20050116 1200 24.38 1
 20050215 1200 24.57 1
 20050316 1200 25.36 1
 20050416 1200 26.18 1
 20050516 1200 24.88 1
 20050616 1200 22.80 1
 20050716 1200 22.46 1
 20050816 1200 21.35 1
 20050916 1200 19.77 1
 20051016 1200 19.78 1
 20051116 1200 20.76 1
 20051216 1200 21.48 1
 20060116 1200 23.67 1
 20060215 1200 26.13 1
 20060316 1200 -9.99 0
 20060416 1200 -9.99 0
 20060516 1200 24.93 1
 20060616 1200 23.61 1
 20060716 1200 22.72 1
 20060816 1200 21.76 1
 20060916 1200 22.41 1
 20061016 1200 23.21 1
 20061116 1200 23.09 2
