 Location:  2N 137E  16 May 1992 to 16 Jul 2013 (  255 times,  6 blocks) Gen. Date Feb 16 2014
 Units: Air Temperature (C), -9.99 = missing
 Time: 1200 16 May 1992 to 1200 16 May 1993 (index     1 to    13,   13 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19920516 1200 28.65 4
 19920616 1200 28.63 4
 19920716 1200 28.08 4
 19920816 1200 28.44 4
 19920916 1200 28.88 4
 19921016 1200 28.66 4
 19921116 1200 28.72 4
 19921216 1200 28.22 4
 19930116 1200 27.89 4
 19930215 1200 27.81 4
 19930316 1200 28.14 4
 19930416 1200 28.31 4
 19930516 1200 28.08 2
 Time: 1200 16 May 1994 to 1200 16 Mar 1999 (index    25 to    83,   59 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19940516 1200 28.52 2
 19940616 1200 28.07 2
 19940716 1200 28.16 2
 19940816 1200 27.90 2
 19940916 1200 28.05 2
 19941016 1200 28.85 2
 19941116 1200 29.01 2
 19941216 1200 28.52 2
 19950116 1200 28.26 2
 19950215 1200 27.86 2
 19950316 1200 27.70 2
 19950416 1200 28.57 2
 19950516 1200 28.85 2
 19950616 1200 28.46 2
 19950716 1200 28.67 2
 19950816 1200 28.83 2
 19950916 1200 28.11 4
 19951016 1200 28.72 4
 19951116 1200 28.66 4
 19951216 1200 -9.99 0
 19960116 1200 -9.99 0
 19960215 1200 -9.99 0
 19960316 1200 28.08 1
 19960416 1200 -9.99 0
 19960516 1200 -9.99 0
 19960616 1200 -9.99 0
 19960716 1200 28.44 2
 19960816 1200 28.14 2
 19960916 1200 28.58 2
 19961016 1200 -9.99 0
 19961116 1200 -9.99 0
 19961216 1200 -9.99 0
 19970116 1200 -9.99 0
 19970215 1200 -9.99 0
 19970316 1200 27.61 2
 19970416 1200 28.39 2
 19970516 1200 28.33 2
 19970616 1200 -9.99 0
 19970716 1200 -9.99 0
 19970816 1200 -9.99 0
 19970916 1200 28.36 2
 19971016 1200 28.07 2
 19971116 1200 -9.99 0
 19971216 1200 -9.99 0
 19980116 1200 -9.99 0
 19980215 1200 27.66 2
 19980316 1200 27.90 2
 19980416 1200 28.21 2
 19980516 1200 28.76 2
 19980616 1200 28.37 2
 19980716 1200 28.88 2
 19980816 1200 28.97 2
 19980916 1200 29.06 2
 19981016 1200 28.99 2
 19981116 1200 -9.99 0
 19981216 1200 -9.99 0
 19990116 1200 -9.99 0
 19990215 1200 28.78 2
 19990316 1200 28.39 2
 Time: 1200 16 Nov 1999 to 1200 16 Apr 2000 (index    91 to    96,    6 times)
 Depth (M):     -2.2 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19991116 1200 28.52 2
 19991216 1200 28.55 2
 20000116 1200 28.66 2
 20000215 1200 28.36 2
 20000316 1200 28.46 2
 20000416 1200 28.52 2
 Time: 1200 16 Nov 2000 to 1200 16 Dec 2001 (index   103 to   116,   14 times)
 Depth (M):     -2.2 QUALITY
 YYYYMMDD HHMM  AIRT Q
 20001116 1200 28.92 2
 20001216 1200 28.66 2
 20010116 1200 28.24 2
 20010215 1200 28.18 2
 20010316 1200 27.89 2
 20010416 1200 28.38 2
 20010516 1200 28.56 2
 20010616 1200 -9.99 0
 20010716 1200 -9.99 0
 20010816 1200 -9.99 0
 20010916 1200 -9.99 0
 20011016 1200 28.67 1
 20011116 1200 28.65 1
 20011216 1200 28.08 1
