 Location:  2N 156E  16 Sep 1991 to 16 Jan 2014 (  269 times,  5 blocks) Gen. Date Feb 16 2014
 Units: Air Temperature (C), -9.99 = missing
 Time: 1200 16 Sep 1991 to 1200 16 Jan 1995 (index     1 to    41,   41 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19910916 1200 27.83 2
 19911016 1200 27.83 2
 19911116 1200 27.72 2
 19911216 1200 27.45 2
 19920116 1200 27.02 2
 19920215 1200 -9.99 0
 19920316 1200 26.75 2
 19920416 1200 26.75 2
 19920516 1200 26.76 2
 19920616 1200 -9.99 0
 19920716 1200 -9.99 0
 19920816 1200 -9.99 0
 19920916 1200 -9.99 0
 19921016 1200 27.74 2
 19921116 1200 27.90 2
 19921216 1200 27.97 2
 19930116 1200 27.84 2
 19930215 1200 -9.99 0
 19930316 1200 27.94 2
 19930416 1200 28.05 2
 19930516 1200 28.11 2
 19930616 1200 27.73 2
 19930716 1200 28.09 2
 19930816 1200 27.58 2
 19930916 1200 27.90 2
 19931016 1200 28.21 2
 19931116 1200 28.87 2
 19931216 1200 28.16 2
 19940116 1200 28.29 2
 19940215 1200 28.02 2
 19940316 1200 -9.99 0
 19940416 1200 -9.99 0
 19940516 1200 28.67 2
 19940616 1200 28.31 2
 19940716 1200 27.74 2
 19940816 1200 27.96 2
 19940916 1200 28.05 2
 19941016 1200 28.29 2
 19941116 1200 28.57 2
 19941216 1200 28.44 2
 19950116 1200 28.16 2
 Time: 1200 16 Aug 1995 to 1200 16 Oct 1999 (index    48 to    98,   51 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19950816 1200 28.69 4
 19950916 1200 28.47 4
 19951016 1200 28.56 4
 19951116 1200 28.45 4
 19951216 1200 28.57 4
 19960116 1200 28.61 4
 19960215 1200 28.58 4
 19960316 1200 28.27 4
 19960416 1200 -9.99 0
 19960516 1200 -9.99 0
 19960616 1200 -9.99 0
 19960716 1200 -9.99 0
 19960816 1200 29.01 1
 19960916 1200 29.18 1
 19961016 1200 28.82 1
 19961116 1200 28.92 1
 19961216 1200 28.79 1
 19970116 1200 28.45 1
 19970215 1200 28.18 1
 19970316 1200 28.77 1
 19970416 1200 28.33 1
 19970516 1200 28.31 1
 19970616 1200 -9.99 0
 19970716 1200 -9.99 0
 19970816 1200 28.27 1
 19970916 1200 28.17 1
 19971016 1200 27.61 1
 19971116 1200 28.34 1
 19971216 1200 28.50 1
 19980116 1200 28.05 1
 19980215 1200 27.75 1
 19980316 1200 28.04 1
 19980416 1200 27.94 1
 19980516 1200 28.02 1
 19980616 1200 28.19 1
 19980716 1200 28.60 1
 19980816 1200 28.50 1
 19980916 1200 28.69 2
 19981016 1200 28.49 2
 19981116 1200 28.30 2
 19981216 1200 28.49 2
 19990116 1200 28.26 2
 19990215 1200 27.56 2
 19990316 1200 27.41 2
 19990416 1200 27.43 2
 19990516 1200 27.79 2
 19990616 1200 27.82 2
 19990716 1200 27.47 2
 19990816 1200 27.80 2
 19990916 1200 28.34 2
 19991016 1200 28.32 2
 Time: 1200 16 Nov 1999 to 1200 16 Aug 2007 (index    99 to   192,   94 times)
 Depth (M):     -2.2 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19991116 1200 28.30 1
 19991216 1200 28.48 1
 20000116 1200 28.24 1
 20000215 1200 28.12 1
 20000316 1200 27.82 2
 20000416 1200 27.82 2
 20000516 1200 27.57 2
 20000616 1200 -9.99 0
 20000716 1200 -9.99 0
 20000816 1200 -9.99 0
 20000916 1200 28.48 2
 20001016 1200 28.36 2
 20001116 1200 28.66 2
 20001216 1200 28.86 2
 20010116 1200 28.68 2
 20010215 1200 28.01 2
 20010316 1200 28.25 2
 20010416 1200 28.18 2
 20010516 1200 27.92 2
 20010616 1200 28.31 2
 20010716 1200 28.11 2
 20010816 1200 28.01 2
 20010916 1200 28.71 2
 20011016 1200 28.83 2
 20011116 1200 29.07 2
 20011216 1200 28.59 2
 20020116 1200 28.57 2
 20020215 1200 28.76 2
 20020316 1200 28.05 1
 20020416 1200 28.32 1
 20020516 1200 28.53 1
 20020616 1200 28.31 1
 20020716 1200 28.14 1
 20020816 1200 28.22 1
 20020916 1200 28.20 1
 20021016 1200 28.09 1
 20021116 1200 28.20 1
 20021216 1200 28.21 1
 20030116 1200 27.90 2
 20030215 1200 27.99 2
 20030316 1200 27.95 2
 20030416 1200 28.19 2
 20030516 1200 28.43 2
 20030616 1200 28.10 2
 20030716 1200 27.71 2
 20030816 1200 27.88 2
 20030916 1200 27.86 2
 20031016 1200 28.31 2
 20031116 1200 28.21 2
 20031216 1200 28.01 2
 20040116 1200 27.92 2
 20040215 1200 28.18 1
 20040316 1200 28.19 1
 20040416 1200 28.72 1
 20040516 1200 28.52 1
 20040616 1200 27.91 1
 20040716 1200 27.93 1
 20040816 1200 27.83 1
 20040916 1200 27.97 1
 20041016 1200 28.55 1
 20041116 1200 28.47 1
 20041216 1200 28.37 1
 20050116 1200 28.37 1
 20050215 1200 28.78 1
 20050316 1200 28.35 1
 20050416 1200 28.07 1
 20050516 1200 28.37 1
 20050616 1200 28.35 1
 20050716 1200 28.09 1
 20050816 1200 27.94 1
 20050916 1200 28.12 1
 20051016 1200 28.55 1
 20051116 1200 28.85 1
 20051216 1200 28.03 1
 20060116 1200 28.22 1
 20060215 1200 28.39 1
 20060316 1200 27.99 2
 20060416 1200 28.01 2
 20060516 1200 28.67 2
 20060616 1200 28.37 2
 20060716 1200 28.05 2
 20060816 1200 27.72 2
 20060916 1200 28.27 2
 20061016 1200 28.25 2
 20061116 1200 28.43 2
 20061216 1200 28.35 2
 20070116 1200 28.22 2
 20070215 1200 28.13 2
 20070316 1200 28.15 2
 20070416 1200 28.30 2
 20070516 1200 28.41 2
 20070616 1200 28.93 1
 20070716 1200 28.40 1
 20070816 1200 28.74 1
 Time: 1200 16 Aug 2008 to 1200 16 Apr 2011 (index   204 to   236,   33 times)
 Depth (M):     -2.2 QUALITY
 YYYYMMDD HHMM  AIRT Q
 20080816 1200 27.96 1
 20080916 1200 28.29 1
 20081016 1200 28.68 1
 20081116 1200 28.48 1
 20081216 1200 28.25 1
 20090116 1200 28.27 1
 20090215 1200 27.76 1
 20090316 1200 27.80 1
 20090416 1200 28.73 1
 20090516 1200 28.44 1
 20090616 1200 28.17 1
 20090716 1200 27.84 1
 20090816 1200 28.65 1
 20090916 1200 28.33 1
 20091016 1200 28.29 1
 20091116 1200 28.64 1
 20091216 1200 28.44 1
 20100116 1200 28.31 1
 20100215 1200 28.99 1
 20100316 1200 28.61 1
 20100416 1200 28.38 1
 20100516 1200 28.77 1
 20100616 1200 28.95 1
 20100716 1200 28.75 1
 20100816 1200 28.42 1
 20100916 1200 28.52 1
 20101016 1200 28.35 1
 20101116 1200 28.31 1
 20101216 1200 28.16 1
 20110116 1200 28.18 1
 20110215 1200 28.09 1
 20110316 1200 28.33 1
 20110416 1200 28.19 1
 Time: 1200 16 Aug 2012 to 1200 16 Jan 2014 (index   252 to   269,   18 times)
 Depth (M):     -2.2 QUALITY
 YYYYMMDD HHMM  AIRT Q
 20120816 1200 27.82 2
 20120916 1200 28.14 2
 20121016 1200 28.48 2
 20121116 1200 28.60 2
 20121216 1200 28.74 2
 20130116 1200 28.67 2
 20130215 1200 27.91 2
 20130316 1200 28.28 2
 20130416 1200 28.06 2
 20130516 1200 28.45 2
 20130616 1200 28.36 2
 20130716 1200 28.46 2
 20130816 1200 28.56 2
 20130916 1200 28.82 2
 20131016 1200 28.60 2
 20131116 1200 28.78 2
 20131216 1200 28.53 2
 20140116 1200 28.14 2
