 Location:  2N 170W  16 Mar 1992 to 16 Sep 2013 (  259 times,  1 blocks) Gen. Date Feb 16 2014
 Units: Air Temperature (C), -9.99 = missing
 Time: 1200 16 Mar 1992 to 1200 16 Sep 2013 (index     1 to   259,  259 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19920316 1200 27.61 1
 19920416 1200 27.68 1
 19920516 1200 -9.99 0
 19920616 1200 -9.99 0
 19920716 1200 -9.99 0
 19920816 1200 -9.99 0
 19920916 1200 27.92 1
 19921016 1200 27.46 1
 19921116 1200 27.36 1
 19921216 1200 28.10 1
 19930116 1200 28.21 1
 19930215 1200 27.56 1
 19930316 1200 27.66 1
 19930416 1200 27.55 1
 19930516 1200 28.03 1
 19930616 1200 28.25 1
 19930716 1200 28.48 1
 19930816 1200 28.54 1
 19930916 1200 28.32 1
 19931016 1200 27.96 1
 19931116 1200 28.17 1
 19931216 1200 27.63 1
 19940116 1200 27.10 1
 19940215 1200 27.04 1
 19940316 1200 26.96 1
 19940416 1200 27.43 1
 19940516 1200 28.06 1
 19940616 1200 28.40 1
 19940716 1200 28.61 1
 19940816 1200 28.88 1
 19940916 1200 28.86 1
 19941016 1200 28.90 1
 19941116 1200 29.25 1
 19941216 1200 28.94 1
 19950116 1200 -9.99 0
 19950215 1200 -9.99 0
 19950316 1200 -9.99 0
 19950416 1200 -9.99 0
 19950516 1200 28.25 1
 19950616 1200 28.24 1
 19950716 1200 28.04 1
 19950816 1200 27.45 1
 19950916 1200 27.34 1
 19951016 1200 26.79 1
 19951116 1200 -9.99 0
 19951216 1200 26.91 1
 19960116 1200 26.40 1
 19960215 1200 26.01 1
 19960316 1200 26.73 1
 19960416 1200 26.77 1
 19960516 1200 27.47 1
 19960616 1200 27.54 1
 19960716 1200 27.86 1
 19960816 1200 27.52 1
 19960916 1200 27.46 1
 19961016 1200 27.48 1
 19961116 1200 26.90 1
 19961216 1200 27.68 4
 19970116 1200 27.94 4
 19970215 1200 -9.99 0
 19970316 1200 -9.99 0
 19970416 1200 -9.99 0
 19970516 1200 -9.99 0
 19970616 1200 28.26 1
 19970716 1200 28.41 1
 19970816 1200 28.33 1
 19970916 1200 28.46 1
 19971016 1200 28.38 1
 19971116 1200 28.54 1
 19971216 1200 28.17 2
 19980116 1200 28.14 2
 19980215 1200 28.10 2
 19980316 1200 27.75 2
 19980416 1200 27.50 2
 19980516 1200 27.71 2
 19980616 1200 27.81 2
 19980716 1200 26.77 4
 19980816 1200 26.32 4
 19980916 1200 26.11 4
 19981016 1200 26.08 4
 19981116 1200 25.70 4
 19981216 1200 25.87 2
 19990116 1200 25.76 2
 19990215 1200 26.14 2
 19990316 1200 26.76 2
 19990416 1200 27.08 2
 19990516 1200 27.65 2
 19990616 1200 27.62 2
 19990716 1200 27.87 2
 19990816 1200 27.56 2
 19990916 1200 27.31 2
 19991016 1200 27.54 2
 19991116 1200 26.96 2
 19991216 1200 26.04 2
 20000116 1200 25.83 2
 20000215 1200 25.79 2
 20000316 1200 26.05 2
 20000416 1200 26.35 2
 20000516 1200 26.87 2
 20000616 1200 27.25 2
 20000716 1200 27.30 2
 20000816 1200 27.60 2
 20000916 1200 27.34 2
 20001016 1200 27.15 2
 20001116 1200 27.08 1
 20001216 1200 26.57 1
 20010116 1200 26.41 1
 20010215 1200 26.20 1
 20010316 1200 26.61 1
 20010416 1200 27.08 1
 20010516 1200 27.42 1
 20010616 1200 28.03 1
 20010716 1200 28.19 1
 20010816 1200 28.09 1
 20010916 1200 27.98 1
 20011016 1200 27.74 1
 20011116 1200 27.66 2
 20011216 1200 27.77 2
 20020116 1200 27.93 2
 20020215 1200 27.55 2
 20020316 1200 -9.99 0
 20020416 1200 -9.99 0
 20020516 1200 -9.99 0
 20020616 1200 -9.99 0
 20020716 1200 28.91 1
 20020816 1200 28.98 1
 20020916 1200 28.47 1
 20021016 1200 29.05 1
 20021116 1200 28.90 1
 20021216 1200 28.72 1
 20030116 1200 28.26 1
 20030215 1200 28.34 1
 20030316 1200 27.71 1
 20030416 1200 27.70 1
 20030516 1200 27.94 1
 20030616 1200 -9.99 0
 20030716 1200 28.49 1
 20030816 1200 28.69 1
 20030916 1200 28.55 1
 20031016 1200 28.80 1
 20031116 1200 27.98 1
 20031216 1200 27.91 1
 20040116 1200 27.66 1
 20040215 1200 27.49 1
 20040316 1200 27.08 1
 20040416 1200 27.44 1
 20040516 1200 28.02 1
 20040616 1200 28.21 1
 20040716 1200 28.61 1
 20040816 1200 28.48 1
 20040916 1200 28.72 1
 20041016 1200 28.41 1
 20041116 1200 28.64 1
 20041216 1200 28.30 1
 20050116 1200 28.22 1
 20050215 1200 27.96 1
 20050316 1200 27.96 1
 20050416 1200 27.65 1
 20050516 1200 28.04 1
 20050616 1200 28.17 1
 20050716 1200 28.16 1
 20050816 1200 28.07 1
 20050916 1200 28.20 1
 20051016 1200 28.65 1
 20051116 1200 -9.99 0
 20051216 1200 27.10 2
 20060116 1200 26.36 2
 20060215 1200 -9.99 0
 20060316 1200 -9.99 0
 20060416 1200 -9.99 0
 20060516 1200 -9.99 0
 20060616 1200 -9.99 0
 20060716 1200 28.33 1
 20060816 1200 28.38 1
 20060916 1200 28.65 1
 20061016 1200 28.59 1
 20061116 1200 28.73 1
 20061216 1200 28.74 1
 20070116 1200 28.04 1
 20070215 1200 27.51 1
 20070316 1200 27.34 1
 20070416 1200 27.31 1
 20070516 1200 27.59 1
 20070616 1200 28.15 1
 20070716 1200 27.94 1
 20070816 1200 27.59 2
 20070916 1200 27.00 2
 20071016 1200 26.27 2
 20071116 1200 -9.99 0
