 Location:  2N 155W  16 Aug 1991 to 16 Sep 2013 (  266 times,  2 blocks) Gen. Date Feb 16 2014
 Units: Air Temperature (C), -9.99 = missing
 Time: 1200 16 Aug 1991 to 1200 16 Aug 1998 (index     1 to    85,   85 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19910816 1200 27.81 1
 19910916 1200 27.28 1
 19911016 1200 27.76 1
 19911116 1200 28.09 1
 19911216 1200 28.56 1
 19920116 1200 28.02 1
 19920215 1200 28.00 1
 19920316 1200 27.51 4
 19920416 1200 27.84 4
 19920516 1200 28.08 4
 19920616 1200 27.48 4
 19920716 1200 27.31 4
 19920816 1200 26.68 4
 19920916 1200 26.04 4
 19921016 1200 26.05 4
 19921116 1200 26.48 4
 19921216 1200 26.36 4
 19930116 1200 25.91 4
 19930215 1200 26.15 4
 19930316 1200 27.05 1
 19930416 1200 27.37 1
 19930516 1200 27.93 1
 19930616 1200 28.13 1
 19930716 1200 28.01 1
 19930816 1200 26.99 1
 19930916 1200 26.75 1
 19931016 1200 26.73 1
 19931116 1200 26.66 1
 19931216 1200 26.94 1
 19940116 1200 26.39 1
 19940215 1200 26.66 1
 19940316 1200 26.73 1
 19940416 1200 26.92 1
 19940516 1200 27.32 1
 19940616 1200 27.36 4
 19940716 1200 27.50 4
 19940816 1200 27.47 4
 19940916 1200 26.95 4
 19941016 1200 27.55 4
 19941116 1200 28.00 4
 19941216 1200 27.64 4
 19950116 1200 27.35 4
 19950215 1200 26.84 4
 19950316 1200 26.96 4
 19950416 1200 27.61 2
 19950516 1200 27.65 2
 19950616 1200 27.40 2
 19950716 1200 26.99 2
 19950816 1200 26.11 2
 19950916 1200 -9.99 0
 19951016 1200 -9.99 0
 19951116 1200 -9.99 0
 19951216 1200 -9.99 0
 19960116 1200 25.14 1
 19960215 1200 25.51 1
 19960316 1200 26.41 1
 19960416 1200 26.58 1
 19960516 1200 26.95 1
 19960616 1200 26.97 1
 19960716 1200 26.84 1
 19960816 1200 26.62 4
 19960916 1200 25.93 4
 19961016 1200 26.08 4
 19961116 1200 26.16 4
 19961216 1200 26.16 2
 19970116 1200 25.90 2
 19970215 1200 26.05 2
 19970316 1200 26.38 2
 19970416 1200 27.27 2
 19970516 1200 28.31 2
 19970616 1200 28.77 2
 19970716 1200 28.39 2
 19970816 1200 28.61 2
 19970916 1200 28.44 2
 19971016 1200 28.49 2
 19971116 1200 28.38 2
 19971216 1200 28.29 2
 19980116 1200 28.10 2
 19980215 1200 27.92 2
 19980316 1200 27.52 2
 19980416 1200 27.28 2
 19980516 1200 -9.99 0
 19980616 1200 25.98 2
 19980716 1200 24.53 2
 19980816 1200 24.05 2
 Time: 1200 16 Jul 1999 to 1200 16 Sep 2013 (index    96 to   266,  171 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19990716 1200 26.41 2
 19990816 1200 25.97 2
 19990916 1200 25.70 2
 19991016 1200 26.31 2
 19991116 1200 25.20 2
 19991216 1200 25.16 2
 20000116 1200 24.48 2
 20000215 1200 24.66 2
 20000316 1200 25.35 2
 20000416 1200 26.03 2
 20000516 1200 26.58 2
 20000616 1200 26.94 2
 20000716 1200 26.85 1
 20000816 1200 26.90 1
 20000916 1200 26.84 1
 20001016 1200 26.39 1
 20001116 1200 25.86 1
 20001216 1200 25.59 1
 20010116 1200 25.83 1
 20010215 1200 25.96 1
 20010316 1200 26.17 1
 20010416 1200 26.86 1
 20010516 1200 27.39 1
 20010616 1200 27.68 1
 20010716 1200 27.71 1
 20010816 1200 27.24 1
 20010916 1200 27.03 1
 20011016 1200 27.03 1
 20011116 1200 27.09 1
 20011216 1200 26.59 1
 20020116 1200 26.82 1
 20020215 1200 27.01 1
 20020316 1200 27.30 1
 20020416 1200 27.85 1
 20020516 1200 28.18 1
 20020616 1200 28.29 1
 20020716 1200 27.91 1
 20020816 1200 27.69 1
 20020916 1200 27.91 1
 20021016 1200 28.29 1
 20021116 1200 28.33 1
 20021216 1200 27.91 1
 20030116 1200 27.68 1
 20030215 1200 27.36 1
 20030316 1200 27.31 1
 20030416 1200 27.37 1
 20030516 1200 26.91 1
 20030616 1200 27.08 1
 20030716 1200 27.44 1
 20030816 1200 27.00 1
 20030916 1200 26.95 1
 20031016 1200 27.35 1
 20031116 1200 26.94 1
 20031216 1200 26.93 1
 20040116 1200 26.51 1
 20040215 1200 26.79 1
 20040316 1200 26.90 1
 20040416 1200 27.29 1
 20040516 1200 27.75 1
 20040616 1200 27.82 1
 20040716 1200 27.62 1
 20040816 1200 27.73 1
 20040916 1200 27.65 1
 20041016 1200 27.65 1
 20041116 1200 27.17 1
 20041216 1200 26.85 1
 20050116 1200 27.07 1
 20050215 1200 26.68 1
 20050316 1200 26.98 1
 20050416 1200 27.31 1
 20050516 1200 27.76 1
 20050616 1200 27.68 1
 20050716 1200 27.62 1
 20050816 1200 26.78 1
 20050916 1200 26.81 1
 20051016 1200 26.84 1
 20051116 1200 26.76 1
 20051216 1200 26.26 1
 20060116 1200 25.62 1
 20060215 1200 26.08 1
 20060316 1200 26.31 1
 20060416 1200 27.29 1
 20060516 1200 27.52 1
 20060616 1200 28.05 1
 20060716 1200 27.79 1
 20060816 1200 27.66 1
 20060916 1200 27.79 1
 20061016 1200 27.58 2
 20061116 1200 27.85 2
 20061216 1200 27.54 2
 20070116 1200 26.97 2
 20070215 1200 26.66 2
 20070316 1200 26.55 2
 20070416 1200 27.10 2
 20070516 1200 27.25 2
 20070616 1200 27.57 2
 20070716 1200 26.66 2
 20070816 1200 26.45 2
 20070916 1200 25.67 2
 20071016 1200 -9.99 0
 20071116 1200 -9.99 0
 20071216 1200 -9.99 0
 20080116 1200 -9.99 0
 20080215 1200 24.41 1
 20080316 1200 25.24 1
 20080416 1200 25.77 1
 20080516 1200 26.27 1
 20080616 1200 26.73 1
 20080716 1200 27.05 1
 20080816 1200 26.70 1
 20080916 1200 26.58 1
 20081016 1200 26.56 1
 20081116 1200 26.42 1
 20081216 1200 25.33 1
 20090116 1200 25.46 1
 20090215 1200 26.05 1
 20090316 1200 25.94 1
 20090416 1200 26.80 1
 20090516 1200 27.95 1
 20090616 1200 28.16 1
 20090716 1200 28.23 1
 20090816 1200 27.91 1
 20090916 1200 28.05 1
 20091016 1200 27.95 1
 20091116 1200 29.09 1
 20091216 1200 29.23 1
 20100116 1200 29.06 1
 20100215 1200 28.05 1
 20100316 1200 27.99 1
 20100416 1200 27.82 1
 20100516 1200 27.53 1
 20100616 1200 26.98 1
 20100716 1200 26.85 1
 20100816 1200 26.81 1
 20100916 1200 25.67 2
 20101016 1200 25.10 2
 20101116 1200 25.24 2
 20101216 1200 25.14 2
 20110116 1200 24.83 2
 20110215 1200 25.07 2
 20110316 1200 25.60 2
 20110416 1200 26.61 2
 20110516 1200 27.09 2
 20110616 1200 27.36 2
 20110716 1200 27.32 2
 20110816 1200 26.16 2
 20110916 1200 -9.99 0
 20111016 1200 26.02 2
 20111116 1200 25.92 2
 20111216 1200 25.66 2
 20120116 1200 25.34 2
 20120215 1200 25.76 2
 20120316 1200 26.35 2
 20120416 1200 26.46 2
 20120516 1200 26.94 2
 20120616 1200 27.44 2
 20120716 1200 27.58 2
 20120816 1200 27.60 2
 20120916 1200 27.16 2
 20121016 1200 27.23 2
 20121116 1200 27.21 2
 20121216 1200 26.53 2
 20130116 1200 26.15 2
 20130215 1200 26.25 2
 20130316 1200 26.20 2
 20130416 1200 26.90 2
 20130516 1200 27.19 2
 20130616 1200 27.26 2
 20130716 1200 27.09 2
 20130816 1200 26.65 2
 20130916 1200 26.57 2
