 Location:  2N 140W  16 Nov 1986 to 16 May 2012 (  307 times,  4 blocks) Gen. Date Feb 16 2014
 Units: Air Temperature (C), -9.99 = missing
 Time: 1200 16 Nov 1986 to 1200 16 May 1989 (index     1 to    31,   31 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19861116 1200 26.86 1
 19861216 1200 26.53 1
 19870116 1200 -9.99 0
 19870215 1200 -9.99 0
 19870316 1200 -9.99 0
 19870416 1200 -9.99 0
 19870516 1200 27.67 1
 19870616 1200 28.45 1
 19870716 1200 27.61 1
 19870816 1200 27.60 1
 19870916 1200 27.25 1
 19871016 1200 27.20 1
 19871116 1200 27.17 1
 19871216 1200 26.68 1
 19880116 1200 26.25 1
 19880215 1200 26.13 1
 19880316 1200 26.15 1
 19880416 1200 26.54 1
 19880516 1200 24.61 1
 19880616 1200 24.23 2
 19880716 1200 24.60 2
 19880816 1200 23.73 2
 19880916 1200 24.23 2
 19881016 1200 -9.99 0
 19881116 1200 -9.99 0
 19881216 1200 23.08 2
 19890116 1200 23.69 2
 19890215 1200 24.40 2
 19890316 1200 25.15 2
 19890416 1200 25.77 2
 19890516 1200 26.28 2
 Time: 1200 16 Dec 1989 to 1200 16 Sep 1992 (index    38 to    71,   34 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19891216 1200 24.16 4
 19900116 1200 24.46 4
 19900215 1200 -9.99 0
 19900316 1200 -9.99 0
 19900416 1200 -9.99 0
 19900516 1200 27.10 1
 19900616 1200 26.48 1
 19900716 1200 26.41 1
 19900816 1200 25.68 1
 19900916 1200 24.92 1
 19901016 1200 25.40 1
 19901116 1200 25.24 1
 19901216 1200 25.37 1
 19910116 1200 25.82 1
 19910215 1200 25.68 1
 19910316 1200 25.77 1
 19910416 1200 26.60 1
 19910516 1200 27.73 1
 19910616 1200 27.90 1
 19910716 1200 27.33 1
 19910816 1200 27.01 1
 19910916 1200 26.46 1
 19911016 1200 27.40 1
 19911116 1200 27.32 1
 19911216 1200 27.60 1
 19920116 1200 27.29 1
 19920215 1200 27.54 1
 19920316 1200 27.31 1
 19920416 1200 27.85 1
 19920516 1200 27.64 2
 19920616 1200 27.09 2
 19920716 1200 26.34 2
 19920816 1200 25.24 2
 19920916 1200 25.84 2
 Time: 1200 16 May 1993 to 1200 16 Jan 2008 (index    79 to   255,  177 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19930516 1200 27.77 4
 19930616 1200 27.49 4
 19930716 1200 26.44 4
 19930816 1200 26.26 4
 19930916 1200 25.93 4
 19931016 1200 26.11 2
 19931116 1200 25.88 2
 19931216 1200 26.16 2
 19940116 1200 25.89 2
 19940215 1200 -9.99 0
 19940316 1200 -9.99 0
 19940416 1200 -9.99 0
 19940516 1200 -9.99 0
 19940616 1200 27.22 4
 19940716 1200 26.09 4
 19940816 1200 26.34 4
 19940916 1200 26.00 4
 19941016 1200 26.88 4
 19941116 1200 27.08 4
 19941216 1200 26.91 4
 19950116 1200 26.60 4
 19950215 1200 26.61 4
 19950316 1200 26.47 4
 19950416 1200 27.02 2
 19950516 1200 26.59 2
 19950616 1200 26.37 2
 19950716 1200 26.00 2
 19950816 1200 25.61 2
