 Location:  2N 125W  16 Dec 1991 to 16 Aug 2012 (  249 times,  5 blocks) Gen. Date Feb 16 2014
 Units: Air Temperature (C), -9.99 = missing
 Time: 1200 16 Dec 1991 to 1200 16 Oct 1992 (index     1 to    11,   11 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19911216 1200 25.88 2
 19920116 1200 26.29 2
 19920215 1200 26.44 2
 19920316 1200 27.06 2
 19920416 1200 27.43 2
 19920516 1200 27.46 2
 19920616 1200 25.78 2
 19920716 1200 24.94 2
 19920816 1200 -9.99 0
 19920916 1200 -9.99 0
 19921016 1200 24.44 4
 Time: 1200 16 May 1993 to 1200 16 Oct 1993 (index    18 to    23,    6 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19930516 1200 27.59 1
 19930616 1200 26.87 1
 19930716 1200 25.63 1
 19930816 1200 24.64 1
 19930916 1200 24.78 1
 19931016 1200 25.27 1
 Time: 1200 16 May 1994 to 1200 16 Oct 2001 (index    30 to   119,   90 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19940516 1200 26.57 1
 19940616 1200 26.62 1
 19940716 1200 24.54 1
 19940816 1200 24.83 1
 19940916 1200 24.63 1
 19941016 1200 24.98 1
 19941116 1200 25.63 1
 19941216 1200 25.95 1
 19950116 1200 25.64 1
 19950215 1200 26.44 1
 19950316 1200 26.12 1
 19950416 1200 26.92 1
 19950516 1200 25.48 1
 19950616 1200 25.62 1
 19950716 1200 25.78 1
 19950816 1200 23.86 1
 19950916 1200 24.01 1
 19951016 1200 23.26 1
 19951116 1200 24.01 1
 19951216 1200 23.57 1
 19960116 1200 24.87 1
 19960215 1200 25.27 1
 19960316 1200 25.92 1
 19960416 1200 26.71 1
 19960516 1200 25.72 1
 19960616 1200 -9.99 0
 19960716 1200 25.52 1
 19960816 1200 24.57 1
 19960916 1200 24.50 1
 19961016 1200 23.95 1
 19961116 1200 24.42 1
 19961216 1200 23.58 1
 19970116 1200 23.29 1
 19970215 1200 25.13 1
 19970316 1200 26.04 1
 19970416 1200 27.12 1
 19970516 1200 27.67 1
 19970616 1200 27.87 1
 19970716 1200 27.73 1
 19970816 1200 27.60 1
 19970916 1200 27.76 1
 19971016 1200 27.88 1
 19971116 1200 27.56 1
 19971216 1200 27.71 1
