 Location:  2N 110W  16 Nov 1985 to 16 Jan 2014 (  339 times,  3 blocks) Gen. Date Feb 16 2014
 Units: Air Temperature (C), -9.99 = missing
 Time: 1200 16 Nov 1985 to 1200 16 Apr 1987 (index     1 to    18,   18 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19851116 1200 22.73 1
 19851216 1200 23.05 1
 19860116 1200 24.26 1
 19860215 1200 25.70 1
 19860316 1200 26.40 1
 19860416 1200 26.58 1
 19860516 1200 25.96 1
 19860616 1200 25.62 1
 19860716 1200 24.78 1
 19860816 1200 23.25 1
 19860916 1200 23.98 1
 19861016 1200 24.66 1
 19861116 1200 24.51 1
 19861216 1200 24.34 1
 19870116 1200 25.72 1
 19870215 1200 26.61 1
 19870316 1200 27.05 1
 19870416 1200 27.54 1
 Time: 1200 16 Nov 1987 to 1200 16 May 2006 (index    25 to   247,  223 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19871116 1200 24.70 4
 19871216 1200 25.15 4
 19880116 1200 25.27 4
 19880215 1200 25.49 4
 19880316 1200 26.32 4
 19880416 1200 24.92 4
 19880516 1200 24.11 4
 19880616 1200 22.48 4
 19880716 1200 22.65 1
 19880816 1200 22.02 1
 19880916 1200 21.85 1
 19881016 1200 22.04 1
 19881116 1200 22.11 1
 19881216 1200 21.82 1
 19890116 1200 -9.99 0
 19890215 1200 -9.99 0
 19890316 1200 -9.99 0
 19890416 1200 26.62 1
 19890516 1200 24.95 1
 19890616 1200 25.27 1
 19890716 1200 23.84 1
 19890816 1200 23.02 1
 19890916 1200 23.10 1
 19891016 1200 22.94 1
 19891116 1200 23.04 1
 19891216 1200 22.92 1
 19900116 1200 24.63 1
 19900215 1200 25.94 1
 19900316 1200 26.68 1
 19900416 1200 27.47 1
 19900516 1200 26.76 1
 19900616 1200 25.52 1
 19900716 1200 23.92 1
 19900816 1200 23.70 1
 19900916 1200 23.56 1
 19901016 1200 23.45 1
 19901116 1200 23.33 1
 19901216 1200 23.83 1
 19910116 1200 24.70 1
 19910215 1200 25.89 1
 19910316 1200 26.51 1
 19910416 1200 26.75 2
 19910516 1200 27.73 2
 19910616 1200 26.61 2
 19910716 1200 -9.99 0
 19910816 1200 24.36 2
 19910916 1200 -9.99 0
 19911016 1200 -9.99 0
 19911116 1200 25.09 4
 19911216 1200 25.68 4
 19920116 1200 26.45 4
 19920215 1200 27.22 4
 19920316 1200 27.68 4
 19920416 1200 28.33 4
 19920516 1200 28.01 4
 19920616 1200 26.13 4
 19920716 1200 25.05 4
 19920816 1200 24.04 4
 19920916 1200 23.62 4
 19921016 1200 24.34 4
 19921116 1200 23.36 2
 19921216 1200 -9.99 0
 19930116 1200 -9.99 0
 19930215 1200 -9.99 0
 19930316 1200 26.25 1
 19930416 1200 26.71 1
 19930516 1200 26.32 1
 19930616 1200 25.61 1
 19930716 1200 24.17 1
 19930816 1200 23.32 1
 19930916 1200 23.59 1
 19931016 1200 23.88 1
 19931116 1200 24.19 1
 19931216 1200 24.28 1
 19940116 1200 24.85 1
 19940215 1200 24.95 1
 19940316 1200 26.09 1
 19940416 1200 25.90 1
 19940516 1200 25.85 1
 19940616 1200 25.63 1
 19940716 1200 23.54 1
 19940816 1200 23.18 1
 19940916 1200 23.56 1
 19941016 1200 24.85 1
 19941116 1200 24.11 1
 19941216 1200 24.90 1
 19950116 1200 25.56 1
 19950215 1200 26.70 1
 19950316 1200 26.14 1
 19950416 1200 26.09 1
 19950516 1200 25.17 1
 19950616 1200 25.45 1
 19950716 1200 24.25 1
 19950816 1200 22.91 2
 19950916 1200 23.10 2
 19951016 1200 -9.99 0
 19951116 1200 -9.99 0
 19951216 1200 -9.99 0
 19960116 1200 24.85 1
 19960215 1200 25.49 1
 19960316 1200 26.27 1
 19960416 1200 25.43 1
 19960516 1200 25.14 1
