 Location:  2N  95W  16 Nov 1992 to 16 Apr 2013 (  246 times,  6 blocks) Gen. Date Feb 16 2014
 Units: Air Temperature (C), -9.99 = missing
 Time: 1200 16 Nov 1992 to 1200 16 Oct 1993 (index     1 to    12,   12 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19921116 1200 23.25 2
 19921216 1200 24.12 2
 19930116 1200 24.37 2
 19930215 1200 26.36 2
 19930316 1200 27.22 2
 19930416 1200 28.13 2
 19930516 1200 27.07 2
 19930616 1200 25.86 2
 19930716 1200 24.51 2
 19930816 1200 23.31 2
 19930916 1200 22.61 2
 19931016 1200 22.46 2
 Time: 1200 16 May 1994 to 1200 16 Nov 1998 (index    19 to    73,   55 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19940516 1200 25.70 4
 19940616 1200 23.94 4
 19940716 1200 -9.99 0
 19940816 1200 23.06 4
 19940916 1200 22.72 4
 19941016 1200 24.14 4
 19941116 1200 24.35 4
 19941216 1200 25.12 4
 19950116 1200 26.05 4
 19950215 1200 26.86 2
 19950316 1200 26.94 2
 19950416 1200 25.21 2
 19950516 1200 24.26 2
 19950616 1200 -9.99 0
 19950716 1200 -9.99 0
 19950816 1200 -9.99 0
 19950916 1200 22.51 1
 19951016 1200 23.12 1
 19951116 1200 -9.99 0
 19951216 1200 -9.99 0
 19960116 1200 24.77 1
 19960215 1200 25.83 1
 19960316 1200 26.37 1
 19960416 1200 25.63 1
 19960516 1200 24.69 1
 19960616 1200 -9.99 0
 19960716 1200 -9.99 0
 19960816 1200 -9.99 0
 19960916 1200 -9.99 0
 19961016 1200 -9.99 0
 19961116 1200 22.50 2
 19961216 1200 23.27 2
 19970116 1200 24.32 2
 19970215 1200 25.91 2
 19970316 1200 27.23 2
 19970416 1200 27.46 2
 19970516 1200 -9.99 0
 19970616 1200 -9.99 0
 19970716 1200 -9.99 0
 19970816 1200 26.92 1
 19970916 1200 26.88 1
 19971016 1200 26.81 1
 19971116 1200 27.28 1
 19971216 1200 27.71 1
 19980116 1200 28.83 1
 19980215 1200 28.79 1
 19980316 1200 29.11 1
 19980416 1200 28.44 1
 19980516 1200 28.24 1
 19980616 1200 -9.99 0
 19980716 1200 -9.99 0
 19980816 1200 -9.99 0
 19980916 1200 -9.99 0
 19981016 1200 -9.99 0
 19981116 1200 23.71 2
 Time: 1200 16 Jun 1999 to 1200 16 Mar 2002 (index    80 to   113,   34 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19990616 1200 24.31 2
 19990716 1200 22.93 2
 19990816 1200 22.61 2
 19990916 1200 22.35 2
 19991016 1200 -9.99 0
 19991116 1200 -9.99 0
 19991216 1200 23.06 1
 20000116 1200 23.73 1
 20000215 1200 25.44 1
 20000316 1200 26.34 1
 20000416 1200 27.34 1
 20000516 1200 25.89 1
 20000616 1200 24.60 1
 20000716 1200 23.15 1
 20000816 1200 22.54 1
 20000916 1200 22.49 1
 20001016 1200 22.83 1
 20001116 1200 22.81 2
 20001216 1200 23.81 2
 20010116 1200 -9.99 0
 20010215 1200 -9.99 0
 20010316 1200 -9.99 0
 20010416 1200 -9.99 0
 20010516 1200 25.43 2
 20010616 1200 -9.99 0
 20010716 1200 -9.99 0
 20010816 1200 -9.99 0
 20010916 1200 -9.99 0
 20011016 1200 22.47 1
 20011116 1200 22.83 1
 20011216 1200 23.75 1
 20020116 1200 25.17 1
 20020215 1200 25.95 1
 20020316 1200 27.47 1
 Time: 1200 16 Nov 2002 to 1200 16 Jul 2010 (index   121 to   213,   93 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 20021116 1200 24.17 1
 20021216 1200 24.87 1
 20030116 1200 25.75 1
 20030215 1200 26.05 1
 20030316 1200 26.85 1
 20030416 1200 25.66 1
 20030516 1200 23.80 1
 20030616 1200 23.10 1
 20030716 1200 22.71 1
 20030816 1200 -9.99 0
 20030916 1200 -9.99 0
 20031016 1200 -9.99 0
 20031116 1200 23.64 2
 20031216 1200 24.47 2
 20040116 1200 25.30 2
 20040215 1200 26.48 2
 20040316 1200 26.64 2
 20040416 1200 26.27 2
 20040516 1200 25.12 2
 20040616 1200 23.97 2
 20040716 1200 23.29 2
 20040816 1200 -9.99 0
 20040916 1200 -9.99 0
 20041016 1200 -9.99 0
 20041116 1200 24.03 1
 20041216 1200 24.63 1
 20050116 1200 -9.99 0
 20050215 1200 -9.99 0
 20050316 1200 -9.99 0
 20050416 1200 -9.99 0
 20050516 1200 25.92 2
 20050616 1200 24.51 2
 20050716 1200 24.00 2
 20050816 1200 23.60 2
 20050916 1200 22.36 2
 20051016 1200 -9.99 0
 20051116 1200 22.86 2
 20051216 1200 23.16 2
 20060116 1200 24.77 2
 20060215 1200 26.25 2
 20060316 1200 26.25 2
 20060416 1200 26.32 2
 20060516 1200 26.07 2
 20060616 1200 24.63 2
 20060716 1200 23.49 2
 20060816 1200 -9.99 0
 20060916 1200 -9.99 0
 20061016 1200 -9.99 0
 20061116 1200 24.93 2
 20061216 1200 25.17 2
 20070116 1200 26.05 2
 20070215 1200 26.43 2
 20070316 1200 26.18 2
 20070416 1200 25.76 2
 20070516 1200 24.85 2
 20070616 1200 23.11 2
 20070716 1200 22.23 2
 20070816 1200 21.44 2
 20070916 1200 21.31 2
 20071016 1200 22.31 2
 20071116 1200 21.85 2
 20071216 1200 22.77 1
 20080116 1200 24.29 1
 20080215 1200 25.73 1
 20080316 1200 26.98 1
 20080416 1200 26.99 1
 20080516 1200 26.69 1
 20080616 1200 25.23 1
 20080716 1200 25.04 1
 20080816 1200 24.60 1
 20080916 1200 23.95 1
 20081016 1200 23.62 1
 20081116 1200 23.87 1
 20081216 1200 23.98 1
 20090116 1200 25.65 2
 20090215 1200 26.45 2
 20090316 1200 26.57 2
 20090416 1200 27.05 2
 20090516 1200 26.81 2
 20090616 1200 -9.99 0
 20090716 1200 -9.99 0
 20090816 1200 -9.99 0
 20090916 1200 -9.99 0
 20091016 1200 24.16 2
 20091116 1200 -9.99 0
 20091216 1200 -9.99 0
 20100116 1200 -9.99 0
 20100215 1200 -9.99 0
 20100316 1200 -9.99 0
 20100416 1200 27.52 2
 20100516 1200 25.78 2
 20100616 1200 24.67 2
 20100716 1200 22.71 2
 Time: 1200 16 May 2011 to 1200 15 Feb 2012 (index   223 to   232,   10 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 20110516 1200 26.03 2
 20110616 1200 25.87 2
 20110716 1200 24.76 2
 20110816 1200 23.82 2
 20110916 1200 23.09 2
 20111016 1200 23.20 2
 20111116 1200 23.17 2
 20111216 1200 23.91 2
 20120116 1200 24.94 2
 20120215 1200 26.30 2
 Time: 1200 16 Apr 2013 to 1200 16 Apr 2013 (index   246 to   246,    1 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 20130416 1200 27.22 2
