 Location:  5N 147E  16 Mar 1990 to 16 May 2013 (  279 times,  6 blocks) Gen. Date Feb 16 2014
 Units: Air Temperature (C), -9.99 = missing
 Time: 1200 16 Mar 1990 to 1200 15 Feb 1991 (index     1 to    12,   12 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19900316 1200 27.96 2
 19900416 1200 27.89 2
 19900516 1200 27.95 2
 19900616 1200 27.88 2
 19900716 1200 27.22 2
 19900816 1200 27.22 2
 19900916 1200 27.64 2
 19901016 1200 26.79 2
 19901116 1200 26.93 2
 19901216 1200 27.14 2
 19910116 1200 27.34 2
 19910215 1200 27.18 2
 Time: 1200 16 Oct 1991 to 1200 16 Nov 1999 (index    20 to   117,   98 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19911016 1200 27.11 4
 19911116 1200 27.39 4
 19911216 1200 27.38 4
 19920116 1200 27.19 4
 19920215 1200 26.70 4
 19920316 1200 26.92 4
 19920416 1200 27.11 4
 19920516 1200 28.19 1
 19920616 1200 27.88 1
 19920716 1200 27.68 1
 19920816 1200 27.60 1
 19920916 1200 28.28 1
 19921016 1200 27.77 1
 19921116 1200 28.17 1
 19921216 1200 27.81 1
 19930116 1200 27.35 1
 19930215 1200 27.42 1
 19930316 1200 27.34 1
 19930416 1200 27.68 1
 19930516 1200 27.94 1
 19930616 1200 27.54 1
 19930716 1200 27.72 1
 19930816 1200 27.56 1
 19930916 1200 27.45 1
 19931016 1200 27.94 1
 19931116 1200 28.24 1
 19931216 1200 28.03 1
 19940116 1200 27.76 1
 19940215 1200 27.69 1
 19940316 1200 27.99 1
 19940416 1200 -9.99 0
 19940516 1200 28.11 2
 19940616 1200 28.00 2
 19940716 1200 27.63 2
 19940816 1200 27.76 2
 19940916 1200 28.09 2
 19941016 1200 28.23 2
 19941116 1200 28.53 2
 19941216 1200 28.11 2
 19950116 1200 27.80 2
 19950215 1200 27.89 2
 19950316 1200 27.96 2
 19950416 1200 -9.99 0
 19950516 1200 -9.99 0
 19950616 1200 -9.99 0
 19950716 1200 -9.99 0
 19950816 1200 -9.99 0
 19950916 1200 28.32 1
 19951016 1200 28.64 1
 19951116 1200 28.81 1
 19951216 1200 28.56 1
 19960116 1200 28.04 1
 19960215 1200 27.82 1
 19960316 1200 28.08 1
 19960416 1200 27.43 1
 19960516 1200 28.10 1
 19960616 1200 28.18 1
 19960716 1200 28.17 1
 19960816 1200 28.28 4
 19960916 1200 28.64 4
 19961016 1200 28.67 4
 19961116 1200 28.81 4
 19961216 1200 28.63 4
 19970116 1200 28.42 4
 19970215 1200 28.13 4
 19970316 1200 28.19 4
 19970416 1200 28.61 4
 19970516 1200 28.69 4
 19970616 1200 -9.99 0
 19970716 1200 -9.99 0
 19970816 1200 -9.99 0
 19970916 1200 -9.99 0
 19971016 1200 28.23 4
 19971116 1200 28.59 4
 19971216 1200 28.44 4
 19980116 1200 28.12 4
 19980215 1200 27.86 4
 19980316 1200 27.80 4
 19980416 1200 28.26 4
 19980516 1200 28.45 4
 19980616 1200 28.45 4
 19980716 1200 28.70 4
 19980816 1200 28.73 4
 19980916 1200 28.95 2
 19981016 1200 28.73 2
 19981116 1200 28.57 2
 19981216 1200 28.46 2
 19990116 1200 28.36 2
 19990215 1200 28.22 2
 19990316 1200 27.70 2
 19990416 1200 27.44 2
 19990516 1200 27.99 2
 19990616 1200 27.59 2
 19990716 1200 27.59 2
 19990816 1200 27.59 2
 19990916 1200 27.72 2
 19991016 1200 28.15 2
 19991116 1200 28.54 2
 Time: 1200 16 Dec 1999 to 1200 16 Aug 2000 (index   118 to   126,    9 times)
 Depth (M):     -2.2 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19991216 1200 28.44 1
 20000116 1200 28.29 1
 20000215 1200 28.42 1
 20000316 1200 28.05 1
 20000416 1200 28.12 1
 20000516 1200 28.10 1
 20000616 1200 28.23 1
 20000716 1200 28.01 1
 20000816 1200 27.95 1
 Time: 1200 16 Mar 2001 to 1200 16 Dec 2006 (index   133 to   202,   70 times)
 Depth (M):     -2.2 QUALITY
 YYYYMMDD HHMM  AIRT Q
 20010316 1200 27.96 1
 20010416 1200 28.34 1
 20010516 1200 28.26 1
 20010616 1200 28.12 1
 20010716 1200 28.11 1
 20010816 1200 28.07 1
 20010916 1200 28.37 1
 20011016 1200 28.40 1
 20011116 1200 28.79 1
 20011216 1200 28.15 1
 20020116 1200 28.18 1
 20020215 1200 28.11 1
 20020316 1200 28.28 1
 20020416 1200 28.26 1
 20020516 1200 28.64 1
 20020616 1200 28.44 1
 20020716 1200 28.17 1
 20020816 1200 27.91 1
 20020916 1200 28.32 1
 20021016 1200 28.35 1
 20021116 1200 28.69 1
 20021216 1200 28.39 1
 20030116 1200 28.10 1
 20030215 1200 28.10 1
 20030316 1200 28.22 1
 20030416 1200 28.41 1
 20030516 1200 28.35 1
