 Location:  5N 156E  16 Sep 1991 to 16 Jan 2014 (  269 times,  6 blocks) Gen. Date Feb 16 2014
 Units: Air Temperature (C), -9.99 = missing
 Time: 1200 16 Sep 1991 to 1200 16 May 1994 (index     1 to    33,   33 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19910916 1200 27.82 1
 19911016 1200 28.35 1
 19911116 1200 -9.99 0
 19911216 1200 -9.99 0
 19920116 1200 -9.99 0
 19920215 1200 -9.99 0
 19920316 1200 27.89 1
 19920416 1200 27.91 1
 19920516 1200 28.06 1
 19920616 1200 -9.99 0
 19920716 1200 -9.99 0
 19920816 1200 -9.99 0
 19920916 1200 -9.99 0
 19921016 1200 27.96 4
 19921116 1200 27.96 4
 19921216 1200 28.00 4
 19930116 1200 27.27 4
 19930215 1200 27.40 4
 19930316 1200 27.45 1
 19930416 1200 27.97 1
 19930516 1200 27.83 1
 19930616 1200 27.58 1
 19930716 1200 27.67 1
 19930816 1200 27.44 1
 19930916 1200 27.80 1
 19931016 1200 27.99 1
 19931116 1200 28.51 1
 19931216 1200 28.11 1
 19940116 1200 28.10 1
 19940215 1200 28.23 1
 19940316 1200 28.29 1
 19940416 1200 28.51 1
 19940516 1200 28.33 1
 Time: 1200 16 Dec 1994 to 1200 16 Oct 1999 (index    40 to    98,   59 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19941216 1200 27.99 1
 19950116 1200 27.55 1
 19950215 1200 27.61 1
 19950316 1200 27.70 1
 19950416 1200 27.68 1
 19950516 1200 28.15 1
 19950616 1200 28.22 1
 19950716 1200 27.98 1
 19950816 1200 28.70 1
 19950916 1200 28.54 1
 19951016 1200 28.76 1
 19951116 1200 28.67 1
 19951216 1200 28.32 1
 19960116 1200 28.21 1
 19960215 1200 28.24 1
 19960316 1200 28.42 1
 19960416 1200 27.71 1
 19960516 1200 27.80 1
 19960616 1200 27.96 1
 19960716 1200 28.11 1
 19960816 1200 28.58 1
 19960916 1200 28.65 1
 19961016 1200 28.63 1
 19961116 1200 28.64 1
 19961216 1200 28.88 1
 19970116 1200 28.47 1
 19970215 1200 28.19 1
 19970316 1200 28.64 1
 19970416 1200 28.40 1
 19970516 1200 28.43 1
 19970616 1200 28.16 1
 19970716 1200 27.47 1
 19970816 1200 27.27 1
 19970916 1200 27.87 1
 19971016 1200 27.72 2
 19971116 1200 28.52 2
 19971216 1200 28.58 2
 19980116 1200 28.46 2
 19980215 1200 28.25 2
 19980316 1200 28.34 2
 19980416 1200 28.65 2
 19980516 1200 28.61 2
 19980616 1200 28.32 2
 19980716 1200 28.64 2
 19980816 1200 28.50 2
 19980916 1200 28.83 2
 19981016 1200 28.50 2
 19981116 1200 28.36 2
 19981216 1200 28.49 2
 19990116 1200 28.04 2
 19990215 1200 28.03 2
 19990316 1200 27.84 2
 19990416 1200 27.50 2
 19990516 1200 27.88 2
 19990616 1200 27.92 2
 19990716 1200 27.59 2
 19990816 1200 27.90 2
 19990916 1200 27.78 2
 19991016 1200 28.32 2
 Time: 1200 16 Nov 1999 to 1200 16 Jun 2002 (index    99 to   130,   32 times)
 Depth (M):     -2.2 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19991116 1200 28.32 1
 19991216 1200 28.30 1
 20000116 1200 28.42 1
 20000215 1200 27.72 1
 20000316 1200 28.08 1
 20000416 1200 27.75 1
 20000516 1200 27.87 1
 20000616 1200 27.97 1
 20000716 1200 27.94 1
 20000816 1200 27.67 1
 20000916 1200 28.27 1
 20001016 1200 28.09 1
 20001116 1200 28.58 1
 20001216 1200 28.41 1
 20010116 1200 27.91 1
 20010215 1200 27.86 1
 20010316 1200 28.14 1
 20010416 1200 28.13 1
 20010516 1200 28.03 1
 20010616 1200 28.12 1
 20010716 1200 28.26 1
 20010816 1200 27.89 1
 20010916 1200 28.50 1
 20011016 1200 28.18 1
 20011116 1200 28.53 1
 20011216 1200 28.40 1
 20020116 1200 28.25 1
 20020215 1200 28.10 1
 20020316 1200 27.92 2
 20020416 1200 27.72 2
 20020516 1200 28.03 2
 20020616 1200 28.09 2
 Time: 1200 16 Jan 2003 to 1200 16 Jun 2007 (index   137 to   190,   54 times)
 Depth (M):     -2.2 QUALITY
 YYYYMMDD HHMM  AIRT Q
 20030116 1200 27.79 1
 20030215 1200 28.29 1
 20030316 1200 28.08 1
 20030416 1200 28.09 1
 20030516 1200 28.23 1
 20030616 1200 28.12 1
 20030716 1200 27.89 1
 20030816 1200 28.04 1
 20030916 1200 28.04 1
 20031016 1200 28.51 1
 20031116 1200 28.46 1
 20031216 1200 28.35 1
 20040116 1200 28.34 1
 20040215 1200 28.29 1
 20040316 1200 28.23 1
 20040416 1200 28.44 1
 20040516 1200 28.30 1
 20040616 1200 28.00 1
 20040716 1200 28.10 1
 20040816 1200 27.90 1
 20040916 1200 28.07 1
 20041016 1200 28.57 1
 20041116 1200 28.68 1
 20041216 1200 28.15 1
 20050116 1200 28.07 1
 20050215 1200 28.30 1
 20050316 1200 27.94 1
 20050416 1200 28.01 1
 20050516 1200 28.22 1
 20050616 1200 28.16 1
 20050716 1200 28.21 1
 20050816 1200 28.06 1
 20050916 1200 28.17 1
 20051016 1200 28.54 1
 20051116 1200 28.68 1
 20051216 1200 28.26 1
 20060116 1200 28.35 1
 20060215 1200 28.57 1
 20060316 1200 28.02 1
 20060416 1200 27.97 1
 20060516 1200 28.20 1
 20060616 1200 28.28 1
 20060716 1200 27.86 1
 20060816 1200 27.98 1
 20060916 1200 28.39 1
 20061016 1200 28.17 1
 20061116 1200 28.41 1
 20061216 1200 28.14 1
 20070116 1200 28.12 1
 20070215 1200 28.22 1
 20070316 1200 28.24 1
 20070416 1200 28.23 1
 20070516 1200 28.29 1
 20070616 1200 28.56 1
 Time: 1200 16 Aug 2008 to 1200 16 Nov 2011 (index   204 to   243,   40 times)
 Depth (M):     -2.2 QUALITY
 YYYYMMDD HHMM  AIRT Q
 20080816 1200 27.85 1
 20080916 1200 27.85 1
 20081016 1200 28.26 1
 20081116 1200 28.34 1
 20081216 1200 28.37 1
 20090116 1200 28.37 1
 20090215 1200 28.05 1
 20090316 1200 27.83 1
 20090416 1200 28.38 1
 20090516 1200 28.13 1
 20090616 1200 28.41 1
 20090716 1200 28.11 1
 20090816 1200 28.83 1
 20090916 1200 28.44 1
 20091016 1200 28.52 1
 20091116 1200 28.46 1
 20091216 1200 28.37 1
 20100116 1200 28.23 1
 20100215 1200 28.49 1
 20100316 1200 28.33 1
 20100416 1200 28.25 1
 20100516 1200 28.61 1
 20100616 1200 28.52 1
 20100716 1200 27.95 1
 20100816 1200 28.01 1
 20100916 1200 28.45 1
 20101016 1200 28.31 1
 20101116 1200 28.53 1
 20101216 1200 28.18 1
 20110116 1200 28.24 1
 20110215 1200 28.06 1
 20110316 1200 28.09 1
 20110416 1200 28.31 1
 20110516 1200 27.93 1
 20110616 1200 27.93 1
 20110716 1200 27.77 1
 20110816 1200 27.63 1
 20110916 1200 27.69 1
 20111016 1200 27.99 1
 20111116 1200 28.12 1
 Time: 1200 16 Sep 2012 to 1200 16 Jan 2014 (index   253 to   269,   17 times)
 Depth (M):     -2.2 QUALITY
 YYYYMMDD HHMM  AIRT Q
 20120916 1200 28.27 2
 20121016 1200 28.35 2
 20121116 1200 28.29 2
 20121216 1200 28.42 2
 20130116 1200 28.49 2
 20130215 1200 28.00 2
 20130316 1200 28.11 2
 20130416 1200 27.91 2
 20130516 1200 28.03 2
 20130616 1200 28.06 2
 20130716 1200 28.25 2
 20130816 1200 28.18 2
 20130916 1200 28.39 2
 20131016 1200 28.30 2
 20131116 1200 28.17 2
 20131216 1200 28.41 2
 20140116 1200 28.30 2
