 Location:  5N  95W  16 May 1994 to 16 May 2013 (  229 times,  2 blocks) Gen. Date Feb 16 2014
 Units: Air Temperature (C), -9.99 = missing
 Time: 1200 16 May 1994 to 1200 16 Aug 2012 (index     1 to   220,  220 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19940516 1200 27.52 4
 19940616 1200 26.23 4
 19940716 1200 25.80 4
 19940816 1200 25.41 4
 19940916 1200 25.64 4
 19941016 1200 25.58 4
 19941116 1200 25.92 4
 19941216 1200 26.31 4
 19950116 1200 27.03 4
 19950215 1200 27.03 4
 19950316 1200 26.78 4
 19950416 1200 26.88 4
 19950516 1200 26.07 4
 19950616 1200 25.85 4
 19950716 1200 25.24 4
 19950816 1200 24.95 4
 19950916 1200 25.65 1
 19951016 1200 25.60 1
 19951116 1200 25.21 1
 19951216 1200 25.26 1
 19960116 1200 25.38 1
 19960215 1200 26.32 1
 19960316 1200 27.45 1
 19960416 1200 27.09 1
 19960516 1200 26.47 2
 19960616 1200 25.53 2
 19960716 1200 24.96 2
 19960816 1200 24.81 2
 19960916 1200 25.10 2
 19961016 1200 24.84 2
 19961116 1200 24.92 2
 19961216 1200 24.67 2
 19970116 1200 25.12 2
 19970215 1200 26.71 1
 19970316 1200 27.39 1
 19970416 1200 27.67 1
 19970516 1200 28.09 1
 19970616 1200 27.42 1
 19970716 1200 27.45 1
 19970816 1200 27.35 4
 19970916 1200 27.39 4
 19971016 1200 27.15 4
 19971116 1200 27.37 4
 19971216 1200 28.27 4
 19980116 1200 28.82 4
 19980215 1200 28.66 4
 19980316 1200 29.25 2
 19980416 1200 29.00 2
 19980516 1200 28.81 2
 19980616 1200 27.37 2
 19980716 1200 26.85 2
 19980816 1200 26.34 2
 19980916 1200 25.94 2
 19981016 1200 25.84 2
 19981116 1200 25.65 2
 19981216 1200 25.40 2
 19990116 1200 25.81 2
 19990215 1200 26.32 2
 19990316 1200 27.25 2
 19990416 1200 26.92 2
 19990516 1200 26.47 2
 19990616 1200 26.12 1
 19990716 1200 25.27 1
 19990816 1200 25.27 1
 19990916 1200 25.01 1
 19991016 1200 25.00 1
 19991116 1200 24.48 1
 19991216 1200 24.77 1
 20000116 1200 24.95 1
 20000215 1200 25.34 1
 20000316 1200 26.43 1
 20000416 1200 27.48 1
 20000516 1200 27.11 2
 20000616 1200 26.15 2
 20000716 1200 -9.99 0
 20000816 1200 -9.99 0
 20000916 1200 -9.99 0
 20001016 1200 -9.99 0
 20001116 1200 25.36 1
 20001216 1200 26.31 1
 20010116 1200 26.19 1
 20010215 1200 27.70 1
 20010316 1200 28.63 1
 20010416 1200 28.86 1
 20010516 1200 27.50 1
 20010616 1200 26.58 1
 20010716 1200 26.21 1
 20010816 1200 26.40 1
 20010916 1200 26.22 1
 20011016 1200 26.31 1
 20011116 1200 25.43 1
 20011216 1200 25.16 2
 20020116 1200 25.63 2
 20020215 1200 26.28 2
 20020316 1200 27.28 2
 20020416 1200 27.47 2
 20020516 1200 27.32 2
 20020616 1200 26.26 2
 20020716 1200 25.52 2
 20020816 1200 25.41 2
 20020916 1200 25.50 2
 20021016 1200 25.62 1
 20021116 1200 25.67 1
 20021216 1200 26.16 1
 20030116 1200 26.35 1
 20030215 1200 27.17 1
 20030316 1200 27.73 1
 20030416 1200 27.38 1
 20030516 1200 26.76 1
 20030616 1200 25.85 1
 20030716 1200 25.52 1
 20030816 1200 25.55 1
 20030916 1200 25.52 1
 20031016 1200 25.63 1
 20031116 1200 25.57 2
 20031216 1200 25.71 2
 20040116 1200 25.90 2
 20040215 1200 27.11 2
 20040316 1200 27.63 2
 20040416 1200 27.58 2
 20040516 1200 27.07 2
 20040616 1200 25.91 2
 20040716 1200 -9.99 0
 20040816 1200 -9.99 0
 20040916 1200 -9.99 0
 20041016 1200 -9.99 0
 20041116 1200 25.59 1
 20041216 1200 25.79 1
 20050116 1200 25.68 1
 20050215 1200 26.26 1
 20050316 1200 27.09 1
 20050416 1200 27.81 1
 20050516 1200 27.48 1
 20050616 1200 26.56 1
 20050716 1200 26.18 1
 20050816 1200 26.04 1
 20050916 1200 25.42 1
 20051016 1200 24.98 1
 20051116 1200 24.89 2
 20051216 1200 24.88 2
 20060116 1200 25.80 2
 20060215 1200 26.40 2
 20060316 1200 27.31 2
 20060416 1200 27.12 2
 20060516 1200 26.58 3
 20060616 1200 26.03 3
 20060716 1200 25.45 3
 20060816 1200 25.33 3
 20060916 1200 25.42 3
 20061016 1200 25.85 3
 20061116 1200 25.55 3
 20061216 1200 25.52 3
 20070116 1200 25.99 3
 20070215 1200 26.90 3
 20070316 1200 27.01 3
 20070416 1200 27.12 3
 20070516 1200 26.88 1
 20070616 1200 25.82 1
 20070716 1200 25.06 1
 20070816 1200 24.61 1
 20070916 1200 24.69 1
 20071016 1200 24.90 1
 20071116 1200 24.44 1
 20071216 1200 24.56 1
 20080116 1200 24.80 1
 20080215 1200 25.91 1
 20080316 1200 26.95 1
 20080416 1200 27.43 1
 20080516 1200 27.10 1
 20080616 1200 26.49 1
 20080716 1200 25.74 1
 20080816 1200 25.61 1
 20080916 1200 25.64 1
 20081016 1200 25.61 1
 20081116 1200 24.99 1
 20081216 1200 25.15 1
 20090116 1200 25.45 1
 20090215 1200 25.82 1
 20090316 1200 26.89 1
 20090416 1200 27.39 1
 20090516 1200 27.28 1
 20090616 1200 26.96 1
 20090716 1200 26.11 1
 20090816 1200 26.08 1
 20090916 1200 26.03 1
 20091016 1200 26.15 1
 20091116 1200 26.02 1
 20091216 1200 26.28 1
 20100116 1200 26.55 1
 20100215 1200 27.25 1
 20100316 1200 27.80 1
 20100416 1200 27.98 2
 20100516 1200 27.53 2
 20100616 1200 26.50 2
 20100716 1200 25.79 2
 20100816 1200 25.09 2
 20100916 1200 25.06 2
 20101016 1200 24.93 2
 20101116 1200 24.51 2
 20101216 1200 24.83 2
 20110116 1200 25.25 2
 20110215 1200 25.75 2
 20110316 1200 26.89 2
 20110416 1200 27.55 2
 20110516 1200 27.23 1
 20110616 1200 26.53 1
 20110716 1200 25.89 1
 20110816 1200 25.86 1
 20110916 1200 25.45 1
 20111016 1200 25.35 1
 20111116 1200 24.94 1
 20111216 1200 24.78 1
 20120116 1200 25.50 1
 20120215 1200 26.31 1
 20120316 1200 27.64 2
 20120416 1200 28.10 2
 20120516 1200 27.17 2
 20120616 1200 26.83 2
 20120716 1200 26.48 2
 20120816 1200 25.73 2
 Time: 1200 16 Apr 2013 to 1200 16 May 2013 (index   228 to   229,    2 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 20130416 1200 27.47 2
 20130516 1200 26.77 2
