 Location:  8N 137E  16 Oct 2001 to 16 May 2013 (  140 times,  1 blocks) Gen. Date Feb 16 2014
 Units: Air Temperature (C), -9.99 = missing
 Time: 1200 16 Oct 2001 to 1200 16 May 2013 (index     1 to   140,  140 times)
 Depth (M):     -2.2 QUALITY
 YYYYMMDD HHMM  AIRT Q
 20011016 1200 28.77 1
 20011116 1200 28.72 1
 20011216 1200 28.07 1
 20020116 1200 28.09 1
 20020215 1200 27.80 1
 20020316 1200 27.80 1
 20020416 1200 28.34 1
 20020516 1200 28.51 1
 20020616 1200 28.34 1
 20020716 1200 28.38 2
 20020816 1200 27.74 2
 20020916 1200 27.93 2
 20021016 1200 28.16 2
 20021116 1200 28.62 2
 20021216 1200 28.32 2
 20030116 1200 27.58 2
 20030215 1200 27.36 2
 20030316 1200 27.57 2
 20030416 1200 28.31 2
 20030516 1200 28.39 2
 20030616 1200 28.31 1
 20030716 1200 27.89 1
 20030816 1200 27.93 1
 20030916 1200 27.80 1
 20031016 1200 28.49 1
 20031116 1200 28.79 1
 20031216 1200 28.01 1
 20040116 1200 27.88 1
 20040215 1200 27.78 1
 20040316 1200 27.86 1
 20040416 1200 28.14 1
 20040516 1200 28.05 1
 20040616 1200 27.63 1
 20040716 1200 27.79 1
 20040816 1200 -9.99 0
 20040916 1200 28.00 1
 20041016 1200 28.37 1
 20041116 1200 28.74 1
 20041216 1200 28.50 1
 20050116 1200 27.70 1
 20050215 1200 27.29 1
 20050316 1200 27.70 1
 20050416 1200 27.91 1
 20050516 1200 28.15 1
 20050616 1200 28.39 1
 20050716 1200 28.15 1
 20050816 1200 27.90 1
 20050916 1200 27.97 1
 20051016 1200 28.60 1
 20051116 1200 28.50 1
 20051216 1200 28.17 1
 20060116 1200 28.10 1
 20060215 1200 27.94 1
 20060316 1200 27.69 1
 20060416 1200 28.30 1
 20060516 1200 28.22 1
 20060616 1200 28.31 1
 20060716 1200 28.14 1
 20060816 1200 27.86 1
 20060916 1200 28.07 1
 20061016 1200 28.14 1
 20061116 1200 28.59 1
 20061216 1200 28.33 1
 20070116 1200 27.92 1
 20070215 1200 27.81 1
 20070316 1200 27.67 1
 20070416 1200 28.22 1
 20070516 1200 28.35 1
 20070616 1200 28.40 1
 20070716 1200 28.00 1
 20070816 1200 28.06 1
 20070916 1200 28.09 1
 20071016 1200 28.42 1
 20071116 1200 28.39 1
 20071216 1200 28.46 1
 20080116 1200 28.30 2
 20080215 1200 28.13 2
 20080316 1200 28.27 2
 20080416 1200 28.40 2
 20080516 1200 27.93 2
 20080616 1200 28.13 2
 20080716 1200 28.35 2
 20080816 1200 28.12 2
 20080916 1200 28.21 2
 20081016 1200 28.53 2
 20081116 1200 28.47 2
 20081216 1200 28.52 2
 20090116 1200 28.39 2
 20090215 1200 28.14 2
 20090316 1200 28.33 2
 20090416 1200 28.21 2
 20090516 1200 28.31 1
 20090616 1200 28.10 1
 20090716 1200 28.01 1
 20090816 1200 28.37 1
 20090916 1200 28.29 1
 20091016 1200 28.37 1
 20091116 1200 28.30 1
 20091216 1200 28.24 1
 20100116 1200 27.93 1
 20100215 1200 27.56 1
 20100316 1200 27.94 1
 20100416 1200 28.50 1
 20100516 1200 29.02 1
 20100616 1200 29.01 1
 20100716 1200 28.68 1
 20100816 1200 28.35 1
 20100916 1200 28.74 1
 20101016 1200 28.64 1
 20101116 1200 28.67 1
 20101216 1200 28.73 1
 20110116 1200 28.70 1
 20110215 1200 28.28 1
 20110316 1200 28.21 1
 20110416 1200 28.45 1
 20110516 1200 28.35 1
 20110616 1200 27.99 1
 20110716 1200 27.65 1
 20110816 1200 27.95 1
 20110916 1200 27.96 1
 20111016 1200 28.26 1
 20111116 1200 28.70 1
 20111216 1200 28.72 1
 20120116 1200 28.37 1
 20120215 1200 27.99 1
 20120316 1200 28.08 1
 20120416 1200 28.39 1
 20120516 1200 28.51 1
 20120616 1200 28.34 1
 20120716 1200 -9.99 0
 20120816 1200 -9.99 0
 20120916 1200 27.93 1
 20121016 1200 28.42 1
 20121116 1200 28.61 1
 20121216 1200 28.60 1
 20130116 1200 28.21 1
 20130215 1200 27.77 1
 20130316 1200 28.20 2
 20130416 1200 28.28 2
 20130516 1200 28.47 2
