 Location:  8N 165E  16 Aug 1989 to 16 Jan 2014 (  294 times,  3 blocks) Gen. Date Feb 16 2014
 Units: Air Temperature (C), -9.99 = missing
 Time: 1200 16 Aug 1989 to 1200 16 Apr 1995 (index     1 to    69,   69 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19890816 1200 27.80 1
 19890916 1200 28.02 1
 19891016 1200 28.14 1
 19891116 1200 28.01 1
 19891216 1200 28.25 1
 19900116 1200 27.88 1
 19900215 1200 27.69 1
 19900316 1200 27.81 1
 19900416 1200 28.28 1
 19900516 1200 27.84 1
 19900616 1200 28.04 1
 19900716 1200 28.11 1
 19900816 1200 28.27 1
 19900916 1200 28.20 2
 19901016 1200 28.69 2
 19901116 1200 28.78 2
 19901216 1200 28.26 2
 19910116 1200 28.01 2
 19910215 1200 27.95 2
 19910316 1200 27.73 2
 19910416 1200 27.54 4
 19910516 1200 28.15 4
 19910616 1200 28.11 4
 19910716 1200 28.10 4
 19910816 1200 28.18 4
 19910916 1200 28.20 4
 19911016 1200 28.31 4
 19911116 1200 27.82 4
 19911216 1200 27.50 4
 19920116 1200 27.05 4
 19920215 1200 26.89 1
 19920316 1200 27.03 1
 19920416 1200 27.20 1
 19920516 1200 27.50 1
 19920616 1200 27.84 1
 19920716 1200 27.73 1
 19920816 1200 28.06 1
 19920916 1200 28.38 1
 19921016 1200 28.26 1
 19921116 1200 27.97 1
 19921216 1200 27.50 1
 19930116 1200 27.02 1
 19930215 1200 27.08 1
 19930316 1200 27.17 1
 19930416 1200 27.45 2
 19930516 1200 27.56 2
 19930616 1200 27.78 2
 19930716 1200 27.77 2
 19930816 1200 27.80 2
 19930916 1200 28.13 2
 19931016 1200 28.15 2
 19931116 1200 27.84 2
 19931216 1200 27.95 2
 19940116 1200 27.68 2
 19940215 1200 27.58 2
 19940316 1200 27.56 2
 19940416 1200 27.56 1
 19940516 1200 27.87 1
 19940616 1200 27.87 1
 19940716 1200 27.90 1
 19940816 1200 28.34 1
 19940916 1200 28.48 1
 19941016 1200 28.11 1
 19941116 1200 28.38 1
 19941216 1200 28.15 1
 19950116 1200 27.66 1
 19950215 1200 27.42 1
 19950316 1200 27.74 1
 19950416 1200 27.99 1
 Time: 1200 15 Feb 1997 to 1200 16 May 2012 (index    91 to   274,  184 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19970215 1200 28.15 1
 19970316 1200 28.17 1
 19970416 1200 27.93 1
 19970516 1200 27.94 1
 19970616 1200 28.10 2
 19970716 1200 28.31 2
 19970816 1200 27.74 2
 19970916 1200 27.47 2
 19971016 1200 27.76 2
 19971116 1200 27.98 2
 19971216 1200 27.22 2
 19980116 1200 26.46 2
 19980215 1200 26.63 2
 19980316 1200 27.39 2
 19980416 1200 28.00 2
 19980516 1200 28.34 2
 19980616 1200 28.39 2
 19980716 1200 28.09 2
 19980816 1200 28.39 2
 19980916 1200 28.55 2
 19981016 1200 28.54 2
 19981116 1200 28.60 2
 19981216 1200 28.41 2
 19990116 1200 28.39 2
 19990215 1200 28.37 2
 19990316 1200 28.48 2
 19990416 1200 28.43 2
 19990516 1200 -9.99 0
 19990616 1200 -9.99 0
 19990716 1200 -9.99 0
 19990816 1200 27.91 1
 19990916 1200 27.73 1
 19991016 1200 28.05 1
 19991116 1200 28.00 1
 19991216 1200 28.09 1
 20000116 1200 27.79 1
 20000215 1200 27.95 1
 20000316 1200 28.07 1
 20000416 1200 28.23 1
 20000516 1200 28.14 1
 20000616 1200 28.19 1
 20000716 1200 27.93 1
 20000816 1200 27.93 1
 20000916 1200 28.01 1
 20001016 1200 28.22 1
 20001116 1200 28.51 1
 20001216 1200 28.42 1
 20010116 1200 27.89 1
 20010215 1200 27.86 1
 20010316 1200 28.16 1
 20010416 1200 -9.99 0
 20010516 1200 -9.99 0
 20010616 1200 -9.99 0
 20010716 1200 28.20 1
 20010816 1200 28.46 1
 20010916 1200 28.47 1
 20011016 1200 28.22 1
 20011116 1200 28.01 1
 20011216 1200 28.35 1
 20020116 1200 27.93 1
 20020215 1200 27.70 1
 20020316 1200 27.93 1
 20020416 1200 27.93 1
 20020516 1200 28.06 1
 20020616 1200 28.16 1
 20020716 1200 27.95 2
 20020816 1200 28.09 2
 20020916 1200 28.03 2
 20021016 1200 28.16 2
 20021116 1200 28.45 2
 20021216 1200 27.84 2
 20030116 1200 27.61 2
 20030215 1200 27.73 2
 20030316 1200 27.91 2
 20030416 1200 27.79 2
 20030516 1200 28.16 2
 20030616 1200 28.20 2
 20030716 1200 27.88 1
 20030816 1200 28.41 1
 20030916 1200 28.35 1
 20031016 1200 28.66 1
 20031116 1200 28.54 1
 20031216 1200 28.56 1
 20040116 1200 28.27 1
 20040215 1200 28.24 1
 20040316 1200 28.23 1
 20040416 1200 28.00 1
 20040516 1200 28.25 1
 20040616 1200 28.15 1
 20040716 1200 28.26 1
 20040816 1200 27.79 1
 20040916 1200 28.30 1
 20041016 1200 28.51 1
 20041116 1200 28.71 1
 20041216 1200 28.35 1
 20050116 1200 27.89 1
 20050215 1200 27.74 1
 20050316 1200 27.74 1
 20050416 1200 27.96 1
 20050516 1200 28.19 1
 20050616 1200 28.11 1
 20050716 1200 28.17 1
 20050816 1200 28.19 1
 20050916 1200 28.57 1
 20051016 1200 28.57 1
 20051116 1200 28.79 1
 20051216 1200 28.46 1
 20060116 1200 27.95 1
 20060215 1200 27.84 1
 20060316 1200 27.65 1
 20060416 1200 27.81 1
 20060516 1200 27.87 1
 20060616 1200 28.07 1
 20060716 1200 28.22 1
 20060816 1200 28.30 1
 20060916 1200 28.60 1
 20061016 1200 28.49 1
 20061116 1200 28.46 1
 20061216 1200 28.40 1
 20070116 1200 28.21 1
 20070215 1200 27.85 1
 20070316 1200 28.32 1
 20070416 1200 28.13 1
 20070516 1200 28.36 1
 20070616 1200 28.40 1
 20070716 1200 28.32 1
 20070816 1200 28.16 1
 20070916 1200 28.33 1
 20071016 1200 28.46 1
 20071116 1200 28.30 1
 20071216 1200 28.30 1
 20080116 1200 27.79 1
 20080215 1200 27.71 1
 20080316 1200 27.69 1
 20080416 1200 27.64 1
 20080516 1200 27.55 1
 20080616 1200 27.90 1
 20080716 1200 27.76 1
 20080816 1200 27.77 1
 20080916 1200 27.72 2
 20081016 1200 27.77 2
 20081116 1200 28.14 2
 20081216 1200 27.81 2
 20090116 1200 27.89 2
 20090215 1200 27.80 2
 20090316 1200 27.55 2
 20090416 1200 27.94 2
 20090516 1200 27.98 2
 20090616 1200 28.39 2
 20090716 1200 28.15 2
 20090816 1200 28.50 2
 20090916 1200 28.60 2
 20091016 1200 28.40 2
 20091116 1200 28.41 2
 20091216 1200 28.23 2
 20100116 1200 27.72 2
 20100215 1200 27.49 2
 20100316 1200 27.83 2
 20100416 1200 28.05 2
 20100516 1200 28.40 2
 20100616 1200 -9.99 0
 20100716 1200 -9.99 0
 20100816 1200 -9.99 0
 20100916 1200 -9.99 0
 20101016 1200 27.77 1
 20101116 1200 27.80 1
 20101216 1200 27.76 1
 20110116 1200 27.79 1
 20110215 1200 27.61 1
 20110316 1200 27.90 1
 20110416 1200 28.45 1
 20110516 1200 27.85 1
 20110616 1200 28.19 1
 20110716 1200 27.70 1
 20110816 1200 27.47 1
 20110916 1200 -9.99 0
 20111016 1200 -9.99 0
 20111116 1200 27.88 2
 20111216 1200 28.17 2
 20120116 1200 27.71 2
 20120215 1200 27.77 2
 20120316 1200 27.82 2
 20120416 1200 28.01 2
 20120516 1200 28.37 2
 Time: 1200 16 Aug 2013 to 1200 16 Jan 2014 (index   289 to   294,    6 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 20130816 1200 28.35 2
 20130916 1200 28.54 2
