 Location:  8N 180W  16 Dec 1993 to 16 Sep 2012 (  226 times,  5 blocks) Gen. Date Feb 16 2014
 Units: Air Temperature (C), -9.99 = missing
 Time: 1200 16 Dec 1993 to 1200 16 Nov 1994 (index     1 to    12,   12 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19931216 1200 27.81 1
 19940116 1200 -9.99 0
 19940215 1200 -9.99 0
 19940316 1200 -9.99 0
 19940416 1200 -9.99 0
 19940516 1200 -9.99 0
 19940616 1200 27.39 2
 19940716 1200 28.00 2
 19940816 1200 28.44 2
 19940916 1200 28.63 2
 19941016 1200 28.42 2
 19941116 1200 28.17 2
 Time: 1200 16 Jan 1996 to 1200 16 Dec 1999 (index    26 to    73,   48 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19960116 1200 26.66 3
 19960215 1200 26.07 3
 19960316 1200 27.33 3
 19960416 1200 27.69 3
 19960516 1200 27.70 2
 19960616 1200 27.48 2
 19960716 1200 27.59 2
 19960816 1200 27.57 2
 19960916 1200 27.65 2
 19961016 1200 28.06 2
 19961116 1200 27.92 4
 19961216 1200 27.92 4
 19970116 1200 27.77 4
 19970215 1200 28.20 4
 19970316 1200 27.73 4
 19970416 1200 27.65 4
 19970516 1200 27.85 4
 19970616 1200 28.19 4
 19970716 1200 28.53 2
 19970816 1200 28.06 2
 19970916 1200 28.25 2
 19971016 1200 28.21 2
 19971116 1200 27.96 2
 19971216 1200 27.20 2
 19980116 1200 26.51 2
 19980215 1200 26.46 2
 19980316 1200 26.84 2
 19980416 1200 27.10 2
 19980516 1200 27.70 2
 19980616 1200 27.70 2
 19980716 1200 27.63 1
 19980816 1200 27.57 1
 19980916 1200 27.72 1
 19981016 1200 27.62 1
 19981116 1200 27.51 1
 19981216 1200 27.45 2
 19990116 1200 27.20 2
 19990215 1200 27.09 2
 19990316 1200 27.05 2
 19990416 1200 27.14 2
 19990516 1200 27.37 2
 19990616 1200 27.28 2
 19990716 1200 27.12 2
 19990816 1200 27.06 2
 19990916 1200 27.22 2
 19991016 1200 27.14 2
 19991116 1200 27.28 2
 19991216 1200 27.03 2
 Time: 1200 16 Jul 2000 to 1200 16 Nov 2002 (index    80 to   108,   29 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 20000716 1200 27.02 2
 20000816 1200 27.75 2
 20000916 1200 27.81 2
 20001016 1200 27.94 2
 20001116 1200 27.36 2
 20001216 1200 27.51 2
 20010116 1200 27.46 2
 20010215 1200 27.11 2
 20010316 1200 27.13 2
 20010416 1200 27.45 2
 20010516 1200 27.67 2
 20010616 1200 27.52 2
 20010716 1200 27.67 1
 20010816 1200 27.73 1
 20010916 1200 27.90 1
 20011016 1200 28.11 1
 20011116 1200 27.98 1
 20011216 1200 27.88 1
 20020116 1200 27.42 1
 20020215 1200 27.25 1
 20020316 1200 27.24 1
 20020416 1200 27.57 1
 20020516 1200 27.93 1
 20020616 1200 28.08 1
 20020716 1200 27.94 1
 20020816 1200 28.14 1
 20020916 1200 -9.99 0
 20021016 1200 -9.99 0
 20021116 1200 28.44 1
 Time: 1200 16 Jun 2003 to 1200 16 Nov 2006 (index   115 to   156,   42 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 20030616 1200 27.79 1
 20030716 1200 28.02 1
 20030816 1200 27.89 1
 20030916 1200 28.29 1
 20031016 1200 28.23 1
 20031116 1200 28.56 1
 20031216 1200 28.13 1
 20040116 1200 27.66 1
 20040215 1200 27.65 1
 20040316 1200 27.84 1
 20040416 1200 27.87 1
 20040516 1200 27.86 1
 20040616 1200 27.85 1
 20040716 1200 28.18 1
 20040816 1200 27.87 1
 20040916 1200 28.25 1
 20041016 1200 28.11 1
 20041116 1200 28.17 1
 20041216 1200 28.19 1
 20050116 1200 27.96 1
 20050215 1200 27.52 1
 20050316 1200 27.55 1
 20050416 1200 27.72 1
 20050516 1200 28.11 1
 20050616 1200 27.74 1
 20050716 1200 27.95 1
 20050816 1200 27.65 1
 20050916 1200 28.25 1
 20051016 1200 28.20 1
 20051116 1200 27.91 1
 20051216 1200 28.00 1
 20060116 1200 27.59 1
 20060215 1200 27.47 1
 20060316 1200 27.13 1
 20060416 1200 27.82 1
 20060516 1200 27.60 1
 20060616 1200 28.01 1
 20060716 1200 27.84 1
 20060816 1200 28.13 1
 20060916 1200 28.57 1
 20061016 1200 28.52 1
 20061116 1200 28.61 2
 Time: 1200 16 Aug 2007 to 1200 16 Sep 2012 (index   165 to   226,   62 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 20070816 1200 27.42 1
 20070916 1200 27.62 1
 20071016 1200 27.57 1
 20071116 1200 27.43 1
 20071216 1200 27.55 1
 20080116 1200 27.20 1
 20080215 1200 27.35 1
 20080316 1200 27.35 1
 20080416 1200 27.53 1
 20080516 1200 27.23 1
 20080616 1200 27.35 1
 20080716 1200 27.35 1
 20080816 1200 27.26 1
 20080916 1200 27.88 1
 20081016 1200 27.62 1
 20081116 1200 27.91 1
 20081216 1200 27.50 1
 20090116 1200 27.57 1
 20090215 1200 27.42 1
 20090316 1200 27.19 1
 20090416 1200 27.73 1
 20090516 1200 27.99 1
 20090616 1200 27.99 1
 20090716 1200 27.91 1
 20090816 1200 28.27 1
 20090916 1200 28.32 1
 20091016 1200 28.47 1
 20091116 1200 28.55 1
 20091216 1200 28.08 1
 20100116 1200 27.86 1
 20100215 1200 27.40 1
 20100316 1200 27.68 1
 20100416 1200 27.51 1
 20100516 1200 27.73 1
 20100616 1200 27.83 1
 20100716 1200 27.41 1
 20100816 1200 27.60 1
 20100916 1200 27.36 1
 20101016 1200 27.11 1
 20101116 1200 27.18 1
 20101216 1200 27.23 1
 20110116 1200 27.23 1
 20110215 1200 27.13 1
 20110316 1200 27.24 1
 20110416 1200 27.91 1
 20110516 1200 27.71 1
 20110616 1200 27.88 1
 20110716 1200 27.59 1
 20110816 1200 27.31 1
 20110916 1200 27.70 1
 20111016 1200 27.54 1
 20111116 1200 27.66 1
 20111216 1200 27.55 2
 20120116 1200 27.22 2
 20120215 1200 27.18 2
 20120316 1200 27.25 2
 20120416 1200 27.23 2
 20120516 1200 27.67 2
 20120616 1200 27.56 2
 20120716 1200 27.67 2
 20120816 1200 27.63 2
 20120916 1200 27.82 2
