 Location:  8N 125W  16 Oct 1992 to 15 Feb 2014 (  257 times,  4 blocks) Gen. Date Feb 16 2014
 Units: Air Temperature (C), -9.99 = missing
 Time: 1200 16 Oct 1992 to 1200 16 Oct 1992 (index     1 to     1,    1 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19921016 1200 26.20 2
 Time: 1200 16 May 1993 to 1200 16 Nov 2003 (index     8 to   134,  127 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19930516 1200 27.40 4
 19930616 1200 26.95 4
 19930716 1200 27.24 4
 19930816 1200 26.68 4
 19930916 1200 26.77 4
 19931016 1200 26.89 4
 19931116 1200 26.62 4
 19931216 1200 26.37 4
 19940116 1200 26.59 4
 19940215 1200 26.90 4
 19940316 1200 27.19 4
 19940416 1200 27.62 4
 19940516 1200 27.36 4
 19940616 1200 27.02 4
 19940716 1200 26.98 4
 19940816 1200 26.59 4
 19940916 1200 26.87 4
 19941016 1200 27.00 4
 19941116 1200 26.91 4
 19941216 1200 26.92 4
 19950116 1200 27.02 4
 19950215 1200 27.14 4
 19950316 1200 27.18 1
 19950416 1200 27.33 1
 19950516 1200 27.10 1
 19950616 1200 26.61 1
 19950716 1200 27.17 1
 19950816 1200 26.92 1
 19950916 1200 26.65 1
 19951016 1200 26.02 1
 19951116 1200 26.19 1
 19951216 1200 26.12 1
 19960116 1200 25.93 1
 19960215 1200 26.56 1
 19960316 1200 26.85 1
 19960416 1200 27.18 1
 19960516 1200 26.90 1
 19960616 1200 27.14 1
 19960716 1200 27.06 4
 19960816 1200 27.06 4
 19960916 1200 26.64 4
 19961016 1200 26.57 1
 19961116 1200 25.77 1
 19961216 1200 25.59 1
 19970116 1200 25.60 1
 19970215 1200 25.63 1
 19970316 1200 26.41 1
 19970416 1200 26.48 1
 19970516 1200 27.47 1
 19970616 1200 26.90 1
 19970716 1200 27.73 1
 19970816 1200 27.38 1
 19970916 1200 27.20 1
 19971016 1200 27.86 1
 19971116 1200 27.60 1
 19971216 1200 27.06 1
 19980116 1200 26.98 1
 19980215 1200 26.51 1
 19980316 1200 26.40 1
 19980416 1200 26.52 1
 19980516 1200 27.79 2
 19980616 1200 -9.99 0
 19980716 1200 -9.99 0
 19980816 1200 -9.99 0
 19980916 1200 25.69 2
 19981016 1200 25.99 2
 19981116 1200 25.71 2
 19981216 1200 25.46 2
 19990116 1200 25.34 2
 19990215 1200 25.50 2
 19990316 1200 26.38 2
 19990416 1200 26.62 2
 19990516 1200 26.28 2
 19990616 1200 25.84 2
 19990716 1200 26.13 2
 19990816 1200 25.93 2
 19990916 1200 25.57 2
 19991016 1200 25.62 1
 19991116 1200 25.23 1
 19991216 1200 24.99 1
 20000116 1200 25.25 1
 20000215 1200 25.51 1
 20000316 1200 25.67 1
 20000416 1200 26.65 1
 20000516 1200 26.55 1
 20000616 1200 26.28 1
 20000716 1200 26.00 1
 20000816 1200 26.30 1
 20000916 1200 26.08 1
 20001016 1200 25.98 1
 20001116 1200 25.76 1
 20001216 1200 26.03 1
 20010116 1200 -9.99 0
 20010215 1200 26.51 2
 20010316 1200 26.27 2
 20010416 1200 26.62 2
 20010516 1200 26.82 2
 20010616 1200 26.90 2
 20010716 1200 26.27 2
 20010816 1200 26.41 2
 20010916 1200 26.57 1
 20011016 1200 26.34 1
 20011116 1200 26.18 1
 20011216 1200 26.18 1
 20020116 1200 26.03 1
 20020215 1200 26.28 1
 20020316 1200 27.10 1
 20020416 1200 27.54 1
 20020516 1200 27.17 1
 20020616 1200 26.99 1
 20020716 1200 27.33 1
 20020816 1200 27.06 1
 20020916 1200 26.93 1
 20021016 1200 27.02 1
 20021116 1200 26.99 1
 20021216 1200 26.84 1
 20030116 1200 27.10 1
 20030215 1200 27.23 2
