 Location:  8N 110W  16 Nov 1991 to 15 Feb 2014 (  268 times,  4 blocks) Gen. Date Feb 16 2014
 Units: Air Temperature (C), -9.99 = missing
 Time: 1200 16 Nov 1991 to 1200 16 Aug 1994 (index     1 to    34,   34 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19911116 1200 26.61 1
 19911216 1200 26.87 1
 19920116 1200 26.76 1
 19920215 1200 27.33 1
 19920316 1200 27.74 1
 19920416 1200 28.28 1
 19920516 1200 28.17 1
 19920616 1200 27.68 1
 19920716 1200 26.92 1
 19920816 1200 26.69 1
 19920916 1200 26.17 1
 19921016 1200 25.21 1
 19921116 1200 25.32 2
 19921216 1200 -9.99 0
 19930116 1200 -9.99 0
 19930215 1200 -9.99 0
 19930316 1200 27.75 1
 19930416 1200 28.03 1
 19930516 1200 28.17 1
 19930616 1200 27.92 1
 19930716 1200 26.90 1
 19930816 1200 26.44 1
 19930916 1200 26.30 1
 19931016 1200 26.34 1
 19931116 1200 26.58 1
 19931216 1200 26.89 1
 19940116 1200 26.97 1
 19940215 1200 27.25 1
 19940316 1200 27.69 1
 19940416 1200 28.34 1
 19940516 1200 27.72 1
 19940616 1200 26.98 1
 19940716 1200 26.66 1
 19940816 1200 26.54 1
 Time: 1200 16 Mar 1995 to 1200 16 Aug 1997 (index    41 to    70,   30 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19950316 1200 27.66 4
 19950416 1200 27.94 4
 19950516 1200 27.49 4
 19950616 1200 27.02 4
 19950716 1200 26.53 4
 19950816 1200 26.21 1
 19950916 1200 26.24 1
 19951016 1200 25.95 1
 19951116 1200 26.05 1
 19951216 1200 26.41 1
 19960116 1200 26.42 1
 19960215 1200 26.13 1
 19960316 1200 27.24 1
 19960416 1200 27.78 1
 19960516 1200 27.43 1
 19960616 1200 27.06 4
 19960716 1200 26.74 4
 19960816 1200 26.32 4
 19960916 1200 -9.99 0
 19961016 1200 25.45 4
 19961116 1200 25.28 4
 19961216 1200 24.91 4
 19970116 1200 25.66 4
 19970215 1200 26.04 4
 19970316 1200 27.36 4
 19970416 1200 28.00 4
 19970516 1200 28.24 4
 19970616 1200 27.48 4
 19970716 1200 27.58 4
 19970816 1200 27.48 4
