 Location:  8N  95W  16 Aug 1994 to 16 Oct 2013 (  231 times,  3 blocks) Gen. Date Feb 16 2014
 Units: Air Temperature (C), -9.99 = missing
 Time: 1200 16 Aug 1994 to 1200 16 Apr 2009 (index     1 to   177,  177 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19940816 1200 26.40 2
 19940916 1200 26.56 2
 19941016 1200 26.27 2
 19941116 1200 26.52 2
 19941216 1200 27.10 2
 19950116 1200 26.97 2
 19950215 1200 26.99 2
 19950316 1200 27.86 2
 19950416 1200 -9.99 0
 19950516 1200 -9.99 0
 19950616 1200 -9.99 0
 19950716 1200 -9.99 0
 19950816 1200 -9.99 0
 19950916 1200 26.36 1
 19951016 1200 26.30 1
 19951116 1200 26.63 1
 19951216 1200 26.69 1
 19960116 1200 26.33 1
 19960215 1200 26.35 1
 19960316 1200 27.21 1
 19960416 1200 27.70 1
 19960516 1200 27.39 1
 19960616 1200 26.87 1
 19960716 1200 26.54 1
 19960816 1200 26.06 1
 19960916 1200 26.13 1
 19961016 1200 25.85 1
 19961116 1200 26.27 1
 19961216 1200 26.18 1
 19970116 1200 25.94 1
 19970215 1200 26.32 1
 19970316 1200 26.54 1
 19970416 1200 27.94 1
 19970516 1200 28.64 1
 19970616 1200 27.36 1
 19970716 1200 27.96 1
 19970816 1200 28.17 2
 19970916 1200 27.32 2
 19971016 1200 27.55 2
 19971116 1200 27.90 2
 19971216 1200 28.57 2
 19980116 1200 28.32 2
 19980215 1200 28.07 1
 19980316 1200 28.68 1
 19980416 1200 29.03 1
 19980516 1200 29.31 1
 19980616 1200 27.82 1
 19980716 1200 27.19 1
 19980816 1200 -9.99 0
 19980916 1200 -9.99 0
 19981016 1200 -9.99 0
 19981116 1200 26.62 2
 19981216 1200 26.31 2
 19990116 1200 26.15 2
 19990215 1200 26.14 2
 19990316 1200 26.84 2
 19990416 1200 27.49 2
 19990516 1200 27.64 2
 19990616 1200 27.00 2
 19990716 1200 26.21 2
 19990816 1200 25.85 2
 19990916 1200 25.60 2
 19991016 1200 25.61 2
 19991116 1200 25.81 2
 19991216 1200 26.38 2
 20000116 1200 25.69 2
 20000215 1200 25.50 2
 20000316 1200 26.37 2
