 Location:  8S 170W  21 Aug 1992 to 29 Nov 2013 ( 7771 times,  6 blocks) Gen. Date Dec  1 2013
 Units: Heat Content (0/300m 10**10 J/m**2), -9.999 = missing
 Time: 1200 21 Aug 1992 to 1200 17 Jul 1993 (index     1 to   331,  331 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM   HEAT Q
 19920821 1200 35.828 2
 19920822 1200 35.836 2
 19920823 1200 35.841 2
 19920824 1200 35.853 2
 19920825 1200 35.840 2
 19920826 1200 35.839 2
 19920827 1200 35.862 2
 19920828 1200 35.851 2
 19920829 1200 35.830 2
 19920830 1200 35.866 2
 19920831 1200 35.859 2
 19920901 1200 35.830 2
 19920902 1200 35.831 2
 19920903 1200 35.851 2
 19920904 1200 35.844 2
 19920905 1200 35.835 2
 19920906 1200 35.842 2
 19920907 1200 35.844 2
 19920908 1200 35.841 2
 19920909 1200 35.845 2
 19920910 1200 35.838 2
 19920911 1200 35.850 2
 19920912 1200 35.857 2
 19920913 1200 35.854 2
 19920914 1200 35.864 2
 19920915 1200 35.885 2
 19920916 1200 35.870 2
 19920917 1200 35.876 2
 19920918 1200 35.884 2
 19920919 1200 35.895 2
 19920920 1200 35.902 2
 19920921 1200 35.892 2
 19920922 1200 35.925 2
 19920923 1200 35.916 2
 19920924 1200 35.911 2
 19920925 1200 35.901 2
 19920926 1200 35.918 2
 19920927 1200 35.899 2
 19920928 1200 35.908 2
 19920929 1200 35.887 2
 19920930 1200 35.871 2
 19921001 1200 35.856 2
 19921002 1200 35.854 2
 19921003 1200 35.857 2
 19921004 1200 35.839 2
 19921005 1200 35.844 2
 19921006 1200 35.830 2
 19921007 1200 35.838 2
 19921008 1200 35.814 2
 19921009 1200 35.826 2
 19921010 1200 35.820 2
 19921011 1200 35.801 2
 19921012 1200 35.834 2
 19921013 1200 35.862 2
 19921014 1200 35.828 2
 19921015 1200 35.823 2
 19921016 1200 35.849 2
 19921017 1200 35.855 2
 19921018 1200 35.843 2
 19921019 1200 35.843 2
 19921020 1200 35.808 2
 19921021 1200 35.846 2
 19921022 1200 35.828 2
 19921023 1200 35.812 2
 19921024 1200 35.833 2
 19921025 1200 35.804 2
 19921026 1200 35.803 2
 19921027 1200 35.794 2
 19921028 1200 35.783 2
 19921029 1200 35.773 2
 19921030 1200 35.732 2
 19921031 1200 35.764 2
 19921101 1200 35.784 2
 19921102 1200 35.766 2
 19921103 1200 35.742 2
 19921104 1200 35.777 2
 19921105 1200 35.804 2
 19921106 1200 35.781 2
 19921107 1200 35.797 2
 19921108 1200 35.795 2
 19921109 1200 35.815 2
 19921110 1200 35.798 2
 19921111 1200 35.802 2
 19921112 1200 35.819 2
 19921113 1200 35.816 2
 19921114 1200 35.793 2
 19921115 1200 35.813 2
 19921116 1200 35.830 2
 19921117 1200 35.826 2
 19921118 1200 35.838 2
 19921119 1200 35.855 2
 19921120 1200 35.894 2
 19921121 1200 35.855 2
 19921122 1200 35.883 2
 19921123 1200 35.870 2
 19921124 1200 35.879 2
 19921125 1200 35.859 2
 19921126 1200 35.852 2
 19921127 1200 35.903 2
 19921128 1200 35.873 2
 19921129 1200 35.842 2
 19921130 1200 35.889 2
 19921201 1200 35.869 2
 19921202 1200 35.859 2
 19921203 1200 35.845 2
 19921204 1200 35.870 2
 19921205 1200 35.865 2
 19921206 1200 35.836 2
