 Location:  0N 125W  30 Oct 1983 to 12 Apr 2012 (10393 times, 37 blocks) Gen. Date Dec  1 2013
 Units: Heat Content (0/300m 10**10 J/m**2), -9.999 = missing
 Time: 1200 30 Oct 1983 to 1200  4 Oct 1985 (index     1 to   706,  706 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM   HEAT Q
 19831030 1200 34.704 2
 19831031 1200 34.740 2
 19831101 1200 34.725 2
 19831102 1200 34.809 2
 19831103 1200 34.777 2
 19831104 1200 34.729 2
 19831105 1200 34.733 2
 19831106 1200 34.741 2
 19831107 1200 34.773 2
 19831108 1200 34.769 2
 19831109 1200 34.784 2
 19831110 1200 34.786 2
 19831111 1200 34.810 2
 19831112 1200 34.834 2
 19831113 1200 34.829 2
 19831114 1200 34.803 2
 19831115 1200 34.800 2
 19831116 1200 34.806 2
 19831117 1200 34.770 2
 19831118 1200 34.736 2
 19831119 1200 34.736 2
 19831120 1200 34.739 2
 19831121 1200 34.737 2
 19831122 1200 34.778 2
 19831123 1200 34.796 2
 19831124 1200 34.768 2
 19831125 1200 34.761 2
 19831126 1200 34.754 2
 19831127 1200 34.774 2
 19831128 1200 34.788 2
 19831129 1200 34.794 2
 19831130 1200 34.826 2
 19831201 1200 34.842 2
 19831202 1200 34.819 2
 19831203 1200 34.772 2
 19831204 1200 34.782 2
 19831205 1200 34.797 2
 19831206 1200 34.845 2
 19831207 1200 34.866 2
 19831208 1200 34.835 2
 19831209 1200 34.886 2
 19831210 1200 34.882 2
 19831211 1200 34.861 2
 19831212 1200 34.861 2
 19831213 1200 34.874 2
 19831214 1200 34.903 2
 19831215 1200 34.951 2
 19831216 1200 34.955 2
 19831217 1200 34.912 2
 19831218 1200 34.914 2
 19831219 1200 34.925 2
 19831220 1200 34.905 2
 19831221 1200 34.900 2
 19831222 1200 34.889 2
 19831223 1200 34.898 2
 19831224 1200 34.891 2
 19831225 1200 34.846 2
 19831226 1200 34.822 2
 19831227 1200 34.824 2
 19831228 1200 34.834 2
 19831229 1200 34.900 2
 19831230 1200 34.841 2
 19831231 1200 34.837 2
 19840101 1200 34.840 2
 19840102 1200 34.831 2
 19840103 1200 34.856 2
 19840104 1200 34.869 2
 19840105 1200 34.840 2
 19840106 1200 34.859 2
 19840107 1200 34.876 2
 19840108 1200 34.880 2
 19840109 1200 34.884 2
 19840110 1200 34.863 2
 19840111 1200 34.870 2
 19840112 1200 34.890 2
 19840113 1200 34.888 2
 19840114 1200 34.887 2
 19840115 1200 34.899 2
 19840116 1200 34.866 2
 19840117 1200 34.880 2
 19840118 1200 34.892 2
 19840119 1200 34.895 2
 19840120 1200 34.895 2
 19840121 1200 34.907 2
 19840122 1200 34.911 2
 19840123 1200 34.906 2
 19840124 1200 34.896 2
 19840125 1200 34.913 2
 19840126 1200 34.922 2
 19840127 1200 34.939 2
 19840128 1200 34.952 2
 19840129 1200 34.930 2
 19840130 1200 34.885 2
 19840131 1200 34.862 2
 19840201 1200 34.911 2
 19840202 1200 34.917 2
 19840203 1200 34.902 2
 19840204 1200 34.897 2
 19840205 1200 34.878 2
 19840206 1200 34.872 2
 19840207 1200 34.830 2
 19840208 1200 34.820 2
 19840209 1200 34.855 2
 19840210 1200 34.865 2
 19840211 1200 34.874 2
 19840212 1200 34.892 2
 19840213 1200 34.841 2
 19840214 1200 34.840 2
 19840215 1200 34.926 2
 19840216 1200 34.932 2
 19840217 1200 34.948 2
 19840218 1200 34.927 2
 19840219 1200 34.898 2
 19840220 1200 34.884 2
 19840221 1200 34.900 2
 19840222 1200 34.873 2
 19840223 1200 34.906 2
 19840224 1200 34.910 2
 19840225 1200 34.912 2
 19840226 1200 34.936 2
 19840227 1200 34.913 2
 19840228 1200 34.943 2
 19840229 1200 34.968 2
 19840301 1200 34.927 2
 19840302 1200 34.930 2
 19840303 1200 34.956 2
 19840304 1200 34.967 2
 19840305 1200 34.933 2
 19840306 1200 34.927 2
 19840307 1200 34.875 2
 19840308 1200 34.878 2
 19840309 1200 34.915 2
 19840310 1200 34.871 2
 19840311 1200 34.847 2
 19840312 1200 34.847 2
 19840313 1200 34.808 2
 19840314 1200 34.828 2
 19840315 1200 34.854 2
 19840316 1200 34.850 2
 19840317 1200 34.834 2
 19840318 1200 34.827 2
 19840319 1200 34.825 2
 19840320 1200 34.809 2
 19840321 1200 34.810 2
 19840322 1200 34.781 2
 19840323 1200 34.811 2
 19840324 1200 34.823 2
 19840325 1200 34.824 2
 19840326 1200 34.796 2
 19840327 1200 34.788 2
 19840328 1200 34.824 2
 19840329 1200 34.808 2
 19840330 1200 34.808 2
 19840331 1200 34.836 2
 19840401 1200 34.850 2
 19840402 1200 34.855 2
 19840403 1200 34.871 2
 19840404 1200 34.833 2
 19840405 1200 34.814 2
 19840406 1200 34.847 2
 19840407 1200 34.875 2
 19840408 1200 34.915 2
 19840409 1200 34.859 2
 19840410 1200 34.841 2
 19840411 1200 34.842 2
 19840412 1200 34.873 2
 19840413 1200 34.884 2
 19840414 1200 34.916 2
 19840415 1200 34.963 2
 19840416 1200 34.910 2
 19840417 1200 34.891 2
 19840418 1200 34.878 2
 19840419 1200 34.903 2
 19840420 1200 34.891 2
 19840421 1200 34.898 2
 19840422 1200 34.898 2
 19840423 1200 34.907 2
 19840424 1200 34.869 2
 19840425 1200 34.862 2
 19840426 1200 34.871 2
 19840427 1200 34.878 2
 19840428 1200 34.942 2
 19840429 1200 34.929 2
 19840430 1200 34.903 2
