 Location:  0.7N 110.0W  11 Aug 1980 29 Jan 1981(  172 times,  1 blocks) Gen. Date Dec  1 2013
 Units: Heat Content (0/300m 10**10 J/m**2), -9.999 = missing
 Time: 1200 11 Aug 1980 to 1200 29 Jan 1981 (index     1 to   172,  172 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM   HEAT Q
 19800811 1200 34.817 2
 19800812 1200 34.846 2
 19800813 1200 34.786 2
 19800814 1200 34.753 2
 19800815 1200 34.788 2
 19800816 1200 34.794 2
 19800817 1200 34.849 2
 19800818 1200 34.845 2
 19800819 1200 34.869 2
 19800820 1200 34.884 2
 19800821 1200 34.885 2
 19800822 1200 34.909 2
 19800823 1200 34.926 2
 19800824 1200 34.905 2
 19800825 1200 34.925 2
 19800826 1200 34.893 2
 19800827 1200 34.875 2
 19800828 1200 34.889 2
 19800829 1200 34.888 2
 19800830 1200 34.861 2
 19800831 1200 34.869 2
 19800901 1200 34.894 2
 19800902 1200 34.863 2
 19800903 1200 34.825 2
 19800904 1200 34.771 2
 19800905 1200 34.760 2
 19800906 1200 34.764 2
 19800907 1200 34.796 2
 19800908 1200 34.818 2
 19800909 1200 34.815 2
 19800910 1200 34.775 2
 19800911 1200 34.763 2
 19800912 1200 34.751 2
 19800913 1200 34.777 2
 19800914 1200 34.837 2
 19800915 1200 34.831 2
 19800916 1200 34.816 2
 19800917 1200 34.820 2
 19800918 1200 34.837 2
 19800919 1200 34.833 2
 19800920 1200 34.821 2
 19800921 1200 34.831 2
 19800922 1200 34.831 2
 19800923 1200 34.774 2
 19800924 1200 34.767 2
 19800925 1200 34.755 2
 19800926 1200 34.742 2
 19800927 1200 34.740 2
 19800928 1200 34.789 2
 19800929 1200 34.743 2
 19800930 1200 34.721 2
 19801001 1200 34.779 2
 19801002 1200 34.766 2
 19801003 1200 34.772 2
 19801004 1200 34.756 2
 19801005 1200 34.763 2
 19801006 1200 34.777 2
 19801007 1200 34.785 2
 19801008 1200 34.755 2
 19801009 1200 34.720 2
 19801010 1200 34.712 2
 19801011 1200 34.745 2
 19801012 1200 34.754 2
 19801013 1200 34.761 2
 19801014 1200 34.744 2
 19801015 1200 34.717 2
 19801016 1200 34.716 2
 19801017 1200 34.753 2
 19801018 1200 34.804 2
 19801019 1200 34.837 2
 19801020 1200 34.830 2
 19801021 1200 34.843 2
 19801022 1200 34.860 2
 19801023 1200 34.827 2
 19801024 1200 34.843 2
 19801025 1200 34.887 2
 19801026 1200 34.912 2
 19801027 1200 34.973 2
 19801028 1200 34.961 2
 19801029 1200 34.935 2
 19801030 1200 34.959 2
