 Location:  2N 170W   6 Mar 1992 to 28 Sep 2013 ( 7877 times, 16 blocks) Gen. Date Dec  1 2013
 Units: Heat Content (0/300m 10**10 J/m**2), -9.999 = missing
 Time: 1200  6 Mar 1992 to 1200 14 Apr 1992 (index     1 to    40,   40 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM   HEAT Q
 19920306 1200 35.332 2
 19920307 1200 35.326 2
 19920308 1200 35.302 2
 19920309 1200 35.351 2
 19920310 1200 35.367 2
 19920311 1200 35.353 2
 19920312 1200 35.403 2
 19920313 1200 35.373 2
 19920314 1200 35.428 2
 19920315 1200 35.387 2
 19920316 1200 35.371 2
 19920317 1200 35.414 2
 19920318 1200 35.440 2
 19920319 1200 35.361 2
 19920320 1200 35.329 2
 19920321 1200 35.352 2
 19920322 1200 35.411 2
 19920323 1200 35.449 2
 19920324 1200 35.408 2
 19920325 1200 35.348 2
 19920326 1200 35.425 2
 19920327 1200 35.417 2
 19920328 1200 35.321 2
 19920329 1200 35.323 2
 19920330 1200 35.287 2
 19920331 1200 35.322 2
 19920401 1200 35.337 2
 19920402 1200 35.304 2
 19920403 1200 35.293 2
 19920404 1200 35.276 2
 19920405 1200 35.245 2
 19920406 1200 35.302 2
 19920407 1200 35.297 2
 19920408 1200 35.259 2
 19920409 1200 35.294 2
 19920410 1200 35.258 2
 19920411 1200 35.291 2
 19920412 1200 35.296 2
 19920413 1200 35.248 2
 19920414 1200 35.241 2
 Time: 1200 24 Aug 1992 to 1200  2 Jan 1995 (index   172 to  1033,  862 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM   HEAT Q
 19920824 1200 35.347 2
 19920825 1200 35.350 2
 19920826 1200 35.336 2
 19920827 1200 35.340 2
 19920828 1200 35.328 2
 19920829 1200 35.307 2
 19920830 1200 35.316 2
 19920831 1200 35.290 2
 19920901 1200 35.269 2
 19920902 1200 35.376 2
 19920903 1200 35.428 2
 19920904 1200 35.423 2
 19920905 1200 35.352 2
 19920906 1200 35.342 2
 19920907 1200 35.389 2
 19920908 1200 35.398 2
 19920909 1200 35.362 2
 19920910 1200 35.339 2
 19920911 1200 35.326 2
 19920912 1200 35.347 2
