 Location:  2N 125W   6 Dec 1991 to 17 Jun 2013 ( 7865 times, 45 blocks) Gen. Date Dec  1 2013
 Units: Heat Content (0/300m 10**10 J/m**2), -9.999 = missing
 Time: 1200  6 Dec 1991 to 1200  5 Aug 1992 (index     1 to   244,  244 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM   HEAT Q
 19911206 1200 35.210 2
 19911207 1200 35.222 2
 19911208 1200 35.290 2
 19911209 1200 35.269 2
 19911210 1200 35.285 2
 19911211 1200 35.334 2
 19911212 1200 35.411 2
 19911213 1200 35.364 2
 19911214 1200 35.336 2
 19911215 1200 35.347 2
 19911216 1200 35.400 2
 19911217 1200 35.374 2
 19911218 1200 35.367 2
 19911219 1200 35.408 2
 19911220 1200 35.431 2
 19911221 1200 35.373 2
 19911222 1200 35.282 2
 19911223 1200 35.307 2
 19911224 1200 35.349 2
 19911225 1200 35.390 2
 19911226 1200 35.389 2
 19911227 1200 35.380 2
 19911228 1200 35.379 2
 19911229 1200 35.295 2
 19911230 1200 35.283 2
 19911231 1200 35.360 2
 19920101 1200 35.381 2
 19920102 1200 35.321 2
 19920103 1200 35.335 2
 19920104 1200 35.314 2
 19920105 1200 35.296 2
 19920106 1200 35.284 2
 19920107 1200 35.291 2
 19920108 1200 35.259 2
 19920109 1200 35.265 2
 19920110 1200 35.287 2
 19920111 1200 35.236 2
 19920112 1200 35.246 2
 19920113 1200 35.237 2
 19920114 1200 35.242 2
 19920115 1200 35.207 2
 19920116 1200 35.181 2
 19920117 1200 35.183 2
 19920118 1200 35.178 2
 19920119 1200 35.171 2
 19920120 1200 35.120 2
 19920121 1200 35.230 2
 19920122 1200 35.211 2
 19920123 1200 35.157 2
 19920124 1200 35.160 2
 19920125 1200 35.182 2
 19920126 1200 35.119 2
 19920127 1200 35.173 2
 19920128 1200 35.248 2
 19920129 1200 35.308 2
 19920130 1200 35.364 2
 19920131 1200 35.324 2
 19920201 1200 35.326 2
 19920202 1200 35.411 2
 19920203 1200 35.433 2
 19920204 1200 35.334 2
 19920205 1200 35.295 2
 19920206 1200 35.324 2
 19920207 1200 35.390 2
 19920208 1200 35.347 2
 19920209 1200 35.336 2
 19920210 1200 35.295 2
 19920211 1200 35.313 2
 19920212 1200 35.261 2
 19920213 1200 35.254 2
 19920214 1200 35.315 2
 19920215 1200 35.317 2
 19920216 1200 35.342 2
 19920217 1200 35.382 2
 19920218 1200 35.356 2
 19920219 1200 35.312 2
 19920220 1200 35.322 2
 19920221 1200 35.316 2
 19920222 1200 35.277 2
 19920223 1200 35.292 2
 19920224 1200 35.246 2
 19920225 1200 35.245 2
 19920226 1200 35.217 2
 19920227 1200 35.213 2
 19920228 1200 35.218 2
 19920229 1200 35.151 2
 19920301 1200 35.110 2
 19920302 1200 35.196 2
 19920303 1200 35.207 2
 19920304 1200 35.134 2
 19920305 1200 35.200 2
 19920306 1200 35.131 2
 19920307 1200 35.082 2
 19920308 1200 35.111 2
 19920309 1200 35.097 2
 19920310 1200 35.167 2
 19920311 1200 35.122 2
 19920312 1200 35.055 2
 19920313 1200 35.104 2
 19920314 1200 35.167 2
 19920315 1200 35.105 2
 19920316 1200 35.075 2
 19920317 1200 35.112 2
 19920318 1200 35.115 2
 19920319 1200 35.155 2
 19920320 1200 35.108 2
 19920321 1200 35.088 2
 19920322 1200 35.018 2
 19920323 1200 35.095 2
 19920324 1200 35.086 2
 19920325 1200 35.082 2
 19920326 1200 35.163 2
 19920327 1200 35.090 2
 19920328 1200 35.083 2
 19920329 1200 35.165 2
 19920330 1200 35.204 2
 19920331 1200 35.197 2
 19920401 1200 35.139 2
 19920402 1200 35.135 2
 19920403 1200 35.099 2
 19920404 1200 35.147 2
 19920405 1200 35.117 2
 19920406 1200 35.114 2
 19920407 1200 35.147 2
 19920408 1200 35.105 2
 19920409 1200 35.110 2
 19920410 1200 35.186 2
 19920411 1200 35.207 2
 19920412 1200 35.185 2
 19920413 1200 35.194 2
 19920414 1200 35.198 2
 19920415 1200 35.206 2
 19920416 1200 35.178 2
 19920417 1200 35.091 2
 19920418 1200 35.100 2
 19920419 1200 35.118 2
 19920420 1200 35.130 2
 19920421 1200 35.129 2
 19920422 1200 35.162 2
 19920423 1200 35.115 2
 19920424 1200 35.076 2
 19920425 1200 35.095 2
 19920426 1200 35.151 2
 19920427 1200 35.123 2
 19920428 1200 35.081 2
 19920429 1200 35.052 2
 19920430 1200 35.025 2
 19920501 1200 35.062 2
 19920502 1200 35.094 2
 19920503 1200 35.068 2
 19920504 1200 35.034 2
 19920505 1200 35.041 2
 19920506 1200 35.064 2
 19920507 1200 35.103 2
 19920508 1200 35.050 2
 19920509 1200 35.063 2
 19920510 1200 35.029 2
 19920511 1200 35.012 2
 19920512 1200 35.073 2
 19920513 1200 35.109 2
 19920514 1200 35.054 2
 19920515 1200 35.009 2
 19920516 1200 35.060 2
 19920517 1200 35.077 2
 19920518 1200 35.031 2
 19920519 1200 34.998 2
 19920520 1200 35.039 2
 19920521 1200 35.019 2
 19920522 1200 34.998 2
 19920523 1200 35.018 2
 19920524 1200 35.040 2
 19920525 1200 35.031 2
 19920526 1200 35.012 2
 19920527 1200 35.045 2
 19920528 1200 35.048 2
 19920529 1200 35.026 2
 19920530 1200 35.036 2
 19920531 1200 35.014 2
 19920601 1200 34.990 2
 19920602 1200 35.021 2
 19920603 1200 35.055 2
 19920604 1200 35.076 2
 19920605 1200 35.040 2
