 Location:  2N  95W  16 Nov 1992 to 10 Jul 2013 ( 7542 times, 31 blocks) Gen. Date Dec  1 2013
 Units: Heat Content (0/300m 10**10 J/m**2), -9.999 = missing
 Time: 1200 16 Nov 1992 to 1200 21 Aug 1993 (index     1 to   279,  279 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM   HEAT Q
 19921116 1200 34.890 2
 19921117 1200 34.853 2
 19921118 1200 34.831 2
 19921119 1200 34.849 2
 19921120 1200 34.878 2
 19921121 1200 34.892 2
 19921122 1200 34.856 2
 19921123 1200 34.793 2
 19921124 1200 34.838 2
 19921125 1200 34.915 2
 19921126 1200 34.908 2
 19921127 1200 34.843 2
 19921128 1200 34.793 2
 19921129 1200 34.819 2
 19921130 1200 34.844 2
 19921201 1200 34.875 2
 19921202 1200 34.879 2
 19921203 1200 34.843 2
 19921204 1200 34.854 2
 19921205 1200 34.861 2
 19921206 1200 34.864 2
 19921207 1200 34.865 2
 19921208 1200 34.896 2
 19921209 1200 34.875 2
 19921210 1200 34.845 2
 19921211 1200 34.867 2
 19921212 1200 34.858 2
 19921213 1200 34.831 2
 19921214 1200 34.831 2
 19921215 1200 34.839 2
 19921216 1200 34.870 2
 19921217 1200 34.878 2
 19921218 1200 34.875 2
 19921219 1200 34.931 2
 19921220 1200 34.968 2
 19921221 1200 34.922 2
 19921222 1200 34.910 2
 19921223 1200 34.943 2
 19921224 1200 34.925 2
 19921225 1200 34.909 2
 19921226 1200 34.901 2
 19921227 1200 34.893 2
 19921228 1200 34.886 2
 19921229 1200 34.899 2
 19921230 1200 34.919 2
 19921231 1200 34.902 2
 19930101 1200 34.902 2
 19930102 1200 34.921 2
 19930103 1200 34.874 2
 19930104 1200 34.873 2
 19930105 1200 34.886 2
 19930106 1200 34.873 2
 19930107 1200 34.899 2
 19930108 1200 34.904 2
 19930109 1200 34.851 2
 19930110 1200 34.874 2
 19930111 1200 34.916 2
 19930112 1200 34.936 2
 19930113 1200 34.908 2
 19930114 1200 34.923 2
 19930115 1200 34.962 2
 19930116 1200 34.942 2
 19930117 1200 34.931 2
 19930118 1200 34.930 2
 19930119 1200 34.955 2
 19930120 1200 34.943 2
 19930121 1200 34.968 2
 19930122 1200 34.937 2
 19930123 1200 34.927 2
 19930124 1200 34.936 2
 19930125 1200 34.931 2
 19930126 1200 34.934 2
 19930127 1200 34.948 2
 19930128 1200 34.949 2
 19930129 1200 34.927 2
 19930130 1200 34.929 2
 19930131 1200 34.946 2
 19930201 1200 34.923 2
 19930202 1200 34.950 2
 19930203 1200 34.933 2
 19930204 1200 34.898 2
 19930205 1200 34.927 2
 19930206 1200 34.942 2
 19930207 1200 34.965 2
 19930208 1200 34.936 2
 19930209 1200 34.912 2
 19930210 1200 34.924 2
 19930211 1200 34.939 2
 19930212 1200 34.942 2
 19930213 1200 34.974 2
 19930214 1200 34.964 2
 19930215 1200 34.902 2
 19930216 1200 34.873 2
 19930217 1200 34.883 2
 19930218 1200 34.892 2
 19930219 1200 34.889 2
 19930220 1200 34.881 2
 19930221 1200 34.864 2
 19930222 1200 34.821 2
 19930223 1200 34.846 2
 19930224 1200 34.849 2
 19930225 1200 34.868 2
 19930226 1200 34.880 2
 19930227 1200 34.897 2
 19930228 1200 34.928 2
 19930301 1200 -9.999 0
 19930302 1200 -9.999 0
 19930303 1200 34.904 2
 19930304 1200 34.898 2
 19930305 1200 34.951 2
 19930306 1200 34.901 2
 19930307 1200 34.902 2
 19930308 1200 34.942 2
 19930309 1200 34.929 2
 19930310 1200 34.891 2
 19930311 1200 34.858 2
 19930312 1200 34.900 2
 19930313 1200 34.873 2
 19930314 1200 34.839 2
 19930315 1200 34.909 2
 19930316 1200 34.943 2
 19930317 1200 34.937 2
 19930318 1200 34.924 2
 19930319 1200 34.912 2
 19930320 1200 34.931 2
 19930321 1200 34.954 2
 19930322 1200 34.990 2
 19930323 1200 34.927 2
 19930324 1200 34.935 2
 19930325 1200 34.995 2
 19930326 1200 34.950 2
 19930327 1200 35.017 2
 19930328 1200 35.022 2
 19930329 1200 34.975 2
 19930330 1200 34.920 2
 19930331 1200 34.973 2
 19930401 1200 34.954 2
 19930402 1200 34.919 2
 19930403 1200 34.917 2
 19930404 1200 34.894 2
 19930405 1200 34.906 2
 19930406 1200 34.971 2
 19930407 1200 34.979 2
 19930408 1200 34.961 2
 19930409 1200 34.928 2
 19930410 1200 34.908 2
 19930411 1200 34.910 2
 19930412 1200 34.931 2
 19930413 1200 34.959 2
 19930414 1200 34.911 2
 19930415 1200 34.863 2
 19930416 1200 34.909 2
 19930417 1200 34.947 2
 19930418 1200 34.981 2
 19930419 1200 34.978 2
 19930420 1200 34.958 2
 19930421 1200 34.933 2
 19930422 1200 34.976 2
 19930423 1200 35.006 2
 19930424 1200 34.997 2
 19930425 1200 34.977 2
 19930426 1200 34.975 2
 19930427 1200 34.992 2
 19930428 1200 35.024 2
 19930429 1200 35.016 2
 19930430 1200 35.015 2
 19930501 1200 35.007 2
 19930502 1200 34.998 2
 19930503 1200 34.976 2
 19930504 1200 34.993 2
 19930505 1200 35.009 2
 19930506 1200 35.033 2
 19930507 1200 34.999 2
 19930508 1200 34.995 2
 19930509 1200 35.006 2
 19930510 1200 35.032 2
 19930511 1200 35.041 2
 19930512 1200 35.031 2
 19930513 1200 35.028 2
 19930514 1200 35.041 2
