 Location:  9N 140W  31 May 1988 to 14 Oct 2013 ( 9268 times, 13 blocks) Gen. Date Dec  1 2013
 Units: Heat Content (0/300m 10**10 J/m**2), -9.999 = missing
 Time: 1200 31 May 1988 to 1200 20 May 1989 (index     1 to   355,  355 times)
 Depth (M):         0 QUALITY
 YYYYMMDD HHMM   HEAT Q
 19880531 1200 34.801 2
 19880601 1200 34.816 2
 19880602 1200 34.832 2
 19880603 1200 34.818 2
 19880604 1200 34.814 2
 19880605 1200 34.795 2
 19880606 1200 34.798 2
 19880607 1200 34.773 2
 19880608 1200 34.771 2
 19880609 1200 34.775 2
 19880610 1200 34.757 2
 19880611 1200 34.750 2
 19880612 1200 34.770 2
 19880613 1200 34.729 2
 19880614 1200 34.748 2
 19880615 1200 34.754 2
 19880616 1200 34.780 2
 19880617 1200 34.763 2
 19880618 1200 34.739 2
 19880619 1200 34.749 2
 19880620 1200 34.729 2
 19880621 1200 34.733 2
 19880622 1200 34.748 2
 19880623 1200 34.722 2
 19880624 1200 34.743 2
 19880625 1200 34.776 2
 19880626 1200 34.753 2
 19880627 1200 34.800 2
 19880628 1200 34.798 2
 19880629 1200 34.818 2
 19880630 1200 34.808 2
 19880701 1200 34.813 2
 19880702 1200 -9.999 0
 19880703 1200 -9.999 0
 19880704 1200 34.823 2
 19880705 1200 34.833 2
 19880706 1200 34.824 2
 19880707 1200 34.856 2
 19880708 1200 34.849 2
 19880709 1200 34.849 2
 19880710 1200 34.848 2
 19880711 1200 34.852 2
 19880712 1200 34.856 2
 19880713 1200 34.870 2
 19880714 1200 34.852 2
 19880715 1200 34.868 2
 19880716 1200 34.884 2
 19880717 1200 34.871 2
 19880718 1200 34.881 2
 19880719 1200 34.893 2
 19880720 1200 34.891 2
 19880721 1200 34.909 2
 19880722 1200 34.916 2
 19880723 1200 34.933 2
 19880724 1200 34.924 2
 19880725 1200 34.930 2
 19880726 1200 34.936 2
 19880727 1200 34.952 2
 19880728 1200 34.948 2
 19880729 1200 34.991 2
 19880730 1200 34.986 2
 19880731 1200 34.987 2
 19880801 1200 35.012 2
 19880802 1200 35.003 2
 19880803 1200 35.008 2
 19880804 1200 34.998 2
 19880805 1200 35.005 2
 19880806 1200 35.025 2
 19880807 1200 34.991 2
 19880808 1200 35.009 2
 19880809 1200 35.017 2
 19880810 1200 35.007 2
 19880811 1200 35.000 2
 19880812 1200 35.006 2
 19880813 1200 34.976 2
 19880814 1200 35.005 2
 19880815 1200 35.001 2
 19880816 1200 34.989 2
 19880817 1200 35.009 2
 19880818 1200 34.996 2
 19880819 1200 35.020 2
 19880820 1200 35.008 2
 19880821 1200 35.036 2
 19880822 1200 35.049 2
 19880823 1200 35.069 2
 19880824 1200 35.064 2
 19880825 1200 35.110 2
 19880826 1200 35.099 2
 19880827 1200 35.119 2
 19880828 1200 35.135 2
 19880829 1200 35.153 2
 19880830 1200 35.144 2
 19880831 1200 35.163 2
 19880901 1200 35.151 2
 19880902 1200 35.151 2
 19880903 1200 35.138 2
 19880904 1200 35.132 2
 19880905 1200 35.116 2
 19880906 1200 35.105 2
 19880907 1200 35.093 2
 19880908 1200 35.102 2
 19880909 1200 35.090 2
 19880910 1200 35.103 2
 19880911 1200 35.096 2
 19880912 1200 35.112 2
 19880913 1200 35.134 2
 19880914 1200 35.138 2
 19880915 1200 35.131 2
 19880916 1200 35.139 2
 19880917 1200 35.139 2
 19880918 1200 35.133 2
 19880919 1200 35.133 2
 19880920 1200 35.147 2
 19880921 1200 35.165 2
 19880922 1200 35.179 2
 19880923 1200 35.190 2
 19880924 1200 35.178 2
 19880925 1200 35.177 2
 19880926 1200 35.185 2
 19880927 1200 35.207 2
 19880928 1200 35.199 2
 19880929 1200 35.168 2
 19880930 1200 35.143 2
 19881001 1200 35.129 2
 19881002 1200 35.095 2
 19881003 1200 35.062 2
 19881004 1200 35.043 2
 19881005 1200 35.019 2
 19881006 1200 35.002 2
 19881007 1200 34.971 2
 19881008 1200 34.968 2
 19881009 1200 34.977 2
 19881010 1200 34.947 2
 19881011 1200 34.946 2
 19881012 1200 34.925 2
 19881013 1200 34.917 2
 19881014 1200 34.924 2
 19881015 1200 34.904 2
 19881016 1200 34.895 2
 19881017 1200 34.917 2
 19881018 1200 34.886 2
 19881019 1200 34.891 2
 19881020 1200 34.898 2
