 Location:  0N 156E  17 Mar 1998 to  1 Mar 2014 ( 5829 times, 10 blocks) Gen. Date Mar  3 2014
 Units: Sea Level Pressure (hPa),  -9.90 = missing
 Time: 1200 17 Mar 1998 to 1200 18 Jun 1998 (index     1 to    94,   94 times)
 Depth (M):        -2 QUALITY and SOURCE
 YYYYMMDD HHMM    SLP Q S
 19980317 1200 1010.4 1 1
 19980318 1200 1009.3 1 1
 19980319 1200 1009.3 1 1
 19980320 1200 1009.8 1 1
 19980321 1200 1010.6 1 1
 19980322 1200 1011.3 1 1
 19980323 1200 1011.3 1 1
 19980324 1200 1011.4 1 1
 19980325 1200 1011.1 1 1
 19980326 1200 1011.8 1 1
 19980327 1200 1011.9 1 1
 19980328 1200 1012.3 1 1
 19980329 1200 1012.0 1 1
 19980330 1200 1011.2 1 1
 19980331 1200 1011.3 1 1
 19980401 1200 1011.0 1 1
 19980402 1200 1011.0 1 1
 19980403 1200 1011.7 1 1
 19980404 1200 1012.6 1 1
 19980405 1200 1012.9 1 1
 19980406 1200 1011.7 1 1
 19980407 1200 1010.4 1 1
 19980408 1200 1010.2 1 1
 19980409 1200 1010.6 1 1
 19980410 1200 1010.1 1 1
 19980411 1200 1009.4 1 1
 19980412 1200 1009.2 1 1
 19980413 1200 1010.1 1 1
 19980414 1200 1010.9 1 1
 19980415 1200 1011.1 1 1
 19980416 1200 1010.3 1 1
 19980417 1200 1010.3 1 1
 19980418 1200 1010.5 1 1
 19980419 1200 1011.5 1 1
 19980420 1200 1011.2 1 1
 19980421 1200 1010.1 1 1
 19980422 1200 1010.2 1 1
 19980423 1200 1011.0 1 1
 19980424 1200 1011.5 1 1
 19980425 1200 1011.5 1 1
 19980426 1200 1012.4 1 1
 19980427 1200 1012.2 1 1
 19980428 1200 1011.9 1 1
 19980429 1200 1010.4 1 1
 19980430 1200 1009.7 1 1
 19980501 1200 1010.5 1 1
 19980502 1200 1011.2 1 1
 19980503 1200 1010.0 1 1
 19980504 1200 1009.2 1 1
 19980505 1200 1009.0 1 1
 19980506 1200 1009.8 1 1
 19980507 1200 1009.8 1 1
 19980508 1200 1009.0 1 1
 19980509 1200 1009.2 1 1
 19980510 1200 1009.4 1 1
 19980511 1200 1009.5 1 1
 19980512 1200 1008.7 1 1
 19980513 1200 1007.5 1 1
 19980514 1200 1006.7 1 1
 19980515 1200 1007.2 1 1
 19980516 1200 1007.5 1 1
 19980517 1200 1008.3 1 1
 19980518 1200 1009.0 1 1
 19980519 1200 1010.3 1 1
 19980520 1200 1010.3 1 1
 19980521 1200 1010.4 1 1
 19980522 1200 1010.9 1 1
 19980523 1200 1011.0 1 1
 19980524 1200 1011.0 1 1
 19980525 1200 1010.3 1 1
 19980526 1200 1011.1 1 1
 19980527 1200 1012.0 1 1
 19980528 1200 1011.1 1 1
 19980529 1200 1011.3 1 1
 19980530 1200 1012.4 1 1
 19980531 1200 1011.4 1 1
 19980601 1200 1009.6 1 1
 19980602 1200 1008.3 1 1
 19980603 1200 1009.3 1 1
 19980604 1200 1008.7 1 1
 19980605 1200 1009.3 1 1
 19980606 1200 1008.7 1 1
 19980607 1200 1009.1 1 1
 19980608 1200 1010.4 1 1
 19980609 1200 1009.8 1 1
 19980610 1200 1009.4 1 1
 19980611 1200 1009.6 1 1
 19980612 1200 1009.9 1 1
 19980613 1200 1010.6 1 1
 19980614 1200 1010.8 1 1
 19980615 1200 1011.2 1 1
 19980616 1200 1010.4 1 1
 19980617 1200 1010.3 1 1
 19980618 1200 1009.2 1 1
 Time: 1200  3 Mar 1999 to 1200 11 Mar 1999 (index   352 to   360,    9 times)
 Depth (M):        -2 QUALITY and SOURCE
 YYYYMMDD HHMM    SLP Q S
 19990303 1200 1005.1 1 1
 19990304 1200 1005.9 1 1
 19990305 1200 1006.2 1 1
 19990306 1200 1006.0 1 1
 19990307 1200 1006.5 1 1
 19990308 1200 1006.9 1 1
 19990309 1200 1007.3 1 1
 19990310 1200 1006.9 1 1
 19990311 1200 1007.3 1 1
 Time: 1200  9 Nov 1999 to 1200  4 Jul 2000 (index   603 to   841,  239 times)
 Depth (M):        -2 QUALITY and SOURCE
 YYYYMMDD HHMM    SLP Q S
 19991109 1200 1009.3 1 1
 19991110 1200 1009.3 1 1
 19991111 1200 1009.9 1 1
 19991112 1200 1010.0 1 1
 19991113 1200 1009.6 1 1
 19991114 1200 1010.0 1 1
 19991115 1200 1009.7 1 1
 19991116 1200 1009.2 1 1
 19991117 1200 1008.4 1 1
 19991118 1200 1008.0 1 1
 19991119 1200 1008.3 1 1
 19991120 1200 1008.6 1 1
 19991121 1200 1008.9 1 1
 19991122 1200 1008.8 1 1
 19991123 1200 1007.6 1 1
 19991124 1200 1006.6 1 1
 19991125 1200 1006.7 1 1
 19991126 1200 1006.8 1 1
 19991127 1200 1005.7 1 1
 19991128 1200 1005.4 1 1
 19991129 1200 1006.7 1 1
 19991130 1200 1008.3 1 1
 19991201 1200 1008.4 1 1
 19991202 1200 1008.0 1 1
 19991203 1200 1008.0 1 1
 19991204 1200 1008.1 1 1
 19991205 1200 1007.5 1 1
 19991206 1200 1007.0 1 1
 19991207 1200 1007.1 1 1
 19991208 1200 1006.8 1 1
 19991209 1200 1006.7 1 1
 19991210 1200 1007.0 1 1
 19991211 1200 1007.2 1 1
 19991212 1200 1006.7 1 1
