 Location:  0N 140W  15 Sep 2006 to 24 Jun 2013 ( 2475 times,  7 blocks) Gen. Date Mar  3 2014
 Units: Sea Level Pressure (hPa),  -9.90 = missing
 Time: 1200 15 Sep 2006 to 1200 17 Nov 2006 (index     1 to    64,   64 times)
 Depth (M):        -3 QUALITY and SOURCE
 YYYYMMDD HHMM    SLP Q S
 20060915 1200 1011.7 2 5
 20060916 1200 1011.4 2 5
 20060917 1200 1011.9 2 5
 20060918 1200 1011.1 2 5
 20060919 1200 1010.9 2 5
 20060920 1200 1010.6 2 5
 20060921 1200 1010.2 2 5
 20060922 1200 1010.9 2 5
 20060923 1200 1010.0 2 5
 20060924 1200 1010.2 2 5
 20060925 1200 1009.1 2 5
 20060926 1200 1009.4 2 5
 20060927 1200 1010.2 2 5
 20060928 1200 1010.5 2 5
 20060929 1200 1009.4 2 5
 20060930 1200 1008.5 2 5
 20061001 1200 1008.5 2 5
 20061002 1200 1009.0 2 5
 20061003 1200 1008.7 2 5
 20061004 1200 1008.4 2 5
 20061005 1200 1008.2 2 5
 20061006 1200 1009.6 2 5
 20061007 1200 1009.7 2 5
 20061008 1200 1010.4 2 5
 20061009 1200 1009.5 2 5
 20061010 1200 1012.2 2 5
 20061011 1200 1012.9 2 5
 20061012 1200 1011.5 2 5
 20061013 1200 1012.9 2 5
 20061014 1200 1013.2 2 5
 20061015 1200 1011.6 2 5
 20061016 1200 1012.0 2 5
 20061017 1200 1012.1 2 5
 20061018 1200 1012.2 2 5
 20061019 1200 1010.6 2 5
 20061020 1200 1009.9 2 5
 20061021 1200 1008.9 2 5
 20061022 1200 1009.8 2 5
 20061023 1200 1011.0 2 5
 20061024 1200 1010.6 2 5
 20061025 1200 1010.2 2 5
 20061026 1200 1009.3 2 5
 20061027 1200 1010.6 2 5
 20061028 1200 1011.6 2 5
 20061029 1200 1011.6 2 5
 20061030 1200 1011.1 2 5
 20061031 1200 1009.9 2 5
 20061101 1200 1008.7 2 5
 20061102 1200 1007.7 2 5
 20061103 1200 1008.2 2 5
 20061104 1200 1009.5 2 5
 20061105 1200 1010.1 2 5
 20061106 1200 1010.5 2 5
 20061107 1200 1011.2 2 5
 20061108 1200 1010.0 2 5
 20061109 1200 1009.3 2 5
 20061110 1200 1009.7 2 5
 20061111 1200 1010.9 2 5
 20061112 1200 1011.4 2 5
 20061113 1200 1011.1 2 5
 20061114 1200 1010.6 2 5
 20061115 1200 1011.1 2 5
 20061116 1200 1010.8 2 5
 20061117 1200 1009.8 2 1
 Time: 1200 27 Nov 2006 to 1200 29 Nov 2006 (index    74 to    76,    3 times)
 Depth (M):        -3 QUALITY and SOURCE
 YYYYMMDD HHMM    SLP Q S
 20061127 1200 1010.4 2 1
 20061128 1200 1009.2 2 5
 20061129 1200 1006.6 2 1
 Time: 1200 15 Dec 2006 to 1200 20 Dec 2006 (index    92 to    97,    6 times)
 Depth (M):        -3 QUALITY and SOURCE
 YYYYMMDD HHMM    SLP Q S
 20061215 1200 1008.5 2 5
 20061216 1200 1008.8 2 5
 20061217 1200 1009.6 2 5
 20061218 1200 1010.9 2 5
 20061219 1200 1010.3 2 1
 20061220 1200 1008.0 2 1
 Time: 1200  9 Jan 2007 to 1200 30 Jan 2007 (index   117 to   138,   22 times)
 Depth (M):        -3 QUALITY and SOURCE
 YYYYMMDD HHMM    SLP Q S
 20070109 1200 1007.2 2 5
 20070110 1200 1006.6 2 5
 20070111 1200 1006.7 2 5
 20070112 1200 1005.8 2 5
 20070113 1200 1005.4 2 5
 20070114 1200 1005.7 2 5
 20070115 1200 1006.6 2 5
 20070116 1200 1007.7 2 1
 20070117 1200 1006.8 2 1
 20070118 1200 1006.7 2 1
 20070119 1200 1008.6 2 1
 20070120 1200   -9.9 5 5
 20070121 1200 1010.4 2 5
 20070122 1200 1009.6 2 5
 20070123 1200 1009.7 2 5
 20070124 1200 1009.6 2 5
 20070125 1200 1010.0 2 5
 20070126 1200 1008.7 2 5
 20070127 1200 1009.1 2 5
 20070128 1200 1009.8 2 5
 20070129 1200 1008.7 2 1
 20070130 1200 1008.4 2 1
 Time: 1200  6 Apr 2007 to 1200  8 Apr 2007 (index   204 to   206,    3 times)
 Depth (M):        -3 QUALITY and SOURCE
 YYYYMMDD HHMM    SLP Q S
 20070406 1200 1010.6 2 1
