 Location:  2N  95W  26 Apr 2000 to 27 Jul 2003 ( 1188 times,  4 blocks) Gen. Date Mar  3 2014
 Units: Sea Level Pressure (hPa),  -9.90 = missing
 Time: 1200 26 Apr 2000 to 1200 20 Dec 2000 (index     1 to   239,  239 times)
 Depth (M):        -3 QUALITY and SOURCE
 YYYYMMDD HHMM    SLP Q S
 20000426 1200 1009.3 2 5
 20000427 1200 1009.5 2 5
 20000428 1200 1009.6 2 5
 20000429 1200 1010.3 2 5
 20000430 1200 1010.5 2 5
 20000501 1200 1010.1 2 5
 20000502 1200 1008.7 2 5
 20000503 1200 1008.9 2 5
 20000504 1200 1009.3 2 5
 20000505 1200 1010.6 2 5
 20000506 1200 1010.3 2 5
 20000507 1200 1010.6 2 5
 20000508 1200 1010.7 2 5
 20000509 1200 1010.6 2 5
 20000510 1200 1010.9 2 5
 20000511 1200 1011.0 2 5
 20000512 1200 1011.2 2 5
 20000513 1200 1011.1 2 5
 20000514 1200 1010.3 2 5
 20000515 1200 1010.3 2 5
 20000516 1200 1010.1 2 5
 20000517 1200 1011.5 2 5
 20000518 1200 1013.1 2 5
 20000519 1200 1014.0 2 5
 20000520 1200 1012.3 2 5
 20000521 1200 1011.9 2 5
 20000522 1200 1011.9 2 5
 20000523 1200 1012.6 2 5
 20000524 1200 1012.8 2 5
 20000525 1200 1012.1 2 5
 20000526 1200 1010.9 2 5
 20000527 1200 1010.8 2 5
 20000528 1200 1010.7 2 5
 20000529 1200 1010.9 2 5
 20000530 1200 1010.8 2 5
 20000531 1200 1011.6 2 5
 20000601 1200 1011.8 2 5
 20000602 1200 1011.8 2 5
 20000603 1200 1011.6 2 5
 20000604 1200 1011.3 2 5
 20000605 1200 1011.8 2 5
 20000606 1200 1012.6 2 5
 20000607 1200 1012.9 2 5
 20000608 1200 1012.3 2 5
 20000609 1200 1011.8 2 5
 20000610 1200 1011.3 2 5
 20000611 1200 1011.5 2 5
 20000612 1200 1011.8 2 5
 20000613 1200 1011.9 2 5
 20000614 1200 1012.3 2 5
 20000615 1200 1012.1 2 5
 20000616 1200 1011.6 2 5
 20000617 1200 1012.1 2 5
 20000618 1200 1013.2 2 5
 20000619 1200 1013.9 2 5
 20000620 1200 1013.4 2 5
 20000621 1200 1012.8 2 5
 20000622 1200 1012.6 2 5
 20000623 1200 1012.2 2 5
 20000624 1200 1012.0 2 5
 20000625 1200 1010.5 2 5
 20000626 1200 1009.2 2 5
 20000627 1200 1009.7 2 5
 20000628 1200 1010.4 2 5
 20000629 1200 1010.7 2 5
 20000630 1200 1011.0 2 5
 20000701 1200 1011.6 2 5
 20000702 1200 1011.5 2 5
 20000703 1200 1011.2 2 5
 20000704 1200 1010.8 2 5
 20000705 1200 1010.5 2 5
