 Location:  5N 137E  30 Sep 2001 to  1 Mar 2014 ( 4536 times,  4 blocks) Gen. Date Mar  3 2014
 Units: Sea Level Pressure (hPa),  -9.90 = missing
 Time: 1200 30 Sep 2001 to 1200 13 May 2004 (index     1 to   957,  957 times)
 Depth (M):        -2 QUALITY and SOURCE
 YYYYMMDD HHMM    SLP Q S
 20010930 1200 1008.7 1 1
 20011001 1200 1009.1 1 1
 20011002 1200 1008.7 1 1
 20011003 1200 1007.9 1 1
 20011004 1200 1007.9 1 1
 20011005 1200 1007.9 1 1
 20011006 1200 1008.3 1 1
 20011007 1200 1008.9 1 1
 20011008 1200 1008.6 1 1
 20011009 1200 1009.3 1 1
 20011010 1200 1010.3 1 1
 20011011 1200 1010.1 1 1
 20011012 1200 1009.5 1 1
 20011013 1200 1008.2 1 1
 20011014 1200 1008.9 1 1
 20011015 1200 1009.4 1 1
 20011016 1200 1007.9 1 1
 20011017 1200 1007.1 1 1
 20011018 1200 1008.6 1 1
 20011019 1200 1009.2 1 1
 20011020 1200 1008.0 1 1
 20011021 1200 1006.5 1 1
 20011022 1200 1007.0 1 1
 20011023 1200 1007.5 1 1
 20011024 1200 1006.9 1 1
 20011025 1200 1006.5 1 1
 20011026 1200 1007.6 1 1
 20011027 1200 1008.6 1 1
 20011028 1200 1009.8 1 1
 20011029 1200 1010.2 1 1
 20011030 1200 1010.1 1 1
 20011031 1200 1010.1 1 1
 20011101 1200 1009.7 1 1
 20011102 1200 1008.4 1 1
 20011103 1200 1007.4 1 1
 20011104 1200 1006.9 1 1
 20011105 1200 1008.2 1 1
 20011106 1200 1007.3 1 1
 20011107 1200 1006.5 1 1
 20011108 1200 1006.9 1 1
 20011109 1200 1007.4 1 1
 20011110 1200 1007.8 1 1
 20011111 1200 1008.1 1 1
 20011112 1200 1008.5 1 1
 20011113 1200 1008.9 1 1
 20011114 1200 1009.1 1 1
 20011115 1200 1008.6 1 1
 20011116 1200 1007.0 1 1
 20011117 1200 1006.0 1 1
 20011118 1200 1005.1 1 1
 20011119 1200 1005.3 1 1
 20011120 1200 1006.5 1 1
 20011121 1200 1006.0 1 1
 20011122 1200 1007.2 1 1
 20011123 1200 1007.2 1 1
 20011124 1200 1007.5 1 1
 20011125 1200 1008.8 1 1
 20011126 1200 1009.9 1 1
 20011127 1200 1009.0 1 1
 20011128 1200 1007.4 1 1
 20011129 1200 1007.2 1 1
 20011130 1200 1006.7 1 1
 20011201 1200 1006.2 1 1
 20011202 1200 1006.2 1 1
 20011203 1200 1005.7 1 1
 20011204 1200 1006.1 1 1
 20011205 1200 1007.5 1 1
 20011206 1200 1007.7 1 1
 20011207 1200 1007.6 1 1
 20011208 1200 1007.2 1 1
 20011209 1200 1007.1 1 1
 20011210 1200 1007.2 1 1
 20011211 1200 1008.8 1 1
 20011212 1200 1010.3 1 1
 20011213 1200 1011.4 1 1
 20011214 1200 1011.2 1 1
 20011215 1200 1009.4 1 1
 20011216 1200 1009.4 1 1
 20011217 1200 1009.2 1 1
 20011218 1200 1010.0 1 1
 20011219 1200 1009.9 1 1
 20011220 1200 1009.1 1 1
 20011221 1200 1008.3 1 1
 20011222 1200 1008.5 1 1
 20011223 1200 1008.7 1 1
 20011224 1200 1009.1 1 1
 20011225 1200 1010.2 1 1
 20011226 1200 1011.1 1 1
 20011227 1200 1010.9 1 1
 20011228 1200 1009.8 1 1
 20011229 1200 1009.3 1 1
 20011230 1200 1009.0 1 1
 20011231 1200 1009.3 1 1
 20020101 1200 1009.8 1 1
 20020102 1200 1010.4 1 1
 20020103 1200 1010.4 1 1
 20020104 1200 1010.4 1 1
 20020105 1200 1010.0 1 1
 20020106 1200 1010.1 1 1
 20020107 1200 1009.9 1 1
 20020108 1200 1008.4 1 1
 20020109 1200 1008.0 1 1
 20020110 1200 1008.9 1 1
 20020111 1200 1009.5 1 1
 20020112 1200 1009.3 1 1
 20020113 1200 1009.0 1 1
 20020114 1200 1008.6 1 1
 20020115 1200 1008.4 1 1
 20020116 1200 1008.3 1 1
 20020117 1200 1008.7 1 1
 20020118 1200 1008.9 1 1
 20020119 1200 1008.8 1 1
 20020120 1200 1008.6 1 1
 20020121 1200 1007.8 1 1
 20020122 1200 1008.6 1 1
 20020123 1200 1008.8 1 1
 20020124 1200 1009.1 1 1
 20020125 1200 1008.5 1 1
 20020126 1200 1008.3 1 1
 20020127 1200 1008.7 1 1
 20020128 1200 1009.4 1 1
 20020129 1200 1009.8 1 1
 20020130 1200 1009.8 1 1
 20020131 1200 1010.1 1 1
 20020201 1200 1009.9 1 1
 20020202 1200 1009.8 1 1
 20020203 1200 1009.2 1 1
 20020204 1200 1008.7 1 1
 20020205 1200 1008.8 1 1
 20020206 1200 1009.5 1 1
 20020207 1200 1009.0 1 1
 20020208 1200 1008.7 1 1
 20020209 1200 1008.3 1 1
 20020210 1200 1009.0 1 1
 20020211 1200 1010.1 1 1
 20020212 1200 1010.3 1 1
 20020213 1200 1009.3 1 1
 20020214 1200 1008.9 1 1
 20020215 1200 1008.7 1 1
 20020216 1200 1008.9 1 1
 20020217 1200 1010.2 1 1
 20020218 1200 1011.5 1 1
 20020219 1200 1011.2 1 1
 20020220 1200 1011.1 1 1
 20020221 1200 1011.3 1 1
 20020222 1200 1011.7 1 1
 20020223 1200 1011.0 1 1
 20020224 1200 1010.7 1 1
 20020225 1200 1009.9 1 1
 20020226 1200 1009.4 1 1
 20020227 1200 1008.4 1 1
 20020228 1200 1007.9 1 1
 20020301 1200 1006.6 1 1
 20020302 1200 1004.4 1 1
 20020303 1200 1004.9 1 1
 20020304 1200 1007.7 1 1
 20020305 1200 1009.0 1 1
 20020306 1200 1008.4 1 1
 20020307 1200 1009.5 1 1
 20020308 1200 1010.3 1 1
 20020309 1200 1010.2 1 1
 20020310 1200 1009.9 1 1
 20020311 1200 1010.4 1 1
 20020312 1200 1010.6 1 1
 20020313 1200 1010.2 1 1
 20020314 1200 1009.9 1 1
 20020315 1200 1009.4 1 1
 20020316 1200 1009.3 1 1
 20020317 1200 1009.5 1 1
 20020318 1200 1008.5 1 1
 20020319 1200 1008.6 1 1
 20020320 1200 1008.8 1 1
 20020321 1200 1008.0 1 1
 20020322 1200 1007.5 1 1
 20020323 1200 1007.7 1 1
 20020324 1200 1008.5 1 1
 20020325 1200 1009.3 1 1
 20020326 1200 1008.1 1 1
 20020327 1200 1007.9 1 1
 20020328 1200 1008.5 1 1
 20020329 1200 1008.3 1 1
 20020330 1200 1008.5 1 1
 20020331 1200 1009.4 1 1
 20020401 1200 1010.1 1 1
 20020402 1200 1008.7 1 1
 20020403 1200 1007.3 1 1
 20020404 1200 1008.3 1 1
 20020405 1200 1010.0 1 1
 20020406 1200 1011.1 1 1
 20020407 1200 1010.0 1 1
 20020408 1200 1009.6 1 1
 20020409 1200 1009.3 1 1
 20020410 1200 1009.0 1 1
 20020411 1200 1010.1 1 1
 20020412 1200 1010.3 1 1
 20020413 1200 1009.7 1 1
 20020414 1200 1009.0 1 1
 20020415 1200 1008.5 1 1
 20020416 1200 1008.5 1 1
 20020417 1200 1007.6 1 1
 20020418 1200 1008.3 1 1
 20020419 1200 1009.3 1 1
 20020420 1200 1007.9 1 1
 20020421 1200 1007.6 1 1
 20020422 1200 1007.5 1 1
 20020423 1200 1008.0 1 1
 20020424 1200 1007.6 1 1
 20020425 1200 1007.0 1 1
 20020426 1200 1007.0 1 1
 20020427 1200 1007.1 1 1
 20020428 1200 1007.2 1 1
 20020429 1200 1006.7 1 1
 20020430 1200 1005.7 1 1
 20020501 1200 1005.7 1 1
 20020502 1200 1006.4 1 1
 20020503 1200 1006.1 1 1
 20020504 1200 1005.7 1 1
 20020505 1200 1005.1 1 1
 20020506 1200 1005.4 1 1
 20020507 1200 1006.4 1 1
 20020508 1200 1007.2 1 1
 20020509 1200 1006.7 1 1
 20020510 1200 1006.6 1 1
 20020511 1200 1007.5 1 1
