 Location:  5S 156E  26 Aug 1991 to 21 Nov 2013 ( 8124 times,  4 blocks) Gen. Date Nov 23 2013
 Units: Sea Surface Temperature (C), -9.99 = missing
 Time: 1200 26 Aug 1991 to 1200 10 Apr 1993 (index     1 to   594,  594 times)
 Depth (M):        1 QUALITY SOURCE
 YYYYMMDD HHMM   SST Q S
 19910826 1200 29.75 4 1
 19910827 1200 30.01 4 1
 19910828 1200 29.72 4 1
 19910829 1200 29.53 4 1
 19910830 1200 29.54 4 1
 19910831 1200 29.52 4 1
 19910901 1200 29.48 4 1
 19910902 1200 29.51 4 1
 19910903 1200 29.41 4 1
 19910904 1200 29.29 4 1
 19910905 1200 29.34 4 1
 19910906 1200 29.26 4 1
 19910907 1200 29.31 4 1
 19910908 1200 29.27 4 1
 19910909 1200 29.08 4 1
 19910910 1200 29.18 4 1
 19910911 1200 29.31 4 1
 19910912 1200 29.36 4 1
 19910913 1200 29.17 4 1
 19910914 1200 29.10 4 1
 19910915 1200 29.12 4 1
 19910916 1200 29.12 4 1
 19910917 1200 29.31 4 1
 19910918 1200 29.32 4 1
 19910919 1200 29.32 4 1
 19910920 1200 29.22 4 1
 19910921 1200 29.24 4 1
 19910922 1200 29.27 4 1
 19910923 1200 29.30 4 1
 19910924 1200 29.25 4 1
 19910925 1200 29.22 4 1
 19910926 1200 29.16 4 1
 19910927 1200 29.15 4 1
 19910928 1200 29.24 4 1
 19910929 1200 29.18 4 1
 19910930 1200 29.35 4 1
 19911001 1200 29.36 4 1
 19911002 1200 29.43 4 1
 19911003 1200 29.62 4 1
 19911004 1200 29.57 4 1
 19911005 1200 29.45 4 1
 19911006 1200 29.53 4 1
 19911007 1200 29.60 4 1
 19911008 1200 29.93 4 1
 19911009 1200 29.78 4 1
 19911010 1200 29.70 4 1
 19911011 1200 29.51 4 1
 19911012 1200 29.51 4 1
 19911013 1200 29.44 4 1
 19911014 1200 29.39 4 1
 19911015 1200 29.29 4 1
 19911016 1200 29.57 4 1
 19911017 1200 29.46 4 1
 19911018 1200 29.43 4 1
 19911019 1200 29.28 4 1
 19911020 1200 29.13 4 1
 19911021 1200 29.59 4 1
 19911022 1200 29.79 4 1
 19911023 1200 29.84 4 1
 19911024 1200 29.55 4 1
 19911025 1200 29.70 4 1
 19911026 1200 29.99 4 1
 19911027 1200 29.91 4 1
 19911028 1200 29.67 4 1
 19911029 1200 29.60 4 1
 19911030 1200 29.56 4 1
 19911031 1200 29.61 4 1
 19911101 1200 29.48 4 1
 19911102 1200 29.44 4 1
 19911103 1200 29.81 4 1
 19911104 1200 29.85 4 1
 19911105 1200 29.84 4 1
 19911106 1200 29.79 4 1
 19911107 1200 29.59 4 1
 19911108 1200 29.62 4 1
 19911109 1200 29.57 4 1
 19911110 1200 29.73 4 1
 19911111 1200 29.67 4 1
 19911112 1200 29.53 4 1
 19911113 1200 29.56 4 1
 19911114 1200 29.57 4 1
 19911115 1200 29.88 4 1
 19911116 1200 29.68 4 1
 19911117 1200 29.65 4 1
 19911118 1200 29.50 4 1
 19911119 1200 29.45 4 1
 19911120 1200 29.46 4 1
 19911121 1200 29.40 4 1
 19911122 1200 29.35 4 1
 19911123 1200 29.37 4 1
 19911124 1200 29.40 4 1
 19911125 1200 29.19 4 1
 19911126 1200 29.15 4 1
 19911127 1200 29.20 4 1
 19911128 1200 29.85 4 1
 19911129 1200 29.88 4 1
 19911130 1200 30.08 4 1
 19911201 1200 30.10 4 1
 19911202 1200 30.04 4 1
 19911203 1200 29.90 4 1
 19911204 1200 29.72 4 1
 19911205 1200 29.69 4 1
 19911206 1200 29.80 4 1
 19911207 1200 29.75 4 1
 19911208 1200 29.72 4 1
 19911209 1200 29.76 4 1
 19911210 1200 30.00 4 1
 19911211 1200 30.02 4 1
 19911212 1200 29.90 4 1
 19911213 1200 29.71 4 1
 19911214 1200 29.89 4 1
 19911215 1200 29.86 4 1
 19911216 1200 29.97 4 1
 19911217 1200 30.26 4 1
 19911218 1200 30.33 4 1
 19911219 1200 30.22 4 1
 19911220 1200 30.63 4 1
 19911221 1200 30.45 4 1
 19911222 1200 30.68 4 1
 19911223 1200 30.61 4 1
 19911224 1200 30.45 4 1
 19911225 1200 30.51 4 1
 19911226 1200 30.42 4 1
 19911227 1200 30.72 4 1
