 Location:  2S 156E  28 Aug 1991 to 22 Nov 2013 ( 8123 times, 16 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200 28 Aug 1991 to 1200 13 Jun 1992 (index     1 to   291,  291 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19910828 1200   0.8   2.8   2.9  16.8 22 11
 19910829 1200   0.1   2.7   2.7   3.2 22 11
 19910830 1200  -2.3   1.4   2.7 302.4 22 11
 19910831 1200  -3.0   1.9   3.6 303.0 22 11
 19910901 1200  -3.7   5.9   7.0 327.8 22 11
 19910902 1200   4.8   4.7   6.7  45.6 22 11
 19910903 1200  -0.1  11.0  11.0 359.6 22 11
 19910904 1200  -2.5   8.5   8.9 343.8 22 11
 19910905 1200   1.4   2.3   2.7  32.4 22 11
 19910906 1200   6.1   1.6   6.3  74.8 22 11
 19910907 1200   4.3   6.0   7.4  36.0 22 11
 19910908 1200   3.5   6.1   7.1  30.1 22 11
 19910909 1200  -0.8   6.2   6.2 352.6 22 11
 19910910 1200  -0.5   5.7   5.7 355.5 22 11
 19910911 1200   0.6   6.0   6.0   6.0 22 11
 19910912 1200   0.3   4.8   4.8   3.0 22 11
 19910913 1200  -1.8   4.1   4.5 336.6 22 11
 19910914 1200  -2.6   4.0   4.8 326.6 22 11
 19910915 1200  -0.9   4.4   4.5 348.7 22 11
 19910916 1200   0.5   0.4   0.6  53.0 22 11
 19910917 1200   2.9   1.6   3.3  61.1 22 11
 19910918 1200  -2.4   4.2   4.8 330.1 22 11
 19910919 1200  -2.5   2.7   3.7 318.2 22 11
 19910920 1200   1.2   1.7   2.1  34.6 22 11
 19910921 1200  -1.0   3.8   3.9 345.6 22 11
 19910922 1200  -1.3   3.2   3.5 338.3 22 11
 19910923 1200   1.0   5.3   5.4  10.2 22 11
 19910924 1200  -0.5   5.5   5.5 355.0 22 11
 19910925 1200   1.4   3.7   4.0  20.5 22 11
 19910926 1200   4.7   3.3   5.7  54.5 22 11
 19910927 1200   7.1   0.7   7.2  84.8 22 11
 19910928 1200   5.5   5.0   7.4  47.4 22 11
 19910929 1200   2.0   1.5   2.6  53.0 22 11
 19910930 1200   0.3   2.5   2.5   8.0 22 11
 19911001 1200   0.9   1.2   1.5  39.0 22 11
 19911002 1200  -1.0   1.6   1.9 328.2 22 11
 19911003 1200   0.7  -0.1   0.8  98.0 22 11
 19911004 1200   2.7   0.1   2.7  88.5 22 11
 19911005 1200   4.0   2.4   4.6  58.5 22 11
 19911006 1200   0.2   3.3   3.3   4.2 22 11
 19911007 1200  -2.4   1.0   2.6 293.3 22 11
 19911008 1200  -0.9  -1.2   1.5 219.0 22 11
 19911009 1200   1.4   0.1   1.4  86.7 22 11
 19911010 1200   2.2   0.6   2.3  74.0 22 11
 19911011 1200  -0.9   3.0   3.1 343.2 22 11
 19911012 1200  -0.9   3.0   3.1 343.2 22 11
 19911013 1200  -3.4   2.0   3.9 300.4 22 11
 19911014 1200  -1.4  -1.0   1.7 233.0 22 11
 19911015 1200   1.5  -2.0   2.6 143.0 22 11
 19911016 1200   3.6   1.0   3.8  74.4 22 11
 19911017 1200   2.4   2.9   3.8  39.0 22 11
 19911018 1200   3.4   0.6   3.4  79.6 22 11
 19911019 1200   1.0   2.6   2.8  22.0 22 11
 19911020 1200  -1.2  -0.9   1.5 233.0 22 11
 19911021 1200   1.3  -0.5   1.4 109.3 22 11
 19911022 1200   1.4  -3.7   3.9 158.6 22 11
 19911023 1200   1.7  -2.5   3.0 146.0 22 11
 19911024 1200   2.9  -2.4   3.8 129.0 22 11
 19911025 1200   2.0  -3.7   4.2 151.1 22 11
 19911026 1200   0.8   2.2   2.3  19.3 22 11
 19911027 1200  -1.8   2.7   3.2 325.7 22 11
 19911028 1200  -1.3   2.2   2.6 330.1 22 11
 19911029 1200   0.5   0.7   0.8  34.6 22 11
 19911030 1200   0.2  -0.8   0.8 161.4 22 11
 19911031 1200  -1.4   0.9   1.7 304.6 22 11
 19911101 1200   0.2  -1.0   1.0 169.6 22 11
 19911102 1200   0.4   1.1   1.2  22.0 22 11
 19911103 1200   1.2   0.6   1.3  61.1 22 11
 19911104 1200   3.0  -0.7   3.1 102.1 22 11
 19911105 1200   5.1  -0.1   5.1  90.9 22 11
 19911106 1200   6.3   2.4   6.8  69.1 22 11
 19911107 1200   2.7   4.1   4.9  33.5 22 11
 19911108 1200   1.2   1.9   2.3  32.0 22 11
 19911109 1200   3.3   0.2   3.3  86.7 22 11
 19911110 1200   2.7   0.1   2.7  88.5 22 11
 19911111 1200   5.7   0.2   5.7  87.5 22 11
 19911112 1200   6.4  -0.5   6.4  94.3 22 11
 19911113 1200   6.4  -0.1   6.4  90.7 22 11
 19911114 1200   6.8   2.8   7.3  67.9 22 11
 19911115 1200   5.7   3.8   6.8  56.6 22 11
 19911116 1200   2.6   5.1   5.7  27.1 22 11
 19911117 1200   3.9   3.7   5.3  46.7 22 11
 19911118 1200   4.7   3.9   6.1  50.3 22 11
 19911119 1200   3.8   5.1   6.4  37.0 22 11
 19911120 1200   3.8   4.5   5.9  40.0 22 11
 19911121 1200   3.5   4.3   5.6  39.3 22 11
 19911122 1200   4.5   4.2   6.2  47.6 22 11
 19911123 1200   4.8   6.1   7.8  37.9 22 11
 19911124 1200   4.1   7.0   8.1  30.1 22 11
 19911125 1200   2.5   8.8   9.2  15.6 22 11
 19911126 1200  -1.3   5.4   5.6 346.2 22 11
 19911127 1200  -1.8   0.7   2.0 292.0 22 11
 19911128 1200   0.4  -2.4   2.4 171.3 22 11
 19911129 1200   0.7  -0.5   0.8 124.6 22 11
 19911130 1200   0.7  -0.5   0.8 124.6 22 11
 19911201 1200   2.3  -0.1   2.3  92.3 22 11
 19911202 1200   1.7  -2.3   2.8 143.0 22 11
 19911203 1200   2.1  -3.5   4.1 149.3 22 11
 19911204 1200   2.2  -3.1   3.8 145.3 22 11
 19911205 1200   3.8  -1.0   3.9 104.3 22 11
 19911206 1200   5.1  -1.1   5.2 102.6 22 11
 19911207 1200   4.2   0.9   4.3  77.8 22 11
 19911208 1200   2.2   0.4   2.2  79.6 22 11
 19911209 1200   0.6  -2.6   2.6 168.0 22 11
 19911210 1200   2.6  -3.2   4.1 140.9 22 11
 19911211 1200   3.0  -0.7   3.1 102.1 22 11
 19911212 1200   2.5  -2.3   3.4 132.7 22 11
 19911213 1200   3.5   1.9   4.0  61.8 22 11
