 Location:  2S 165E   6 Jul 1986 to  4 Nov 2013 ( 9984 times, 23 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200  6 Jul 1986 to 1200 24 May 1987 (index     1 to   323,  323 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19860706 1200   0.6   1.9   2.0  18.4 22 11
 19860707 1200  -0.8  -1.9   2.0 203.0 22 11
 19860708 1200  -1.1  -5.0   5.1 191.9 22 11
 19860709 1200  -1.9  -0.6   2.0 252.9 22 11
 19860710 1200  -3.5  -0.2   3.5 267.1 22 11
 19860711 1200  -1.7   0.1   1.7 274.1 22 11
 19860712 1200  -0.1   1.1   1.1 356.4 22 11
 19860713 1200  -3.1  -1.3   3.3 247.4 22 11
 19860714 1200  -5.2  -1.5   5.4 253.5 22 11
 19860715 1200  -4.6   1.4   4.8 287.2 22 11
 19860716 1200  -2.4   0.1   2.4 272.6 22 11
 19860717 1200  -1.1   0.4   1.1 288.6 22 11
 19860718 1200  -1.5  -2.5   2.9 211.5 22 11
 19860719 1200   0.0  -2.9   2.9 180.9 22 11
 19860720 1200   3.8  -0.9   3.9 103.3 22 11
 19860721 1200   1.9   3.2   3.8  31.0 22 11
 19860722 1200  -1.3   3.6   3.8 340.2 22 11
 19860723 1200  -1.5   2.2   2.7 326.0 22 11
 19860724 1200  -2.4  -0.4   2.4 259.7 22 11
 19860725 1200  -1.0  -1.2   1.5 220.1 22 11
 19860726 1200  -2.5  -2.5   3.6 224.3 22 11
 19860727 1200  -0.1  -2.4   2.4 182.0 22 11
 19860728 1200   1.8   0.9   2.0  63.5 22 11
 19860729 1200   4.4   2.0   4.8  65.0 22 11
 19860730 1200   1.9   0.1   1.9  88.5 22 11
 19860731 1200   4.0   0.8   4.1  78.5 22 11
 19860801 1200   2.4   2.1   3.2  48.7 22 11
 19860802 1200   0.9  -1.4   1.7 148.4 22 11
 19860803 1200   0.3  -2.8   2.8 174.0 22 11
 19860804 1200   3.5  -3.6   5.0 135.5 22 11
 19860805 1200   3.1  -1.2   3.3 110.9 22 11
 19860806 1200   2.2  -0.6   2.3 106.1 22 11
 19860807 1200   1.4  -1.8   2.3 142.8 22 11
 19860808 1200   1.3  -2.6   2.9 153.7 22 11
 19860809 1200  -1.6  -0.8   1.8 244.2 22 11
 19860810 1200  -3.0   0.4   3.0 276.9 22 11
 19860811 1200  -3.0   0.9   3.1 286.0 22 11
 19860812 1200   0.2   0.1   0.3  58.2 22 11
 19860813 1200   1.5  -1.5   2.1 135.2 22 11
 19860814 1200   1.4  -3.7   4.0 159.9 22 11
 19860815 1200  -1.3  -0.7   1.5 241.7 22 11
 19860816 1200  -4.0   1.1   4.2 285.6 22 11
 19860817 1200  -3.8   4.5   5.9 319.4 22 11
 19860818 1200  -1.5   4.6   4.9 342.4 22 11
 19860819 1200  -1.0   4.6   4.7 347.2 22 11
 19860820 1200  -0.1   0.5   0.5 348.7 22 11
 19860821 1200   2.1   0.5   2.1  77.6 22 11
 19860822 1200   4.6   2.8   5.4  58.7 22 11
 19860823 1200   5.9   1.6   6.1  75.0 22 11
 19860824 1200  -2.1   1.2   2.4 299.6 22 11
 19860825 1200  -3.6  -3.6   5.2 225.2 22 11
 19860826 1200  -3.5  -1.9   4.0 240.9 22 11
 19860827 1200  -2.9   2.9   4.1 315.2 22 11
 19860828 1200  -2.0   3.6   4.1 331.4 22 11
 19860829 1200  -3.9   1.6   4.2 291.7 22 11
 19860830 1200  -4.2  -1.8   4.6 246.7 22 11
 19860831 1200  -3.2  -1.8   3.7 240.3 22 11
 19860901 1200   2.2   1.6   2.7  53.7 22 11
 19860902 1200   1.7   4.6   4.9  20.1 22 11
 19860903 1200  -0.3  -0.3   0.4 227.0 22 11
 19860904 1200   0.4  -1.5   1.5 165.8 22 11
 19860905 1200   0.5   1.9   2.0  15.3 22 11
 19860906 1200  -2.0  -1.6   2.6 232.3 22 11
 19860907 1200   0.8   1.9   2.0  21.9 22 11
 19860908 1200   4.5  -0.3   4.5  93.8 22 11
 19860909 1200   0.1   0.2   0.2  30.2 22 11
