 Location:  2S 155W  22 Jul 1991 to 15 Oct 2012 ( 7757 times, 10 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200 22 Jul 1991 to 1200 20 Nov 1991 (index     1 to   122,  122 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19910722 1200  -4.0  -2.0   4.5 243.8 22 11
 19910723 1200  -5.2  -1.5   5.4 253.4 22 11
 19910724 1200  -3.5  -2.9   4.6 230.2 22 11
 19910725 1200  -4.9   0.3   4.9 274.0 22 11
 19910726 1200  -4.8   1.4   5.0 286.4 22 11
 19910727 1200  -5.2  -1.9   5.6 249.5 22 11
 19910728 1200  -6.4  -1.9   6.7 253.2 22 11
 19910729 1200  -6.7  -2.7   7.2 248.0 22 11
 19910730 1200  -6.2  -3.0   6.9 243.9 22 11
 19910731 1200  -5.9  -2.9   6.6 244.3 22 11
 19910801 1200  -7.1  -2.2   7.4 252.4 22 11
 19910802 1200  -7.1   0.5   7.1 274.0 22 11
 19910803 1200  -7.3  -0.9   7.3 262.6 22 11
 19910804 1200  -7.2  -0.3   7.2 267.4 22 11
 19910805 1200  -7.0   0.7   7.1 275.6 22 11
 19910806 1200  -6.7   0.4   6.7 273.6 22 11
 19910807 1200  -7.2  -0.1   7.2 269.0 22 11
 19910808 1200  -7.3   0.1   7.3 270.9 22 11
 19910809 1200  -5.8  -0.4   5.8 266.5 22 11
 19910810 1200  -4.0  -0.5   4.1 263.5 22 11
 19910811 1200  -4.4  -3.2   5.4 234.0 22 11
 19910812 1200  -3.2  -2.4   4.0 234.0 22 11
 19910813 1200  -6.3  -2.2   6.6 250.8 22 11
 19910814 1200  -6.5  -0.9   6.5 262.3 22 11
 19910815 1200  -6.4  -1.5   6.5 256.5 22 11
 19910816 1200  -6.9  -1.2   7.0 260.0 22 11
 19910817 1200  -7.8  -0.6   7.8 265.3 22 11
 19910818 1200  -7.8   1.9   8.1 283.4 22 11
 19910819 1200  -8.4  -0.7   8.5 265.0 22 11
 19910820 1200  -6.8  -0.4   6.8 266.7 22 11
 19910821 1200  -6.8   1.1   6.9 279.0 22 11
 19910822 1200  -7.5   0.3   7.5 272.7 22 11
 19910823 1200  -7.5  -1.1   7.6 261.6 22 11
 19910824 1200  -7.0  -1.8   7.2 255.4 22 11
 19910825 1200  -6.8  -3.3   7.6 244.0 22 11
 19910826 1200  -7.9  -3.7   8.7 244.6 22 11
 19910827 1200  -7.0  -0.4   7.0 267.0 22 11
 19910828 1200  -7.3   1.6   7.5 282.2 22 11
 19910829 1200  -7.6  -1.5   7.7 258.6 22 11
 19910830 1200  -7.1  -4.3   8.3 239.0 22 11
 19910831 1200  -8.1  -2.9   8.6 250.6 22 11
