 Location:  5S 170W  22 Aug 1992 to 12 Apr 2013 ( 7539 times, 10 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200 22 Aug 1992 to 1200 15 Jul 1993 (index     1 to   328,  328 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19920822 1200  -5.0  -4.4   6.6 228.8 14 55
 19920823 1200  -6.7  -2.4   7.1 250.7 14 55
 19920824 1200  -6.0  -0.5   6.0 265.5 14 55
 19920825 1200  -7.3   1.4   7.4 281.1 14 55
 19920826 1200  -6.0  -2.4   6.4 247.8 14 55
 19920827 1200  -3.8  -4.6   6.0 219.0 14 55
 19920828 1200  -4.5  -5.6   7.2 218.9 14 55
 19920829 1200  -6.2  -2.0   6.5 252.3 14 55
 19920830 1200  -4.2  -0.2   4.2 266.9 14 55
 19920831 1200  -2.7   0.2   2.7 275.0 14 55
 19920901 1200  -3.8  -1.2   4.0 251.5 14 55
 19920902 1200  -3.9  -2.1   4.5 241.1 14 55
 19920903 1200  -2.9  -0.3   2.9 264.3 14 55
 19920904 1200  -5.3  -2.4   5.8 245.6 14 55
 19920905 1200  -5.0  -3.7   6.2 233.7 14 55
 19920906 1200  -1.3  -4.1   4.3 197.6 14 55
 19920907 1200   0.4  -1.6   1.7 165.7 14 55
 19920908 1200  -0.7   1.6   1.7 336.4 14 55
 19920909 1200  -3.3   0.4   3.4 276.8 14 55
 19920910 1200  -1.1  -2.1   2.4 208.2 14 55
 19920911 1200   3.0  -2.7   4.0 131.7 14 55
 19920912 1200  -2.9  -3.0   4.2 223.4 14 55
 19920913 1200  -4.7  -2.1   5.1 246.0 14 55
 19920914 1200  -2.5  -0.1   2.5 267.9 14 55
 19920915 1200   0.0  -0.1   0.1 177.3 14 55
 19920916 1200   1.0  -2.1   2.3 154.4 14 55
 19920917 1200  -1.2  -2.9   3.1 202.3 14 55
 19920918 1200  -3.6  -3.2   4.8 228.3 14 55
 19920919 1200  -3.9  -2.9   4.8 232.8 14 55
 19920920 1200  -2.8  -3.0   4.1 223.0 14 55
 19920921 1200  -2.2  -2.6   3.4 220.8 14 55
 19920922 1200   0.8  -0.1   0.8  95.2 14 55
 19920923 1200  -0.3  -0.1   0.3 243.2 14 55
 19920924 1200  -3.1  -2.9   4.3 227.1 14 55
 19920925 1200  -4.5  -3.8   5.9 230.3 14 55
 19920926 1200  -5.3  -4.1   6.8 232.3 14 55
 19920927 1200  -4.9  -2.9   5.7 239.7 14 55
 19920928 1200  -4.7  -1.9   5.1 248.5 14 55
 19920929 1200  -5.0  -3.4   6.1 235.9 14 55
 19920930 1200  -5.6  -3.9   6.8 235.1 14 55
 19921001 1200  -4.2  -3.5   5.5 229.8 14 55
 19921002 1200  -5.7  -0.2   5.7 267.6 14 55
 19921003 1200  -4.9  -1.3   5.0 255.2 14 55
 19921004 1200  -3.6  -2.3   4.2 237.8 14 55
 19921005 1200  -4.7  -3.2   5.7 235.3 14 55
 19921006 1200  -1.6  -1.8   2.3 221.5 14 55
 19921007 1200  -4.3  -2.7   5.1 238.4 14 55
 19921008 1200  -2.6  -6.0   6.5 203.4 14 55
 19921009 1200  -2.2  -4.0   4.6 208.2 14 55
 19921010 1200  -4.2  -4.3   6.0 224.0 14 55
 19921011 1200  -3.5  -4.7   5.9 216.4 14 55
 19921012 1200  -3.4  -3.6   4.9 223.0 14 55
 19921013 1200  -2.2  -3.3   4.0 214.5 14 55
 19921014 1200  -2.8  -2.7   3.9 226.1 14 55
 19921015 1200  -4.0  -0.7   4.1 260.4 14 55
 19921016 1200  -0.2  -2.8   2.8 184.4 14 55
 19921017 1200   0.1  -2.5   2.5 177.1 14 55
 19921018 1200   1.0  -2.9   3.1 161.3 14 55
 19921019 1200  -0.1  -4.0   4.0 181.1 14 55
 19921020 1200  -1.4  -6.0   6.1 192.8 14 55
