 Location:  5S  95W  24 Apr 1994 to 10 May 2012 ( 6592 times, 11 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200 24 Apr 1994 to 1200 15 Mar 1997 (index     1 to  1057, 1057 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19940424 1200  -5.2   3.2   6.1 301.1 12 55
 19940425 1200  -3.8   2.4   4.5 302.3 12 55
 19940426 1200  -4.1   4.0   5.7 314.2 12 55
 19940427 1200  -3.4   2.9   4.4 310.6 12 55
 19940428 1200  -3.5   4.1   5.4 319.4 12 55
 19940429 1200  -2.7   4.4   5.2 328.5 12 55
 19940430 1200  -2.7   4.5   5.2 329.3 12 55
 19940501 1200  -4.6   3.0   5.5 303.3 12 55
 19940502 1200  -4.2   4.2   5.9 315.2 12 55
 19940503 1200  -4.2   3.0   5.2 305.9 12 55
 19940504 1200  -3.6  -0.5   3.7 261.9 12 55
 19940505 1200  -3.1  -0.7   3.2 258.3 12 55
 19940506 1200  -4.0   0.2   4.0 273.0 12 55
 19940507 1200  -4.0   2.4   4.7 300.9 12 55
 19940508 1200  -4.2   2.7   5.0 302.6 12 55
 19940509 1200  -3.4   3.0   4.5 311.8 12 55
 19940510 1200  -4.5   2.3   5.1 296.9 12 55
 19940511 1200  -3.5   2.9   4.5 310.3 12 55
 19940512 1200  -3.9   3.7   5.4 313.4 12 55
 19940513 1200  -3.2   2.2   3.9 304.0 12 55
 19940514 1200  -4.0   1.7   4.3 293.1 12 55
 19940515 1200  -3.0   1.7   3.5 299.4 12 55
 19940516 1200  -4.1   3.4   5.4 309.7 12 55
 19940517 1200  -3.8   3.7   5.3 314.1 12 55
 19940518 1200  -5.0   2.3   5.5 295.1 12 55
 19940519 1200  -4.5   2.9   5.4 302.5 12 55
 19940520 1200  -5.1   2.5   5.6 296.1 12 55
 19940521 1200  -4.5   3.1   5.5 304.9 12 55
 19940522 1200  -4.8   3.1   5.7 302.8 12 55
 19940523 1200  -4.2   3.8   5.7 311.9 12 55
 19940524 1200  -4.6   3.3   5.7 305.6 12 55
 19940525 1200  -4.8   3.9   6.2 308.9 12 55
 19940526 1200  -5.0   2.8   5.7 299.8 12 55
 19940527 1200  -5.8  -1.0   5.9 260.6 12 55
 19940528 1200  -5.1   3.0   5.9 300.4 12 55
 19940529 1200  -3.6   2.8   4.6 307.7 12 55
 19940530 1200  -3.5   2.7   4.4 308.1 12 55
 19940531 1200  -5.5   1.8   5.8 287.6 12 55
 19940601 1200  -6.1   2.8   6.8 294.5 12 55
 19940602 1200  -5.6   2.6   6.2 294.9 12 55
 19940603 1200  -5.1   3.7   6.3 306.2 12 55
 19940604 1200  -6.0   3.6   7.0 300.7 12 55
 19940605 1200  -5.3   0.1   5.3 270.8 12 55
 19940606 1200  -4.9   0.0   4.9 270.3 12 55
 19940607 1200  -4.0   3.4   5.2 310.2 12 55
 19940608 1200  -4.7   4.3   6.4 312.5 12 55
 19940609 1200  -4.8   1.4   5.0 286.0 12 55
 19940610 1200  -5.0   0.4   5.0 274.1 12 55
 19940611 1200  -4.7   2.0   5.1 293.6 12 55
 19940612 1200  -3.8   2.7   4.6 305.1 12 55
 19940613 1200  -4.3   2.9   5.2 304.3 12 55
 19940614 1200  -5.1   3.0   5.9 300.7 12 55
 19940615 1200  -5.2   4.1   6.7 307.9 12 55
