 Location:  8S  95W  14 Aug 1994 to 10 Oct 2013 ( 6998 times,  8 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200 14 Aug 1994 to 1200 11 May 1996 (index     1 to   637,  637 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19940814 1200  -7.8   2.4   8.2 286.9 12 11
 19940815 1200  -7.2   2.3   7.5 288.0 12 55
 19940816 1200  -7.6   2.6   8.0 288.9 12 55
 19940817 1200  -6.8   2.9   7.4 293.0 12 55
 19940818 1200  -6.6   3.2   7.3 295.9 12 55
 19940819 1200  -6.7   2.2   7.1 287.8 12 55
 19940820 1200  -5.7   2.2   6.1 291.3 12 55
 19940821 1200  -6.0   3.6   7.0 301.1 12 55
 19940822 1200  -6.3   2.1   6.7 288.6 12 55
 19940823 1200  -6.0   2.1   6.4 289.6 12 55
 19940824 1200  -6.2   2.9   6.9 294.5 12 55
 19940825 1200  -7.3   2.7   7.8 290.5 12 55
 19940826 1200  -6.8   3.1   7.5 294.4 12 55
 19940827 1200  -6.4   2.6   6.9 292.3 12 55
 19940828 1200  -5.5   3.0   6.3 298.3 12 55
 19940829 1200  -6.9   2.7   7.4 291.7 12 55
 19940830 1200  -8.0   3.1   8.6 291.6 12 55
 19940831 1200  -8.6   1.9   8.8 282.8 12 55
 19940901 1200  -8.1   1.6   8.2 280.9 12 55
 19940902 1200  -7.0   2.0   7.2 285.7 12 55
 19940903 1200  -6.5   2.5   6.9 291.1 12 55
 19940904 1200  -6.4   2.2   6.8 288.9 12 55
 19940905 1200  -6.2   0.5   6.2 274.2 12 55
 19940906 1200  -6.6   1.6   6.8 284.1 12 55
 19940907 1200  -6.5   2.7   7.1 292.7 12 55
 19940908 1200  -6.2   3.0   6.9 295.6 12 55
 19940909 1200  -6.0   2.2   6.4 289.9 12 55
 19940910 1200  -6.9   2.2   7.3 287.7 12 55
 19940911 1200  -7.5   2.4   7.8 287.9 12 55
 19940912 1200  -8.0   2.5   8.4 287.7 12 55
 19940913 1200  -6.8   2.9   7.4 293.2 12 55
 19940914 1200  -5.9   2.2   6.3 290.6 12 55
 19940915 1200  -5.5   1.7   5.7 287.4 12 55
 19940916 1200  -4.9   1.1   5.0 282.7 12 55
 19940917 1200  -3.8   2.0   4.3 297.8 12 55
 19940918 1200  -5.3   2.9   6.1 298.5 12 55
 19940919 1200  -6.0   1.9   6.3 288.1 12 55
 19940920 1200  -6.1   1.9   6.4 286.8 12 55
 19940921 1200  -5.5   2.1   5.9 290.6 12 55
 19940922 1200  -5.6   4.1   7.0 306.3 12 55
 19940923 1200  -6.3   2.1   6.6 288.8 12 55
 19940924 1200  -5.8   2.1   6.1 290.4 12 55
 19940925 1200  -5.1   1.8   5.4 289.2 12 55
 19940926 1200  -5.3   3.1   6.1 299.9 12 55
 19940927 1200  -4.9   3.8   6.2 307.2 12 55
 19940928 1200  -5.4   1.9   5.7 289.7 12 55
 19940929 1200  -6.1   1.7   6.3 285.6 12 55
 19940930 1200  -5.8   3.3   6.7 299.2 12 55
 19941001 1200  -6.8   2.8   7.4 292.4 12 55
 19941002 1200  -6.9   2.9   7.5 292.7 12 55
 19941003 1200  -6.0   2.6   6.5 293.7 12 55
 19941004 1200  -5.3   3.0   6.1 299.2 12 55
 19941005 1200  -5.3   2.9   6.0 298.4 12 55
 19941006 1200  -5.6   2.9   6.3 297.7 12 55
 19941007 1200  -4.7   2.6   5.3 299.0 12 55
 19941008 1200  -6.0   4.3   7.3 305.6 12 55
 19941009 1200  -7.2   3.3   7.9 295.0 12 55
 19941010 1200  -6.8   3.8   7.8 299.5 12 55
 19941011 1200  -6.0   3.0   6.7 296.9 12 55
 19941012 1200  -6.9   2.2   7.2 287.4 12 55
 19941013 1200  -6.8   2.2   7.1 287.8 12 55
 19941014 1200  -4.7   2.6   5.3 298.8 12 55
 19941015 1200  -5.8   3.3   6.7 299.9 12 55
 19941016 1200  -6.3   3.5   7.2 298.6 12 55
 19941017 1200  -6.2   3.5   7.2 299.5 12 55
 19941018 1200  -6.4   3.2   7.2 296.8 12 55
 19941019 1200  -7.0   2.5   7.4 289.8 12 55
 19941020 1200  -6.7   2.4   7.1 289.6 12 55
 19941021 1200  -6.0   2.4   6.4 291.6 12 55
 19941022 1200  -6.5   1.9   6.8 286.1 12 55
 19941023 1200  -5.1   1.6   5.3 287.8 12 55
 19941024 1200  -5.1   2.2   5.5 293.9 12 55
 19941025 1200  -6.5   3.1   7.2 295.8 12 55
 19941026 1200  -6.4   1.5   6.6 282.9 12 55
 19941027 1200  -5.2   1.3   5.3 284.1 12 55
