 Location:  0N 180W  27 Mar 1993 to  4 Jul 2012 ( 7040 times, 11 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200 27 Mar 1993 to 1200  2 Apr 1997 (index     1 to  1468, 1468 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19930327 1200  -1.1  -2.1   2.3 207.1 42 55
 19930328 1200  -1.7  -2.9   3.4 210.1 42 55
 19930329 1200  -4.2   0.3   4.2 273.6 42 55
 19930330 1200  -4.0  -2.1   4.6 242.3 42 55
 19930331 1200  -1.8  -1.9   2.6 223.1 42 55
 19930401 1200   0.2  -4.3   4.3 177.4 42 55
 19930402 1200   4.8  -0.9   4.9 100.4 42 55
 19930403 1200   1.3  -0.8   1.5 122.9 42 55
 19930404 1200   5.4  -2.5   5.9 114.6 42 55
 19930405 1200  -1.9  -0.3   1.9 259.9 42 55
 19930406 1200  -1.2  -1.7   2.1 214.5 42 55
 19930407 1200  -4.3  -0.7   4.3 260.9 42 55
 19930408 1200  -6.3   0.0   6.3 270.4 42 55
 19930409 1200  -3.9   1.3   4.1 288.1 42 55
 19930410 1200  -4.0  -1.0   4.2 255.9 42 55
 19930411 1200  -4.0  -1.4   4.2 251.4 42 55
 19930412 1200  -2.2  -0.6   2.3 256.4 42 55
 19930413 1200   1.1   0.0   1.1  91.4 42 55
 19930414 1200  -0.6   1.0   1.2 328.7 42 55
 19930415 1200   1.3  -0.5   1.4 112.9 42 55
 19930416 1200   0.5  -2.9   3.0 169.6 42 55
 19930417 1200   1.8  -2.4   3.0 144.1 42 55
 19930418 1200  -1.9  -1.9   2.7 225.9 42 55
 19930419 1200  -3.6   0.7   3.7 281.3 42 55
 19930420 1200  -2.0  -1.5   2.5 232.7 42 55
 19930421 1200  -0.9  -1.9   2.1 205.9 42 55
 19930422 1200  -0.8  -3.3   3.4 194.2 42 55
