 Location:  0N 170W  16 May 1988 to 22 Nov 2013 ( 9322 times,  8 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200 16 May 1988 to 1200  2 May 1989 (index     1 to   352,  352 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19880516 1200  -6.1  -0.1   6.1 269.3 22 11
 19880517 1200  -6.8   0.9   6.9 277.8 22 11
 19880518 1200  -7.4   0.6   7.4 274.8 22 11
 19880519 1200  -6.8  -0.5   6.8 266.1 22 11
 19880520 1200  -6.9   0.8   7.0 276.2 22 11
 19880521 1200  -5.7   1.0   5.8 279.5 22 11
 19880522 1200  -2.0  -0.4   2.0 259.5 22 11
 19880523 1200  -2.6  -1.5   3.0 240.3 22 11
 19880524 1200  -4.7  -2.4   5.3 242.8 22 11
 19880525 1200  -5.7   0.4   5.7 274.0 22 11
 19880526 1200  -5.2   0.6   5.2 276.8 22 11
 19880527 1200  -3.5  -3.1   4.7 228.1 22 11
 19880528 1200  -4.2  -2.3   4.8 241.1 22 11
 19880529 1200  -5.6   0.1   5.6 270.8 22 11
 19880530 1200  -5.4   0.1   5.4 270.6 22 11
 19880531 1200  -6.0  -0.9   6.0 261.0 22 11
 19880601 1200  -7.3  -1.1   7.4 261.2 22 11
 19880602 1200  -7.7  -0.6   7.7 265.8 22 11
 19880603 1200  -7.6  -0.4   7.6 266.8 22 11
 19880604 1200  -6.1   0.4   6.1 273.4 22 11
 19880605 1200  -4.8  -2.9   5.6 238.2 22 11
 19880606 1200  -3.1  -2.9   4.2 226.9 22 11
 19880607 1200  -2.9   0.4   2.9 278.2 22 11
 19880608 1200  -5.3   2.3   5.8 293.3 22 11
 19880609 1200  -6.2  -0.5   6.3 265.4 22 11
 19880610 1200  -5.5  -3.2   6.4 239.9 22 11
 19880611 1200  -5.5  -2.0   5.9 250.5 22 11
 19880612 1200  -4.9   0.6   4.9 276.7 22 11
 19880613 1200  -4.8  -1.6   5.0 251.9 22 11
 19880614 1200  -5.7  -1.1   5.8 259.0 22 11
 19880615 1200  -5.2  -0.9   5.2 259.7 22 11
 19880616 1200  -6.1  -1.6   6.3 255.6 22 11
 19880617 1200  -6.4  -0.4   6.4 266.1 22 11
 19880618 1200  -5.9  -0.9   6.0 260.9 22 11
 19880619 1200  -4.0  -0.7   4.1 259.9 22 11
 19880620 1200  -2.9  -0.8   3.0 255.5 22 11
 19880621 1200  -3.4  -0.8   3.5 257.3 22 11
 19880622 1200  -5.2   0.0   5.2 269.8 22 11
 19880623 1200  -5.7  -0.2   5.7 268.0 22 11
 19880624 1200  -6.4   0.1   6.4 270.6 22 11
 19880625 1200  -4.9   0.0   4.9 270.3 22 11
 19880626 1200  -3.6  -3.2   4.8 228.6 22 11
 19880627 1200  -5.3  -2.0   5.6 249.1 22 11
 19880628 1200  -6.1   1.1   6.2 279.9 22 11
 19880629 1200  -7.9   1.0   8.0 276.9 22 11
 19880630 1200  -7.0  -0.5   7.0 266.1 22 11
 19880701 1200  -5.7   0.1   5.7 270.5 22 11
 19880702 1200  -5.8  -0.8   5.8 261.8 22 11
 19880703 1200  -6.0  -0.9   6.1 261.1 22 11
 19880704 1200  -5.8   0.3   5.8 272.7 22 11
 19880705 1200  -6.1   1.3   6.2 282.2 22 11
 19880706 1200  -7.6  -0.6   7.7 265.3 22 11
 19880707 1200  -7.5  -0.3   7.5 267.8 22 11
 19880708 1200  -6.3   1.4   6.5 282.5 22 11
 19880709 1200  -6.6   1.6   6.8 284.0 22 11
 19880710 1200  -4.9   1.4   5.1 285.7 22 11
 19880711 1200  -6.5   0.9   6.6 277.7 22 11
 19880712 1200  -7.0   1.4   7.1 281.4 22 11
