 Location:  0N  95W   5 Jul 1981 to 16 Apr 2013 (11609 times, 30 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200  5 Jul 1981 to 1200 18 Apr 1983 (index     1 to   653,  653 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19810705 1200  -2.2   4.8   5.3 335.0 22 55
 19810706 1200  -2.5   5.8   6.4 336.5 22 55
 19810707 1200  -3.0   5.2   6.0 329.8 22 55
 19810708 1200  -2.5   4.4   5.1 330.1 22 55
 19810709 1200  -1.0   2.5   2.7 338.8 22 55
 19810710 1200  -0.4   2.4   2.5 349.7 22 55
 19810711 1200  -1.9   6.7   7.0 344.5 22 55
 19810712 1200  -2.9   5.3   6.0 331.2 22 55
 19810713 1200  -2.3   3.8   4.4 329.1 22 55
 19810714 1200  -2.1   3.3   3.9 328.0 22 55
 19810715 1200  -2.7   1.5   3.1 298.9 22 55
 19810716 1200  -3.5   4.0   5.3 318.4 22 55
 19810717 1200  -4.4   6.1   7.6 324.0 22 55
 19810718 1200  -5.2   6.0   7.9 319.3 22 55
 19810719 1200  -3.7   3.4   5.0 312.5 22 55
 19810720 1200  -3.8   6.0   7.1 327.4 22 55
 19810721 1200  -3.6   6.6   7.5 331.1 22 55
 19810722 1200  -2.3   5.6   6.1 337.5 22 55
 19810723 1200  -3.9   4.6   6.0 319.9 22 55
 19810724 1200  -2.7   3.0   4.0 318.2 22 55
 19810725 1200  -0.8   1.9   2.0 337.6 22 55
 19810726 1200  -1.4   2.2   2.6 328.1 22 55
 19810727 1200  -2.5   3.0   3.8 320.3 22 55
 19810728 1200  -3.1   3.5   4.7 319.1 22 55
 19810729 1200  -4.3   4.1   6.0 313.2 22 55
 19810730 1200  -3.4   2.7   4.3 308.6 22 55
 19810731 1200  -5.2   2.2   5.7 292.6 22 55
 19810801 1200  -3.6   2.5   4.4 305.1 22 55
 19810802 1200  -2.4   2.8   3.7 320.0 22 55
 19810803 1200  -2.2   3.6   4.2 328.9 22 55
 19810804 1200  -2.7   3.3   4.3 320.4 22 55
