 Location:  2N 147E  18 Feb 1990 to 14 Oct 2012 ( 8275 times, 13 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200 18 Feb 1990 to 1200  6 Jul 1990 (index     1 to   139,  139 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19900218 1200  -1.3   1.0   1.7 307.6 22 11
 19900219 1200  -1.1   0.3   1.1 283.5 22 11
 19900220 1200   0.1   4.0   4.0   1.7 22 11
 19900221 1200  -1.8   0.9   2.0 295.9 22 11
 19900222 1200  -3.8   1.8   4.2 295.4 22 11
 19900223 1200  -2.3   0.8   2.4 288.3 22 11
 19900224 1200  -2.3   1.9   3.0 308.9 22 11
 19900225 1200  -1.1   3.6   3.8 343.1 22 11
 19900226 1200  -2.4   5.0   5.5 334.2 22 11
 19900227 1200  -1.0   6.3   6.4 351.3 22 11
 19900228 1200  -0.5   4.0   4.0 352.7 22 11
 19900301 1200  -0.7   2.3   2.4 342.6 22 11
 19900302 1200  -1.0   2.6   2.7 339.5 22 11
 19900303 1200  -0.8   0.1   0.8 277.8 22 11
 19900304 1200  -2.1   0.7   2.2 287.8 22 11
 19900305 1200   0.5  -0.1   0.5 102.9 22 11
 19900306 1200   2.6  -0.2   2.7  94.2 22 11
 19900307 1200  -0.2   1.8   1.9 355.2 22 11
 19900308 1200  -4.6   1.2   4.7 284.4 22 11
 19900309 1200  -0.1  -4.7   4.7 180.7 22 11
 19900310 1200  -1.1  -3.4   3.6 198.7 22 11
 19900311 1200  -4.1  -4.7   6.2 221.6 22 11
 19900312 1200  -5.0  -1.2   5.1 255.9 22 11
 19900313 1200  -4.3   3.0   5.2 304.5 22 11
 19900314 1200  -4.3   1.0   4.4 283.0 22 11
 19900315 1200  -4.8   1.9   5.2 291.0 22 11
 19900316 1200  -5.7   0.7   5.7 277.1 22 11
 19900317 1200  -5.7   1.4   5.9 283.6 22 11
 19900318 1200  -6.3  -3.7   7.3 239.8 22 11
 19900319 1200  -4.0  -5.8   7.0 214.2 22 11
 19900320 1200  -0.2   1.4   1.4 352.2 22 11
 19900321 1200   0.4   5.3   5.3   3.8 22 11
 19900322 1200  -3.4   1.3   3.7 290.9 22 11
 19900323 1200  -2.1  -0.9   2.3 246.8 22 11
 19900324 1200  -0.5  -0.1   0.5 261.6 22 11
 19900325 1200   1.1  -2.1   2.4 153.3 22 11
 19900326 1200   1.0  -2.3   2.5 156.5 22 11
 19900327 1200   0.2  -2.5   2.5 174.4 22 11
 19900328 1200   2.4  -1.8   3.0 126.6 22 11
 19900329 1200   0.1  -1.7   1.7 177.9 22 11
 19900330 1200  -3.0  -2.7   4.0 228.6 22 11
 19900331 1200  -1.5  -0.1   1.5 266.9 22 11
 19900401 1200  -2.6  -0.6   2.6 256.9 22 11
 19900402 1200  -2.5   3.6   4.4 325.1 22 11
 19900403 1200  -2.0   1.9   2.8 312.6 22 11
 19900404 1200  -2.0  -0.4   2.0 258.1 22 11
 19900405 1200  -3.2  -3.2   4.5 225.5 22 11
 19900406 1200   1.8   0.0   1.8  89.2 22 11
 19900407 1200  -0.2   2.1   2.2 354.0 22 11
 19900408 1200  -4.0   3.0   5.0 307.4 22 11
 19900409 1200  -3.4   2.2   4.1 303.4 22 11
 19900410 1200  -2.3   1.5   2.8 303.1 22 11
 19900411 1200   1.5   4.7   5.0  17.4 22 11
 19900412 1200  -3.8   0.0   3.8 270.0 22 11
 19900413 1200  -2.9   1.3   3.1 293.7 22 11
