 Location:  2N 156E  30 Aug 1991 to 22 Nov 2013 ( 8121 times, 13 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200 30 Aug 1991 to 1200 29 Jan 1992 (index     1 to   153,  153 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19910830 1200   2.5   4.0   4.7  32.5 22 11
 19910831 1200   4.5   1.5   4.7  71.5 22 11
 19910901 1200   4.4   4.5   6.3  44.2 22 11
 19910902 1200   1.8   8.0   8.2  12.6 22 11
 19910903 1200  -1.6   7.8   8.0 348.1 22 11
 19910904 1200   0.7   5.6   5.6   7.0 22 11
 19910905 1200   2.5   3.2   4.0  37.5 22 11
 19910906 1200   4.3  -0.3   4.3  94.3 22 11
 19910907 1200   6.3   0.0   6.3  89.7 22 11
 19910908 1200   4.8   3.1   5.7  57.7 22 11
 19910909 1200   1.4   4.3   4.6  17.3 22 11
 19910910 1200   0.1   4.3   4.3   1.6 22 11
 19910911 1200   0.9   5.6   5.6   9.1 22 11
 19910912 1200  -0.7   4.4   4.5 351.1 22 11
 19910913 1200  -0.9   4.0   4.2 346.8 22 11
 19910914 1200  -2.0   0.2   2.0 277.0 22 11
 19910915 1200  -2.0   2.4   3.1 319.3 22 11
 19910916 1200   1.6   2.2   2.7  35.6 22 11
 19910917 1200   0.9   1.9   2.1  25.4 22 11
 19910918 1200  -0.6   3.8   3.9 351.5 22 11
 19910919 1200   2.0   2.1   2.9  43.0 22 11
 19910920 1200   4.2   2.5   4.9  58.7 22 11
 19910921 1200   4.9   4.0   6.4  50.7 22 11
 19910922 1200   3.2   5.1   6.0  32.7 22 11
 19910923 1200   2.5   7.3   7.7  18.9 22 11
 19910924 1200   1.1   7.5   7.6   8.5 22 11
 19910925 1200   2.7   3.4   4.3  38.4 22 11
 19910926 1200   2.6   3.0   4.0  41.5 22 11
 19910927 1200   7.1   4.1   8.2  59.9 22 11
 19910928 1200   3.7   3.6   5.2  45.7 22 11
 19910929 1200   1.6   2.4   2.8  33.6 22 11
 19910930 1200   2.0   0.0   2.0  90.7 22 11
 19911001 1200   2.0   2.9   3.5  35.1 22 11
 19911002 1200   2.0   0.0   2.0  90.7 22 11
 19911003 1200   1.1  -2.1   2.3 153.3 22 11
 19911004 1200   3.4  -2.7   4.3 128.4 22 11
 19911005 1200   2.3   1.8   3.0  52.0 22 11
 19911006 1200   0.0   3.7   3.7   0.7 22 11
 19911007 1200  -2.0  -0.4   2.1 258.6 22 11
 19911008 1200  -0.7  -3.9   3.9 190.0 22 11
 19911009 1200  -0.6  -0.2   0.7 250.4 22 11
 19911010 1200   1.4   0.1   1.4  87.5 22 11
 19911011 1200  -0.5   1.4   1.5 340.4 22 11
 19911012 1200   0.9   2.1   2.3  23.7 22 11
 19911013 1200  -1.2   1.1   1.6 310.7 22 11
 19911014 1200   0.2  -3.2   3.2 175.7 22 11
 19911015 1200   2.5  -2.0   3.2 128.6 22 11
 19911016 1200   0.6   3.1   3.1  10.8 22 11
 19911017 1200   3.8   6.0   7.0  32.1 22 11
 19911018 1200   4.2   4.5   6.2  42.8 22 11
 19911019 1200   6.1   3.7   7.1  58.8 22 11
 19911020 1200   2.6   2.8   3.8  43.2 22 11
 19911021 1200   5.8   0.9   5.9  81.0 22 11
 19911022 1200   5.6  -0.5   5.6  95.0 22 11
 19911023 1200   4.0  -1.3   4.2 108.3 22 11
 19911024 1200   2.6  -1.6   3.0 121.8 22 11
 19911025 1200   1.6  -1.3   2.1 129.0 22 11
 19911026 1200  -1.4  -0.3   1.5 258.6 22 11
 19911027 1200  -2.0   2.8   3.4 324.5 22 11
 19911028 1200  -1.7   0.9   1.9 297.6 22 11
