 Location:  2N 180W  28 Mar 1993 to 12 Jun 2012 ( 7017 times,  9 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200 28 Mar 1993 to 1200 21 Aug 1993 (index     1 to   147,  147 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19930328 1200  -3.2  -1.7   3.6 242.2 22 55
 19930329 1200  -4.0   0.9   4.1 282.3 22 55
 19930330 1200  -4.8  -3.3   5.8 235.2 22 55
 19930331 1200  -2.9  -1.6   3.3 241.7 22 55
 19930401 1200  -2.5  -3.2   4.1 218.3 22 55
 19930402 1200   0.7  -2.8   2.9 166.8 22 55
 19930403 1200  -2.8  -1.8   3.3 236.6 22 55
 19930404 1200   0.3  -2.4   2.4 173.3 22 55
 19930405 1200  -4.8  -2.3   5.3 244.8 22 55
 19930406 1200  -4.3  -1.0   4.4 256.9 22 55
 19930407 1200  -6.0  -2.5   6.5 247.3 22 55
 19930408 1200  -6.0  -0.7   6.0 263.6 22 55
 19930409 1200  -5.1  -1.1   5.2 258.2 22 55
 19930410 1200  -4.5  -1.2   4.7 255.0 22 55
 19930411 1200  -3.7  -1.0   3.9 254.9 22 55
 19930412 1200  -2.4  -1.2   2.7 242.0 22 55
 19930413 1200  -4.4  -3.8   5.8 229.7 22 55
 19930414 1200  -3.1   2.0   3.7 301.9 22 55
 19930415 1200   0.1   0.1   0.1  62.5 22 55
 19930416 1200  -0.7  -2.5   2.6 194.8 22 55
 19930417 1200  -1.5  -3.6   3.9 202.8 22 55
 19930418 1200  -4.5  -2.4   5.0 242.0 22 55
 19930419 1200  -3.7  -1.4   4.0 248.8 22 55
 19930420 1200  -4.2  -3.3   5.3 231.7 22 55
 19930421 1200  -3.5  -4.4   5.6 219.0 22 55
 19930422 1200  -1.8  -3.0   3.4 210.5 22 55
 19930423 1200  -6.2  -6.0   8.6 226.0 22 55
 19930424 1200  -5.1  -4.4   6.8 229.1 22 55
 19930425 1200  -7.0  -3.6   7.9 242.7 22 55
 19930426 1200  -5.4  -1.6   5.6 253.5 22 55
 19930427 1200  -1.2  -3.1   3.3 200.8 22 55
 19930428 1200  -7.4  -3.1   8.0 247.3 22 55
 19930429 1200  -5.5  -2.0   5.9 250.3 22 55
 19930430 1200  -4.4  -1.8   4.7 247.7 22 55
 19930501 1200  -7.1  -3.7   8.0 242.6 22 55
 19930502 1200  -4.4  -3.5   5.7 231.3 22 55
 19930503 1200  -6.4  -1.1   6.5 260.4 22 55
 19930504 1200  -3.4  -2.2   4.1 237.7 22 55
 19930505 1200  -2.2  -2.8   3.6 217.9 22 55
 19930506 1200  -3.4  -5.4   6.3 211.8 22 55
 19930507 1200  -2.4  -2.2   3.2 227.1 22 55
 19930508 1200  -4.4  -2.7   5.2 238.2 22 55
 19930509 1200  -5.1  -4.2   6.7 230.5 22 55
 19930510 1200  -4.1  -2.3   4.7 240.8 22 55
 19930511 1200  -1.0  -2.0   2.2 205.7 22 55
 19930512 1200   0.1  -1.9   1.9 177.9 22 55
 19930513 1200   2.1  -0.1   2.1  94.1 22 55
 19930514 1200  -0.5  -3.5   3.6 188.6 22 55
 19930515 1200  -2.3  -4.3   4.9 208.2 22 55
 19930516 1200  -3.6  -6.5   7.4 208.9 22 55
 19930517 1200  -6.0  -2.0   6.3 251.1 22 55
 19930518 1200  -2.1  -1.8   2.8 228.5 22 55
 19930519 1200  -2.6  -1.8   3.2 236.4 22 55
 19930520 1200  -0.5  -0.3   0.6 243.5 22 55
 19930521 1200  -2.4   0.7   2.5 285.8 22 55
 19930522 1200  -2.8  -1.4   3.1 244.4 22 55
 19930523 1200  -2.2  -3.5   4.2 212.5 22 55
 19930524 1200  -5.2  -2.1   5.6 248.0 22 55
 19930525 1200  -5.8  -3.6   6.8 238.1 22 55
 19930526 1200  -5.3  -3.9   6.6 234.0 22 55
 19930527 1200  -6.1  -3.2   6.9 242.2 22 55
 19930528 1200  -4.9  -3.6   6.0 233.8 22 55
 19930529 1200  -5.8  -1.6   6.0 254.2 22 55
 19930530 1200  -4.8  -1.4   5.0 254.0 22 55
 19930531 1200  -5.5  -2.1   5.8 249.1 22 55
 19930601 1200  -6.6  -0.7   6.7 264.1 22 55
 19930602 1200  -5.4  -1.9   5.7 251.1 22 55
 19930603 1200  -5.5  -1.8   5.8 251.8 22 55
 19930604 1200  -5.0  -2.3   5.5 245.6 22 55
 19930605 1200  -7.8  -2.9   8.3 249.4 22 55
 19930606 1200  -6.8  -4.6   8.2 236.2 22 55
 19930607 1200  -6.0  -3.0   6.7 243.4 22 55
 19930608 1200  -2.0  -2.8   3.4 215.5 22 55
 19930609 1200   0.0   1.2   1.2   0.6 22 55
 19930610 1200  -1.3  -0.2   1.3 258.9 22 55
 19930611 1200  -0.4  -1.5   1.5 194.3 22 55
 19930612 1200  -4.0  -0.8   4.1 257.9 22 55
 19930613 1200  -3.6   0.2   3.6 273.2 22 55
 19930614 1200  -3.8  -1.1   4.0 253.5 22 55
 19930615 1200  -1.3   0.4   1.4 285.9 22 55
 19930616 1200  -1.7  -1.6   2.3 228.2 22 55
 19930617 1200   0.3  -1.2   1.2 167.2 22 55
 19930618 1200   0.6   0.7   0.9  41.5 22 55
 19930619 1200  -0.2  -2.3   2.3 185.1 22 55
 19930620 1200  -0.6  -2.7   2.8 192.8 22 55
 19930621 1200   0.1  -0.3   0.3 153.4 22 55
 19930622 1200   1.4  -0.6   1.5 113.4 22 55
 19930623 1200  -0.4  -0.2   0.4 247.7 22 55
 19930624 1200   0.6   0.9   1.1  32.1 22 55
 19930625 1200  -0.4  -0.4   0.6 224.5 22 55
 19930626 1200  -3.5  -3.0   4.6 230.1 22 55
 19930627 1200  -2.6   1.3   2.9 296.2 22 55
 19930628 1200  -0.3   0.4   0.6 321.1 22 55
 19930629 1200   0.2   2.5   2.6   5.2 22 55
 19930630 1200   1.0   0.8   1.3  51.5 22 55
 19930701 1200   0.4  -2.3   2.4 170.2 22 55
 19930702 1200  -0.3  -1.2   1.2 193.7 22 55
 19930703 1200  -4.3  -0.5   4.3 263.1 22 55
 19930704 1200  -3.5  -0.8   3.6 257.2 22 55
 19930705 1200  -0.9  -1.3   1.6 214.0 22 55
 19930706 1200  -0.5  -1.6   1.7 195.9 22 55
 19930707 1200  -2.4  -2.6   3.5 223.5 22 55
 19930708 1200  -2.3  -1.3   2.6 239.3 22 55
 19930709 1200   0.4  -0.6   0.7 145.1 22 55
 19930710 1200  -1.8   1.1   2.1 301.4 22 55
 19930711 1200   0.5  -0.7   0.8 143.2 22 55
 19930712 1200  -1.1   0.2   1.1 282.0 22 55
 19930713 1200  -1.8  -1.2   2.1 236.8 22 55
 19930714 1200  -5.2   0.7   5.2 278.0 22 55
 19930715 1200  -5.9  -1.3   6.0 257.8 22 55
 19930716 1200  -6.3  -1.6   6.5 255.8 22 55
 19930717 1200  -4.7   1.0   4.8 281.6 22 55
 19930718 1200  -1.4  -4.2   4.4 198.1 22 55
 19930719 1200  -3.6  -1.4   3.9 248.3 22 55
 19930720 1200  -3.2   0.6   3.2 281.0 22 55
 19930721 1200  -1.7  -1.8   2.5 222.2 22 55
 19930722 1200  -0.7  -2.5   2.6 195.0 22 55
 19930723 1200  -3.1  -0.5   3.1 260.1 22 55
 19930724 1200  -1.1  -0.2   1.1 261.1 22 55
 19930725 1200  -0.6  -2.5   2.6 194.0 22 55
 19930726 1200  -1.7  -0.1   1.7 267.8 22 55
 19930727 1200  -3.4  -2.9   4.5 229.6 22 55
 19930728 1200  -1.9  -2.0   2.7 222.8 22 55
 19930729 1200  -3.2   2.6   4.1 308.7 22 55
 19930730 1200  -4.0  -0.8   4.0 258.1 22 55
 19930731 1200  -6.0  -3.1   6.8 243.0 22 55
 19930801 1200  -4.4   2.0   4.8 294.1 22 55
 19930802 1200  -5.2   0.5   5.2 275.2 22 55
 19930803 1200  -4.4  -0.2   4.4 267.9 22 55
 19930804 1200  -4.2   0.2   4.3 272.2 22 55
 19930805 1200  -1.5  -0.2   1.5 261.3 22 55
 19930806 1200  -3.1   0.8   3.2 285.0 22 55
 19930807 1200  -2.2  -0.8   2.4 251.6 22 55
 19930808 1200  -3.4  -2.0   4.0 239.3 22 55
 19930809 1200  -3.5  -0.8   3.6 256.6 22 55
 19930810 1200   0.5  -1.1   1.2 156.3 22 55
 19930811 1200   2.3  -2.4   3.3 136.7 22 55
 19930812 1200   2.8   1.1   3.0  69.1 22 55
 19930813 1200   1.9   2.0   2.8  42.8 22 55
 19930814 1200  -1.9  -1.0   2.2 242.3 22 55
 19930815 1200  -1.4  -0.7   1.6 242.4 22 55
 19930816 1200   0.2   3.3   3.3   3.9 22 55
 19930817 1200   0.6  -1.0   1.1 148.1 22 55
 19930818 1200   1.0  -2.0   2.2 152.9 22 55
 19930819 1200   0.5   0.8   0.9  28.8 22 55
 19930820 1200   1.3   0.8   1.6  58.2 22 55
 19930821 1200   1.7  -1.8   2.4 136.7 22 55
 Time: 1200 29 Nov 1993 to 1200  6 Feb 1997 (index   247 to  1412, 1166 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19931129 1200  -6.1   1.9   6.3 287.1 22 55
 19931130 1200  -7.8   0.2   7.8 271.6 22 55
 19931201 1200  -6.1  -1.6   6.4 255.0 22 55
 19931202 1200  -4.5  -0.4   4.5 264.4 22 55
 19931203 1200  -6.3   4.2   7.6 303.4 22 55
 19931204 1200  -4.7   2.3   5.3 295.8 22 55
 19931205 1200  -1.2  -2.2   2.5 208.9 22 55
 19931206 1200  -0.4  -0.7   0.8 213.1 22 55
 19931207 1200  -1.8  -0.5   1.9 256.0 22 55
 19931208 1200  -2.2   1.9   2.9 309.6 22 55
 19931209 1200  -5.6   2.2   6.0 291.4 22 55
 19931210 1200  -4.4  -1.6   4.7 250.4 22 55
 19931211 1200  -2.2  -5.5   6.0 202.0 22 55
 19931212 1200  -4.3  -0.5   4.4 263.2 22 55
 19931213 1200  -6.0   0.8   6.0 277.6 22 55
