 Location:  2N 155W  20 Jul 1991 to 22 Nov 2013 ( 8162 times,  8 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200 20 Jul 1991 to 1200 11 Mar 1992 (index     1 to   236,  236 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19910720 1200  -7.0   0.2   7.0 271.4 12 11
 19910721 1200  -8.4   0.7   8.4 274.6 12 11
 19910722 1200  -7.7   1.5   7.8 281.3 12 11
 19910723 1200  -5.6   0.1   5.6 271.5 12 11
 19910724 1200  -3.6  -0.5   3.6 262.1 12 11
 19910725 1200  -2.9   2.5   3.9 311.2 12 11
 19910726 1200  -2.8   3.3   4.4 319.9 12 11
 19910727 1200  -4.5   1.9   4.9 293.2 12 11
 19910728 1200  -7.5   0.9   7.6 276.5 12 11
 19910729 1200  -6.2   1.4   6.4 282.4 12 11
 19910730 1200  -4.8   0.1   4.8 271.3 12 11
 19910731 1200  -6.8  -0.3   6.8 267.7 12 11
 19910801 1200  -6.8  -1.4   6.9 258.5 12 11
 19910802 1200  -7.1   1.9   7.3 285.4 12 11
 19910803 1200  -5.3   2.8   6.0 297.2 12 11
 19910804 1200  -5.2   3.6   6.3 305.1 12 11
 19910805 1200  -5.6   4.3   7.1 307.9 12 11
 19910806 1200  -5.8   4.3   7.2 307.0 12 11
 19910807 1200  -5.8   2.0   6.1 288.9 12 11
 19910808 1200  -6.9   1.5   7.1 282.3 12 11
 19910809 1200  -5.2   2.7   5.8 297.8 12 11
 19910810 1200  -3.2   0.0   3.2 270.3 12 11
 19910811 1200  -3.9  -0.5   3.9 263.1 12 11
 19910812 1200  -5.1   1.1   5.2 282.0 12 11
 19910813 1200  -6.4   3.3   7.2 297.2 12 11
 19910814 1200  -6.4   2.2   6.7 289.0 12 11
 19910815 1200  -7.4  -0.1   7.4 269.6 12 11
 19910816 1200  -6.9  -0.7   7.0 264.3 12 11
 19910817 1200  -7.9   1.6   8.1 281.6 12 11
 19910818 1200  -9.2   1.9   9.4 281.8 12 11
 19910819 1200  -8.8   0.5   8.8 273.5 12 11
 19910820 1200  -8.3   1.1   8.4 277.8 12 11
 19910821 1200  -6.4   3.0   7.0 295.4 12 11
 19910822 1200  -7.8   1.2   7.9 278.7 12 11
 19910823 1200  -7.4   1.1   7.5 278.0 12 11
 19910824 1200  -6.8   0.9   6.9 277.3 12 11
 19910825 1200  -8.3  -1.4   8.5 260.4 12 11
 19910826 1200  -8.4  -1.4   8.5 260.6 12 11
 19910827 1200  -8.6   2.6   9.0 287.1 12 11
 19910828 1200  -5.4   3.2   6.3 300.9 12 11
 19910829 1200   1.2   0.5   1.3  65.6 12 11
 19910830 1200  -0.8   0.9   1.2 320.0 12 11
 19910831 1200   0.1  -1.0   1.0 174.9 12 11
 19910901 1200   3.2   0.3   3.2  84.2 12 11
 19910902 1200   4.0   2.7   4.8  55.8 12 11
 19910903 1200   6.3  -0.9   6.4  98.1 12 11
 19910904 1200   4.9   0.7   5.0  82.3 12 11
 19910905 1200   2.6   1.5   3.0  60.9 12 11
 19910906 1200  -8.8   2.0   9.0 283.1 12 11
 19910907 1200  -7.3   2.2   7.7 286.9 12 11
 19910908 1200  -6.2   1.8   6.5 286.1 12 11
 19910909 1200  -5.3   3.1   6.1 300.5 12 11
 19910910 1200  -3.5   2.2   4.2 301.5 12 11
 19910911 1200  -3.8   3.0   4.8 307.9 12 11
 19910912 1200   0.0   3.0   3.0 359.7 12 11
 19910913 1200  -0.4   3.6   3.6 354.3 12 11
 19910914 1200  -0.8   3.0   3.1 345.2 12 11
 19910915 1200  -0.4   5.2   5.2 355.1 12 11
 19910916 1200  -1.8   4.2   4.6 336.8 12 11
 19910917 1200  -4.3   0.9   4.5 282.3 12 11
 19910918 1200  -4.9  -1.3   5.0 255.0 12 11
 19910919 1200  -4.4   4.4   6.2 315.2 12 11
 19910920 1200  -4.4   5.6   7.2 321.9 12 11
 19910921 1200  -5.4   1.7   5.7 287.6 12 11
 19910922 1200  -5.5  -0.3   5.5 267.3 12 11
 19910923 1200  -4.5   1.1   4.7 283.8 12 11
 19910924 1200  -3.9   2.2   4.5 299.1 12 11
 19910925 1200  -7.2   2.9   7.8 291.8 12 11
 19910926 1200  -3.5  -0.8   3.6 257.0 12 11
 19910927 1200  -3.7   1.9   4.2 297.9 12 11
 19910928 1200  -2.3   5.5   6.0 337.5 12 11
 19910929 1200  -1.9   4.6   5.0 337.1 12 11
 19910930 1200  -2.0   0.1   2.0 271.8 12 11
 19911001 1200  -2.3   2.5   3.4 316.9 12 11
 19911002 1200  -3.1   6.4   7.1 334.4 12 11
 19911003 1200  -4.1   4.8   6.3 319.0 12 11
 19911004 1200  -4.2   1.0   4.3 283.8 12 11
 19911005 1200  -4.4   0.7   4.5 279.5 12 11
 19911006 1200  -3.1   3.6   4.8 318.9 12 11
 19911007 1200  -1.3   2.1   2.5 327.7 12 11
 19911008 1200   0.3  -0.1   0.3 104.6 12 11
 19911009 1200   0.7   0.8   1.0  38.8 12 11
 19911010 1200  -2.8   4.6   5.4 329.2 12 11
 19911011 1200  -4.8   1.7   5.2 289.6 12 11
 19911012 1200  -3.5   0.1   3.5 271.6 12 11
 19911013 1200  -3.5   1.6   3.9 295.1 12 11
 19911014 1200  -3.5   4.6   5.7 322.7 12 11
 19911015 1200  -4.2   0.4   4.3 275.9 12 11
 19911016 1200  -4.2  -0.8   4.3 259.0 12 11
 19911017 1200  -4.1   3.0   5.1 305.6 12 11
 19911018 1200  -3.4   2.6   4.3 307.9 12 11
 19911019 1200  -5.8   0.4   5.8 273.6 12 11
 19911020 1200  -6.8   1.1   6.9 279.4 12 11
 19911021 1200  -6.6   1.8   6.8 285.6 12 11
 19911022 1200  -5.8   3.5   6.8 301.7 12 11
 19911023 1200  -3.8   1.2   4.0 287.9 12 11
 19911024 1200  -5.5   0.4   5.5 274.2 12 11
 19911025 1200  -6.3  -0.9   6.4 261.7 12 11
 19911026 1200  -7.4   1.6   7.6 282.0 12 11
 19911027 1200  -7.5   1.9   7.7 284.0 12 11
 19911028 1200  -6.2   0.0   6.2 269.8 12 11
 19911029 1200  -2.3   0.9   2.5 290.7 12 11
 19911030 1200  -0.8   0.7   1.1 312.3 12 11
 19911031 1200  -3.8   3.5   5.2 312.3 12 11
 19911101 1200  -3.3   2.2   4.0 303.9 12 11
 19911102 1200  -4.4   2.3   5.0 298.0 12 11
 19911103 1200  -4.3   4.6   6.2 316.9 12 11
 19911104 1200  -5.0   3.1   5.9 301.4 12 11
 19911105 1200  -3.9  -0.7   3.9 259.3 12 11
