 Location:  2N 125W   6 Dec 1991 to 20 Jun 2013 ( 7868 times, 10 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200  6 Dec 1991 to 1200  5 Aug 1992 (index     1 to   244,  244 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19911206 1200  -3.6   4.2   5.5 319.8 22 11
 19911207 1200  -3.2   3.8   5.0 319.4 22 11
 19911208 1200  -3.2   3.2   4.5 315.4 22 11
 19911209 1200  -3.3   3.2   4.7 314.0 22 11
 19911210 1200  -3.3   4.8   5.8 325.3 22 11
 19911211 1200  -1.8   3.4   3.8 332.1 22 11
 19911212 1200  -3.5   2.3   4.2 303.2 22 11
 19911213 1200  -4.1   2.4   4.7 300.4 22 11
 19911214 1200  -5.0   2.5   5.6 296.8 22 11
 19911215 1200  -6.5   0.5   6.5 274.0 22 11
 19911216 1200  -6.1  -0.9   6.2 261.1 22 11
 19911217 1200  -4.8  -0.2   4.8 267.7 22 11
 19911218 1200  -5.8  -0.2   5.8 267.7 22 11
 19911219 1200  -6.3   0.4   6.3 273.8 22 11
 19911220 1200  -6.2   1.9   6.5 287.4 22 11
 19911221 1200  -5.2   3.7   6.4 305.6 22 11
 19911222 1200  -6.0   3.3   6.8 298.4 22 11
 19911223 1200  -4.6   3.6   5.9 308.1 22 11
 19911224 1200  -5.5   2.6   6.1 295.2 22 11
 19911225 1200  -5.2   2.5   5.8 296.2 22 11
 19911226 1200  -5.8   2.5   6.3 293.0 22 11
 19911227 1200  -5.3   2.8   6.0 297.4 22 11
 19911228 1200  -3.2   5.1   6.0 327.8 22 11
 19911229 1200  -4.3   3.0   5.3 304.6 22 11
 19911230 1200  -3.9   3.1   5.0 308.5 22 11
 19911231 1200  -4.9   4.0   6.4 309.4 22 11
 19920101 1200  -3.3   4.6   5.6 324.0 22 11
 19920102 1200  -1.5   5.0   5.3 343.4 22 11
 19920103 1200  -4.5   3.0   5.4 303.8 22 11
 19920104 1200  -5.3   1.8   5.6 288.8 22 11
 19920105 1200  -3.9   2.4   4.5 301.2 22 11
 19920106 1200  -2.8   3.3   4.3 320.4 22 11
 19920107 1200  -3.7   3.5   5.1 313.3 22 11
 19920108 1200  -4.3   3.2   5.4 306.5 22 11
 19920109 1200  -3.9   2.0   4.4 296.6 22 11
 19920110 1200  -3.8   1.9   4.2 297.4 22 11
 19920111 1200  -5.5   1.6   5.8 286.6 22 11
 19920112 1200  -4.0   2.6   4.8 302.5 22 11
 19920113 1200  -3.1   1.3   3.3 292.2 22 11
 19920114 1200  -1.7  -1.1   2.1 237.8 22 11
 19920115 1200  -1.8  -1.3   2.2 234.0 22 11
 19920116 1200  -2.6   0.6   2.7 283.1 22 11
 19920117 1200  -3.5  -1.4   3.8 248.5 22 11
 19920118 1200  -6.3  -3.6   7.3 240.3 22 11
