 Location:  2N 110W  19 Nov 1986 to 13 Apr 2013 ( 9643 times, 19 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200 19 Nov 1986 to 1200 23 Jun 1987 (index     1 to   217,  217 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19861119 1200  -2.6   5.0   5.7 332.5 22 11
 19861120 1200  -3.4   5.0   6.0 325.8 22 11
 19861121 1200  -4.1   7.2   8.3 330.1 22 11
 19861122 1200  -4.8   6.6   8.2 324.0 22 11
 19861123 1200  -3.4   6.0   6.9 330.5 22 11
 19861124 1200  -4.4   6.6   8.0 326.3 22 11
 19861125 1200  -4.8   5.2   7.1 317.8 22 11
 19861126 1200  -5.7   3.7   6.8 303.2 22 11
 19861127 1200  -4.8   4.4   6.5 312.1 22 11
 19861128 1200  -5.7   4.7   7.3 309.4 22 11
 19861129 1200  -4.0   5.0   6.4 321.2 22 11
 19861130 1200  -4.4   3.9   5.8 311.7 22 11
 19861201 1200  -3.8   5.5   6.7 325.1 22 11
 19861202 1200  -3.4   6.9   7.7 333.9 22 11
 19861203 1200  -3.6   6.5   7.4 331.0 22 11
 19861204 1200  -3.5   6.2   7.0 330.6 22 11
 19861205 1200  -2.2   6.6   6.9 341.6 22 11
 19861206 1200  -2.6   5.3   5.9 334.1 22 11
 19861207 1200  -3.8   4.4   5.8 318.8 22 11
 19861208 1200  -5.4   4.1   6.8 307.2 22 11
 19861209 1200  -5.8   4.7   7.5 308.9 22 11
 19861210 1200  -5.2   5.5   7.6 316.6 22 11
 19861211 1200  -3.7   6.5   7.5 330.3 22 11
 19861212 1200  -3.6   5.6   6.7 327.5 22 11
 19861213 1200  -2.9   4.6   5.4 327.8 22 11
 19861214 1200  -2.4   6.3   6.8 339.6 22 11
 19861215 1200  -4.1   6.3   7.5 326.8 22 11
 19861216 1200  -5.4   6.8   8.7 321.2 22 11
 19861217 1200  -4.7   5.8   7.5 321.4 22 11
 19861218 1200  -5.1   5.8   7.7 319.0 22 11
 19861219 1200  -3.0   6.5   7.1 334.9 22 11
 19861220 1200  -3.0   6.2   6.9 334.4 22 11
 19861221 1200  -1.7   5.7   5.9 343.0 22 11
 19861222 1200  -1.7   4.8   5.1 340.2 22 11
 19861223 1200  -2.9   6.3   6.9 335.5 22 11
 19861224 1200  -3.1   4.6   5.5 326.3 22 11
 19861225 1200 -99.9 -99.9 -99.9 -99.9 55 00
 19861226 1200   0.2   5.3   5.3   2.3 22 11
 19861227 1200   0.0   5.9   5.9 360.0 22 11
 19861228 1200  -0.7   6.6   6.6 353.9 22 11
 19861229 1200   0.0   5.2   5.2 359.9 22 11
 19861230 1200   1.4   3.5   3.8  21.9 22 11
 19861231 1200  -0.2   4.8   4.8 358.0 22 11
 19870101 1200  -2.5   5.5   6.1 335.4 22 11
 19870102 1200  -1.3   5.7   5.8 346.9 22 11
 19870103 1200  -1.2   6.5   6.7 349.6 22 11
 19870104 1200  -3.5   7.5   8.2 335.1 22 11
 19870105 1200  -3.6   5.1   6.3 325.1 22 11
 19870106 1200  -2.3   4.4   5.0 333.0 22 11
 19870107 1200  -1.3   6.3   6.4 348.0 22 11
 19870108 1200  -3.6   5.7   6.7 327.7 22 11
 19870109 1200  -2.7   5.5   6.1 334.1 22 11
 19870110 1200  -0.1   6.7   6.7 358.8 22 11
 19870111 1200   0.1   6.3   6.3   0.7 22 11
 19870112 1200  -2.2   5.7   6.1 339.4 22 11
 19870113 1200  -2.0   6.0   6.3 341.4 22 11
 19870114 1200  -3.5   4.7   5.8 323.3 22 11
 19870115 1200  -5.4   5.1   7.4 313.4 22 11
 19870116 1200  -5.2   5.3   7.4 315.2 22 11
 19870117 1200  -3.0   4.8   5.7 327.4 22 11
 19870118 1200  -1.7   6.3   6.5 345.1 22 11
 19870119 1200  -2.9   5.3   6.0 331.4 22 11
 19870120 1200  -2.4   4.8   5.4 333.7 22 11
 19870121 1200   0.7   4.8   4.9   7.7 22 11
 19870122 1200  -1.3   5.5   5.7 346.9 22 11
 19870123 1200  -3.9   3.2   5.0 309.7 22 11
 19870124 1200  -4.4   2.8   5.2 302.0 22 11
 19870125 1200  -5.5   3.9   6.8 305.4 22 11
 19870126 1200  -5.9   3.1   6.7 298.0 22 11
 19870127 1200  -5.0   3.5   6.1 305.3 22 11
 19870128 1200  -6.2   2.8   6.8 294.3 22 11
 19870129 1200  -6.3   4.1   7.5 303.1 22 11
 19870130 1200  -4.0   3.5   5.3 311.2 22 11
 19870131 1200  -3.7  -0.3   3.7 266.0 22 11
 19870201 1200  -1.4   2.9   3.2 334.0 22 11
 19870202 1200  -1.4   3.9   4.2 340.0 22 11
 19870203 1200  -3.0   2.4   3.9 308.1 22 11
 19870204 1200  -2.3   1.3   2.7 298.9 22 11
 19870205 1200  -3.3   2.1   3.9 302.4 22 11
 19870206 1200  -2.9   2.4   3.8 309.8 22 11
 19870207 1200  -2.8   3.9   4.8 324.5 22 11
 19870208 1200  -3.9   1.6   4.2 291.8 22 11
 19870209 1200  -3.6   0.5   3.6 278.0 22 11
 19870210 1200  -6.2   0.3   6.2 273.3 22 11
 19870211 1200  -4.8   0.7   4.8 278.8 22 11
 19870212 1200  -4.7   1.6   4.9 288.4 22 11
 19870213 1200  -4.2   0.3   4.2 274.5 22 11
 19870214 1200  -2.0  -2.6   3.2 217.4 22 11
 19870215 1200  -2.4   0.0   2.4 270.1 22 11
 19870216 1200  -0.9   3.7   3.8 346.6 22 11
 19870217 1200  -1.9   2.7   3.3 325.4 22 11
 19870218 1200  -0.9   1.6   1.8 330.4 22 11
 19870219 1200  -2.5  -3.2   4.1 217.6 22 11
 19870220 1200  -3.4  -3.5   4.8 224.7 22 11
 19870221 1200  -3.4  -1.4   3.7 247.4 22 11
 19870222 1200  -0.7   0.6   0.9 312.1 22 11
 19870223 1200  -2.2  -1.3   2.5 240.1 22 11
 19870224 1200  -2.6  -0.7   2.7 255.3 22 11
 19870225 1200  -2.6  -2.6   3.7 224.5 22 11
 19870226 1200  -2.4  -1.1   2.6 246.1 22 11
 19870227 1200  -3.2  -2.0   3.8 238.4 22 11
 19870228 1200  -3.1   1.5   3.5 295.6 22 11
 19870301 1200  -1.1   1.8   2.2 328.1 22 11
 19870302 1200  -2.1   2.1   3.0 314.4 22 11
 19870303 1200  -2.0  -0.6   2.1 254.5 22 11
 19870304 1200  -0.1   1.7   1.7 356.8 22 11
 19870305 1200   1.6   2.7   3.1  30.3 22 11
 19870306 1200   0.6   0.8   1.0  33.3 22 11
 19870307 1200   2.1   2.3   3.1  42.9 22 11
 19870308 1200   2.1   3.1   3.7  35.1 22 11
 19870309 1200   2.1   2.6   3.4  38.6 22 11
 19870310 1200   2.1   3.0   3.7  34.6 22 11
 19870311 1200  -2.4   4.6   5.1 332.4 22 11
 19870312 1200  -3.0   3.8   4.8 322.1 22 11
 19870313 1200  -2.2   0.8   2.3 290.6 22 11
 19870314 1200  -1.2  -0.2   1.2 259.3 22 11
 19870315 1200  -3.1   1.5   3.5 295.6 22 11
 19870316 1200  -1.0   2.2   2.4 335.5 22 11
 19870317 1200  -1.6   1.7   2.4 317.3 22 11
 19870318 1200  -2.1   1.1   2.4 296.6 22 11
 19870319 1200  -0.4   0.6   0.7 321.9 22 11
 19870320 1200  -4.9  -0.8   4.9 261.0 22 11
 19870321 1200  -5.1   0.3   5.1 273.2 22 11
 19870322 1200  -0.6   0.1   0.6 279.7 22 11
 19870323 1200   1.9  -0.5   2.0 105.3 22 11
 19870324 1200   2.8   2.9   4.1  43.6 22 11
 19870325 1200  -0.6  -0.1   0.6 265.4 22 11
 19870326 1200  -0.4  -1.2   1.3 198.0 22 11
 19870327 1200  -1.1   0.6   1.3 300.1 22 11
 19870328 1200  -0.3   2.7   2.7 354.1 22 11
 19870329 1200   2.5   0.7   2.5  75.3 22 11
 19870330 1200   5.7  -4.9   7.5 131.1 22 11
 19870331 1200   4.8  -0.7   4.8  98.2 22 11
 19870401 1200   1.2  -0.1   1.2  95.6 22 11
 19870402 1200   0.6  -0.4   0.7 122.9 22 11
 19870403 1200   0.8  -0.5   0.9 122.6 22 11
 19870404 1200   2.4   2.6   3.5  42.2 22 11
 19870405 1200   2.0   2.1   2.9  42.9 22 11
 19870406 1200   0.8   3.3   3.4  12.9 22 11
 19870407 1200   4.6   0.5   4.6  84.2 22 11
 19870408 1200  -1.0   0.5   1.1 295.7 22 11
 19870409 1200  -0.5   1.3   1.4 339.1 22 11
 19870410 1200  -2.3   2.0   3.0 310.1 22 11
 19870411 1200  -3.7   2.3   4.3 301.5 22 11
 19870412 1200  -0.2   0.5   0.5 339.0 22 11
 19870413 1200  -0.2   0.5   0.5 339.5 22 11
 19870414 1200   0.6   4.8   4.9   7.4 22 11
 19870415 1200  -0.6   3.6   3.7 350.1 22 11
