 Location:  5N 156E  31 Aug 1991 to 22 Nov 2013 ( 8120 times, 15 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200 31 Aug 1991 to 1200 24 Oct 1991 (index     1 to    55,   55 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19910831 1200   5.7  -2.4   6.2 112.4 22 11
 19910901 1200   9.1  -2.5   9.4 105.7 22 11
 19910902 1200  10.0   3.9  10.7  69.0 22 11
 19910903 1200   8.8  -2.9   9.3 108.3 22 11
 19910904 1200  -1.1   2.0   2.3 330.1 22 11
 19910905 1200   1.5   0.1   1.5  87.5 22 11
 19910906 1200   0.6  -5.5   5.5 174.0 22 11
 19910907 1200   4.8  -3.7   6.0 128.0 22 11
 19910908 1200   6.0  -2.0   6.3 108.3 22 11
 19910909 1200   4.8  -0.2   4.8  92.0 22 11
 19910910 1200   6.8   0.2   6.9  88.4 22 11
 19910911 1200   7.1   2.2   7.4  72.6 22 11
 19910912 1200   6.0   3.2   6.8  61.9 22 11
 19910913 1200   1.4   2.1   2.5  33.6 22 11
 19910914 1200  -0.5   0.1   0.5 277.0 22 11
 19910915 1200   2.6   1.7   3.1  57.7 22 11
 19910916 1200   2.6  -0.6   2.7 101.8 22 11
 19910917 1200   2.6   1.9   3.2  54.7 22 11
 19910918 1200   2.5   2.7   3.7  42.5 22 11
 19910919 1200   3.3  -0.2   3.3  93.2 22 11
 19910920 1200   4.7  -1.4   4.9 106.9 22 11
 19910921 1200   6.8  -1.5   7.0 102.0 22 11
 19910922 1200   7.8   1.5   7.9  79.0 22 11
 19910923 1200   6.5   1.9   6.7  73.6 22 11
 19910924 1200   7.3   2.8   7.8  69.1 22 11
 19910925 1200   5.9   2.0   6.2  71.3 22 11
 19910926 1200   4.4   1.4   4.6  72.8 22 11
 19910927 1200   6.7   0.6   6.7  84.7 22 11
 19910928 1200   5.5   0.2   5.5  88.2 22 11
 19910929 1200   2.5   2.9   3.9  40.7 22 11
 19910930 1200   1.4   1.3   1.9  46.8 22 11
 19911001 1200   3.5   2.1   4.1  58.3 22 11
 19911002 1200   2.7  -1.2   3.0 114.1 22 11
 19911003 1200   1.0  -2.8   3.0 160.4 22 11
 19911004 1200   2.1  -3.7   4.2 150.1 22 11
 19911005 1200   3.4   1.5   3.8  66.0 22 11
 19911006 1200   2.6   3.5   4.4  36.0 22 11
 19911007 1200  -1.6   1.6   2.3 313.9 22 11
 19911008 1200  -2.5  -3.3   4.2 217.5 22 11
 19911009 1200   0.9  -2.2   2.4 157.9 22 11
 19911010 1200   0.0  -1.9   1.9 179.9 22 11
 19911011 1200  -0.7   1.1   1.3 330.1 22 11
 19911012 1200   0.9   1.4   1.6  33.6 22 11
 19911013 1200   2.4   0.8   2.5  70.4 22 11
 19911014 1200   0.6  -2.6   2.6 167.0 22 11
 19911015 1200   0.9  -3.2   3.3 163.8 22 11
 19911016 1200   0.1  -1.3   1.3 175.7 22 11
 19911017 1200   2.2   4.6   5.1  26.2 22 11
 19911018 1200   4.3   4.1   5.9  46.3 22 11
 19911019 1200   7.8   1.9   8.1  76.3 22 11
 19911020 1200   7.0  -1.5   7.2 101.9 22 11
 19911021 1200   0.0   0.3   0.3   7.0 22 11
 19911022 1200 -99.9 -99.9 -99.9 -99.9 00 00
 19911023 1200   5.0   2.9   5.8  59.3 22 11
 19911024 1200   2.0   1.6   2.5  52.0 22 11
 Time: 1200  4 Mar 1992 to 1200 25 May 1992 (index   187 to   269,   83 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19920304 1200  -4.2  -5.0   6.5 220.4 22 55
 19920305 1200  -4.3  -4.6   6.3 222.7 22 55
 19920306 1200  -4.2  -5.1   6.6 219.3 22 55
 19920307 1200  -4.5  -5.0   6.7 222.0 22 55
 19920308 1200  -2.6  -6.7   7.2 201.4 22 55
 19920309 1200  -4.0  -6.2   7.4 213.3 22 55
 19920310 1200  -4.9  -6.0   7.8 219.6 22 55
 19920311 1200  -4.8  -6.7   8.3 215.8 22 55
 19920312 1200  -5.4  -5.5   7.7 224.5 22 55
 19920313 1200  -4.3  -5.1   6.6 220.0 22 55
 19920314 1200  -4.5  -5.0   6.7 222.3 22 55
 19920315 1200  -5.9  -3.5   6.8 239.0 22 55
 19920316 1200  -6.5  -5.7   8.7 228.6 22 55
 19920317 1200  -6.1  -4.4   7.6 234.0 22 55
 19920318 1200  -6.2  -5.8   8.5 226.9 22 55
 19920319 1200  -5.3  -5.8   7.9 222.3 22 55
 19920320 1200  -5.6  -6.0   8.2 223.0 22 55
 19920321 1200  -5.7  -5.1   7.7 228.4 22 55
 19920322 1200  -5.0  -2.4   5.6 244.2 22 55
 19920323 1200  -5.2  -1.7   5.5 252.0 22 55
 19920324 1200  -4.8  -4.2   6.4 228.2 22 55
 19920325 1200  -5.4  -4.2   6.8 232.0 22 55
 19920326 1200  -5.9  -4.9   7.7 230.1 22 55
 19920327 1200  -5.7  -4.5   7.2 231.1 22 55
 19920328 1200  -5.5  -4.3   6.9 232.1 22 55
 19920329 1200  -5.3  -4.0   6.6 232.9 22 55
 19920330 1200  -5.2  -4.3   6.8 230.3 22 55
 19920331 1200  -5.3  -5.1   7.3 226.2 22 55
 19920401 1200  -7.1  -1.5   7.3 258.2 22 55
 19920402 1200  -5.7  -5.3   7.8 227.2 22 55
 19920403 1200  -4.3  -5.0   6.6 220.8 22 55
 19920404 1200  -4.0  -3.0   5.0 233.4 22 55
 19920405 1200  -4.1  -2.4   4.8 239.6 22 55
 19920406 1200  -5.4  -2.3   5.9 247.0 22 55
 19920407 1200  -3.4  -4.8   5.8 214.9 22 55
 19920408 1200  -1.6  -4.3   4.6 201.1 22 55
 19920409 1200  -2.4  -4.1   4.8 210.0 22 55
 19920410 1200  -3.3  -3.2   4.6 225.3 22 55
 19920411 1200  -5.9  -2.9   6.5 244.1 22 55
 19920412 1200  -3.6  -4.5   5.7 218.8 22 55
 19920413 1200  -2.9  -2.1   3.6 233.2 22 55
 19920414 1200  -2.2  -1.9   2.9 228.9 22 55
 19920415 1200  -2.9  -2.3   3.7 231.7 22 55
 19920416 1200  -3.1  -2.6   4.0 230.2 22 55
 19920417 1200  -2.9  -3.4   4.5 220.8 22 55
 19920418 1200  -4.8  -3.8   6.1 231.4 22 55
 19920419 1200  -5.0  -2.8   5.7 240.8 22 55
 19920420 1200  -4.2  -2.9   5.1 235.6 22 55
 19920421 1200  -3.1  -3.2   4.5 224.2 22 55
 19920422 1200  -3.7  -2.4   4.5 237.3 22 55
 19920423 1200  -4.7  -3.6   5.9 232.8 22 55
 19920424 1200  -4.5  -3.6   5.8 231.8 22 55
 19920425 1200  -4.4  -0.8   4.5 259.4 22 55
 19920426 1200  -3.2   2.2   3.9 304.2 22 55
 19920427 1200  -1.3   0.2   1.4 278.6 22 55
 19920428 1200  -3.1  -1.1   3.2 251.1 22 55
 19920429 1200  -3.0  -3.2   4.4 223.1 22 55
 19920430 1200  -5.1  -1.9   5.4 249.3 22 55
 19920501 1200  -5.1  -1.7   5.4 251.6 22 55
 19920502 1200  -7.1  -1.4   7.2 259.2 22 55
 19920503 1200  -6.6  -3.5   7.5 242.2 22 55
 19920504 1200  -6.4  -3.0   7.1 244.9 22 55
 19920505 1200  -4.1  -0.5   4.1 263.7 22 55
 19920506 1200  -3.4  -2.0   4.0 240.2 22 55
 19920507 1200  -4.4  -2.4   5.0 241.5 22 55
 19920508 1200  -4.0  -4.5   6.0 220.9 22 55
 19920509 1200  -2.2  -3.6   4.2 211.1 22 55
 19920510 1200  -3.7  -3.1   4.8 229.8 22 55
 19920511 1200  -4.0  -3.5   5.3 229.2 22 55
 19920512 1200  -2.9  -3.0   4.2 223.6 22 55
 19920513 1200  -2.3  -2.9   3.7 218.2 22 55
 19920514 1200  -2.1  -3.4   4.0 212.1 22 55
 19920515 1200  -1.0  -2.3   2.5 202.8 22 55
 19920516 1200  -2.4  -3.4   4.1 215.7 22 55
 19920517 1200  -2.5  -0.6   2.5 257.0 22 55
 19920518 1200  -2.3  -2.6   3.5 221.4 22 55
 19920519 1200  -2.7  -0.4   2.8 261.7 22 55
 19920520 1200  -2.6  -3.2   4.2 219.0 22 55
 19920521 1200   0.7  -1.9   2.0 160.3 22 55
 19920522 1200   0.0  -0.6   0.6 183.2 22 55
 19920523 1200   1.6  -0.5   1.6 109.1 22 55
 19920524 1200   0.4  -2.1   2.1 168.6 22 55
 19920525 1200  -0.8   0.6   1.0 306.6 22 55
 Time: 1200 24 Sep 1992 to 1200 31 Jan 1994 (index   391 to   885,  495 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19920924 1200  -0.1   5.9   5.9 359.6 12 55
 19920925 1200  -2.5  -0.1   2.5 266.5 12 55
 19920926 1200  -2.1  -2.8   3.5 217.2 12 55
 19920927 1200   1.9  -0.4   1.9 102.5 12 55
 19920928 1200   3.6   2.4   4.3  56.4 12 55
 19920929 1200   4.1   2.4   4.8  60.2 12 55
 19920930 1200   2.6   2.6   3.7  45.2 12 55
 19921001 1200   0.3   3.2   3.2   5.8 12 55
 19921002 1200  -0.7   2.6   2.6 345.1 12 55
 19921003 1200  -0.4  -0.2   0.5 242.5 12 55
 19921004 1200  -1.8  -1.0   2.1 240.7 12 55
 19921005 1200  -1.2  -2.2   2.6 208.6 12 55
 19921006 1200   0.2  -2.7   2.7 175.6 12 55
 19921007 1200   0.5  -0.4   0.7 129.7 12 55
 19921008 1200   3.1   1.7   3.6  61.8 12 55
 19921009 1200   6.1   1.9   6.4  73.2 12 55
 19921010 1200   4.9   4.6   6.7  46.4 12 55
 19921011 1200   1.9   4.2   4.7  24.6 12 55
 19921012 1200  -1.4   3.8   4.0 339.9 12 55
 19921013 1200  -4.0  -1.4   4.2 251.0 12 55
 19921014 1200  -2.4  -2.6   3.6 222.3 12 55
 19921015 1200  -1.6   0.1   1.6 273.8 12 55
 19921016 1200   1.1  -1.0   1.5 133.3 12 55
 19921017 1200   1.0   0.0   1.0  89.9 12 55
 19921018 1200   0.6  -2.0   2.1 163.0 12 55
 19921019 1200  -0.3  -0.2   0.3 238.7 12 55
 19921020 1200   2.3   3.0   3.8  37.2 12 55
 19921021 1200   3.5   3.9   5.2  41.9 12 55
 19921022 1200   4.1   3.9   5.7  46.3 12 55
 19921023 1200   2.5  -1.0   2.7 111.7 12 55
 19921024 1200   3.9  -2.7   4.8 124.7 12 55
 19921025 1200   4.8   2.9   5.7  58.6 12 55
 19921026 1200   2.5   3.6   4.4  34.9 12 55
 19921027 1200   2.6   4.6   5.3  30.1 12 55
 19921028 1200   5.8   2.7   6.4  65.1 12 55
 19921029 1200   5.3   7.9   9.5  34.2 12 55
 19921030 1200   5.2   5.2   7.3  45.4 12 55
 19921031 1200   2.2   5.0   5.5  24.1 12 55
 19921101 1200   4.7   2.8   5.4  58.9 12 55
 19921102 1200   0.1   1.1   1.1   4.8 12 55
 19921103 1200  -2.4  -3.1   3.9 217.3 12 55
 19921104 1200  -2.2  -5.4   5.9 202.3 12 55
 19921105 1200  -1.5  -2.1   2.5 216.1 12 55
 19921106 1200  -1.2  -0.4   1.2 251.7 12 55
 19921107 1200  -3.4  -0.3   3.4 264.8 12 55
 19921108 1200  -2.7  -0.8   2.8 252.8 12 55
 19921109 1200  -0.1  -0.2   0.2 198.7 12 55
 19921110 1200   4.7   0.8   4.7  80.8 12 55
 19921111 1200   0.9   0.9   1.3  43.8 12 55
 19921112 1200   3.6   4.2   5.6  41.0 12 55
 19921113 1200   4.4   3.8   5.8  49.4 12 55
 19921114 1200   6.0   0.3   6.0  87.0 12 55
 19921115 1200   8.0   1.9   8.2  76.9 12 55
 19921116 1200   5.7   5.6   8.0  45.3 12 55
 19921117 1200   3.1   3.6   4.8  40.8 12 55
 19921118 1200   3.8  -1.6   4.1 112.2 12 55
 19921119 1200   5.6  -2.9   6.3 117.3 12 55
