 Location:  5N 125W   7 Dec 1991 to 23 Nov 2013 ( 8023 times, 11 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200  7 Dec 1991 to 1200 11 Jul 1992 (index     1 to   218,  218 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19911207 1200  -1.3   3.1   3.3 336.3 22 11
 19911208 1200  -1.1   3.2   3.4 340.4 22 55
 19911209 1200  -2.2   2.8   3.5 321.1 22 55
 19911210 1200  -2.7   4.4   5.2 328.7 22 55
 19911211 1200  -0.5   4.2   4.2 353.5 22 55
 19911212 1200  -0.8   0.2   0.9 286.0 22 55
 19911213 1200  -2.9   2.9   4.1 315.1 22 55
 19911214 1200  -3.6   4.5   5.8 321.5 22 55
 19911215 1200  -5.9   2.9   6.6 296.4 22 55
 19911216 1200  -6.4  -0.5   6.4 265.9 22 55
 19911217 1200  -6.0  -2.0   6.4 251.3 22 55
 19911218 1200  -6.3  -3.0   6.9 244.5 22 55
 19911219 1200  -6.2  -1.9   6.5 253.3 22 55
 19911220 1200  -6.8  -2.7   7.3 248.0 22 55
 19911221 1200  -7.0  -2.4   7.4 251.5 22 55
 19911222 1200  -6.4   2.3   6.8 289.8 22 55
 19911223 1200  -1.6   2.8   3.2 330.2 22 55
 19911224 1200  -3.8   0.9   3.9 282.8 22 55
 19911225 1200  -5.0   2.6   5.6 298.0 22 55
 19911226 1200  -5.8   0.0   5.8 269.7 22 55
 19911227 1200  -4.3   2.7   5.1 302.3 22 55
 19911228 1200  -2.8   2.1   3.5 307.5 22 55
 19911229 1200  -3.0   3.7   4.7 320.9 22 55
 19911230 1200  -2.5   1.4   2.9 299.7 22 55
 19911231 1200  -3.1   0.7   3.1 282.3 22 55
 19920101 1200  -3.6   3.1   4.7 310.9 22 55
 19920102 1200   0.8   3.0   3.1  16.1 22 55
 19920103 1200  -0.3  -1.5   1.5 191.3 22 55
 19920104 1200  -3.9   1.5   4.1 291.2 22 55
 19920105 1200  -3.7   2.0   4.2 298.2 22 55
 19920106 1200  -0.6   0.3   0.7 297.9 22 55
 19920107 1200  -3.1   0.1   3.1 272.0 22 55
 19920108 1200  -2.4   1.3   2.7 297.9 22 55
 19920109 1200  -0.6   0.9   1.1 327.2 22 55
 19920110 1200  -2.4   0.1   2.4 273.1 22 55
 19920111 1200  -2.8  -0.1   2.8 267.5 22 55
 19920112 1200  -2.3  -1.1   2.5 245.3 22 55
 19920113 1200   0.5  -3.6   3.6 171.4 22 55
 19920114 1200  -0.9  -5.3   5.4 189.8 22 55
 19920115 1200  -2.9  -4.6   5.4 212.6 22 55
 19920116 1200  -3.4  -5.1   6.1 214.1 22 55
 19920117 1200  -4.3  -5.8   7.2 216.4 22 55
 19920118 1200  -4.3  -6.0   7.4 216.1 22 55
 19920119 1200  -5.2  -4.3   6.7 230.7 22 55
 19920120 1200  -5.6  -1.5   5.8 255.3 22 55
 19920121 1200  -6.1  -0.6   6.1 264.8 22 55
 19920122 1200  -4.9  -2.6   5.6 242.6 22 55
 19920123 1200  -4.0  -2.8   4.9 235.4 22 55
 19920124 1200  -4.0  -3.1   5.0 232.7 22 55
 19920125 1200  -3.5  -1.1   3.6 252.5 22 55
 19920126 1200  -2.4   5.2   5.7 335.6 22 55
