 Location:  8N 156E  18 Dec 1994 to 22 Nov 2013 ( 6915 times, 17 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200 18 Dec 1994 to 1200 27 Oct 1995 (index     1 to   314,  314 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19941218 1200  -2.6  -5.3   5.9 206.7 22 11
 19941219 1200   0.2  -6.8   6.8 178.6 22 11
 19941220 1200   7.9  -3.3   8.6 113.0 22 11
 19941221 1200   4.0   6.3   7.4  32.2 22 11
 19941222 1200  -0.5   4.1   4.2 353.0 22 11
 19941223 1200  -1.2  -0.1   1.2 265.7 22 11
 19941224 1200  -3.2  -1.4   3.5 246.0 22 11
 19941225 1200  -4.5  -3.7   5.8 230.6 22 11
 19941226 1200  -5.6  -3.1   6.4 240.8 22 11
 19941227 1200  -6.5  -2.6   7.0 248.3 22 11
 19941228 1200  -4.3   1.1   4.5 284.8 22 11
 19941229 1200  -6.0  -3.2   6.8 241.5 22 11
 19941230 1200  -7.3  -2.9   7.8 248.5 22 11
 19941231 1200  -5.2  -1.2   5.3 257.2 22 11
 19950101 1200  -3.3  -4.2   5.4 218.3 22 11
 19950102 1200  -6.2  -5.2   8.1 230.0 22 11
 19950103 1200  -7.3  -4.6   8.7 237.5 22 11
 19950104 1200  -8.3  -4.9   9.6 239.4 22 11
 19950105 1200  -7.7  -3.2   8.4 247.4 22 11
 19950106 1200  -7.2  -3.9   8.2 241.8 22 11
 19950107 1200  -5.3  -4.3   6.8 230.8 22 11
 19950108 1200  -2.2  -3.0   3.7 216.4 22 11
 19950109 1200  -2.4  -0.8   2.5 252.6 22 11
 19950110 1200  -3.3   1.2   3.5 290.2 22 11
 19950111 1200  -3.5  -2.2   4.2 237.9 22 11
 19950112 1200  -4.3  -2.1   4.8 244.0 22 11
 19950113 1200  -4.0  -3.3   5.2 230.4 22 11
 19950114 1200  -5.9  -2.7   6.5 245.7 22 11
 19950115 1200  -2.4  -1.2   2.7 244.5 22 11
 19950116 1200  -6.4  -3.2   7.1 243.3 22 11
 19950117 1200  -7.7  -3.0   8.3 248.6 22 11
 19950118 1200  -6.1  -4.8   7.8 232.0 22 11
 19950119 1200  -6.3  -4.2   7.5 236.2 22 11
 19950120 1200  -6.4  -3.8   7.5 239.5 22 11
 19950121 1200  -5.2  -4.9   7.2 226.4 22 11
 19950122 1200  -6.2  -5.0   7.9 231.0 22 11
 19950123 1200  -5.9  -4.4   7.4 233.1 22 11
 19950124 1200  -5.3  -4.5   7.0 229.7 22 11
 19950125 1200  -4.4  -5.0   6.7 221.2 22 11
 19950126 1200  -4.2  -7.2   8.4 210.6 22 11
 19950127 1200  -5.7  -6.4   8.6 221.8 22 11
 19950128 1200  -6.0  -6.8   9.0 221.4 22 11
 19950129 1200  -6.3  -6.2   8.8 225.7 22 11
 19950130 1200  -6.0  -4.8   7.7 231.0 22 11
 19950131 1200  -7.1  -4.9   8.6 235.7 22 11
 19950201 1200  -6.1  -6.0   8.5 225.4 22 11
 19950202 1200  -6.1  -4.0   7.3 236.4 22 11
 19950203 1200  -3.9  -1.8   4.2 245.6 22 11
 19950204 1200  -6.6  -1.6   6.8 256.4 22 11
 19950205 1200  -6.1  -1.2   6.3 258.6 22 11
 19950206 1200  -5.5  -2.5   6.0 245.4 22 11
 19950207 1200  -3.5  -0.6   3.6 260.6 22 11
 19950208 1200  -5.3  -4.3   6.8 230.8 22 11
 19950209 1200  -6.1  -2.2   6.5 249.7 22 11
 19950210 1200  -5.0  -3.4   6.0 236.0 22 11
 19950211 1200  -5.2  -5.1   7.3 225.4 22 11
 19950212 1200  -6.1  -4.0   7.3 236.4 22 11
 19950213 1200  -6.0  -3.0   6.7 242.8 22 11
 19950214 1200  -5.0  -1.6   5.3 252.4 22 11
 19950215 1200  -5.4  -3.5   6.5 237.0 22 11
 19950216 1200  -2.9  -3.5   4.5 219.3 22 11
 19950217 1200  -1.2  -2.9   3.2 201.9 22 11
 19950218 1200  -6.1  -1.2   6.3 258.6 22 11
 19950219 1200  -6.5   0.4   6.5 273.5 22 11
 19950220 1200  -4.7  -0.4   4.7 264.7 22 11
 19950221 1200  -5.3  -2.9   6.1 241.2 22 11
 19950222 1200  -5.2  -4.7   7.0 227.4 22 11
 19950223 1200  -5.2  -4.9   7.2 226.4 22 11
 19950224 1200  -7.7  -3.4   8.4 246.3 22 11
 19950225 1200  -6.1  -2.8   6.7 245.2 22 11
 19950226 1200  -5.3  -4.1   6.7 232.0 22 11
 19950227 1200  -6.2  -5.0   7.9 231.0 22 11
 19950228 1200  -6.8  -5.7   8.9 230.2 22 11
 19950301 1200  -6.3  -4.6   7.8 234.1 22 11
 19950302 1200  -6.3  -4.6   7.8 234.1 22 11
 19950303 1200  -6.4  -5.3   8.3 230.1 22 11
 19950304 1200  -6.7  -4.5   8.1 235.9 22 11
 19950305 1200  -7.2  -2.5   7.7 251.1 22 11
 19950306 1200  -6.2  -4.0   7.4 237.4 22 11
 19950307 1200  -6.7  -3.1   7.4 245.0 22 11
 19950308 1200  -4.9  -2.4   5.5 243.9 22 11
 19950309 1200  -6.2  -3.6   7.2 239.8 22 11
 19950310 1200  -5.1  -4.0   6.4 232.0 22 11
 19950311 1200  -5.2  -4.9   7.2 226.4 22 11
 19950312 1200  -4.8  -3.6   6.0 233.3 22 11
 19950313 1200  -5.3  -0.8   5.4 261.9 22 11
 19950314 1200  -4.8  -3.4   5.9 234.7 22 11
 19950315 1200  -4.8  -5.0   6.9 223.9 22 11
 19950316 1200  -7.3  -4.8   8.8 236.5 22 11
 19950317 1200  -7.1  -4.9   8.6 235.7 22 11
 19950318 1200  -7.2  -5.0   8.8 234.7 22 11
 19950319 1200  -5.7  -7.4   9.3 217.3 22 11
 19950320 1200  -6.2  -3.2   7.0 242.4 22 11
 19950321 1200  -7.0  -5.3   8.7 232.9 22 11
 19950322 1200  -7.4  -5.2   9.0 234.6 22 11
