 Location:  8N 180W  30 Nov 1993 to  3 Sep 2012 ( 6853 times, 11 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200 30 Nov 1993 to 1200  2 Jan 1994 (index     1 to    34,   34 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19931130 1200  -6.9  -1.3   7.0 259.4 12 55
 19931201 1200  -6.8  -4.9   8.4 234.2 12 55
 19931202 1200  -8.1  -5.4   9.8 236.1 12 55
 19931203 1200  -9.9  -3.5  10.5 250.7 12 55
 19931204 1200  -6.8  -2.2   7.1 252.1 12 55
 19931205 1200  -9.0  -3.6   9.7 248.0 12 55
 19931206 1200  -5.8  -0.6   5.8 264.5 12 55
 19931207 1200  -7.4  -4.1   8.5 241.2 12 55
 19931208 1200  -7.1  -2.2   7.5 252.9 12 55
 19931209 1200  -6.5  -2.0   6.8 253.1 12 55
 19931210 1200  -0.9   0.1   0.9 273.0 12 55
 19931211 1200  -4.8  -3.2   5.7 236.6 12 55
 19931212 1200  -8.1  -3.7   8.9 245.2 12 55
 19931213 1200  -5.1  -0.2   5.1 267.9 12 55
 19931214 1200  -3.6   0.5   3.6 278.1 12 55
 19931215 1200  -4.5  -2.9   5.3 237.4 12 55
 19931216 1200  -6.0  -3.3   6.8 241.0 12 55
 19931217 1200  -6.9  -4.4   8.2 237.7 12 55
 19931218 1200  -7.8  -2.2   8.1 254.1 12 55
 19931219 1200  -7.9  -6.3  10.1 231.3 12 55
 19931220 1200  -8.7  -5.8  10.4 236.2 12 55
 19931221 1200  -8.0  -5.2   9.5 237.0 12 55
 19931222 1200  -8.1  -4.4   9.2 241.4 12 55
 19931223 1200  -9.1  -4.0   9.9 246.2 12 55
 19931224 1200  -8.5  -5.0   9.9 239.5 12 55
 19931225 1200  -8.3  -5.8  10.1 234.8 12 55
 19931226 1200  -8.3  -3.4   8.9 247.5 12 55
 19931227 1200  -3.6  -0.8   3.8 256.8 12 55
 19931228 1200  -4.6   0.4   4.6 274.6 12 55
 19931229 1200  -5.7  -1.6   5.9 254.6 12 55
